idx,scenario,outcome,num_steps
0,circular,success,30
1,circular,collision,4
2,circular,collision,3
3,circular,success,44
4,circular,collision,19
5,circular,success,73
6,circular,success,37
7,circular,collision,28
8,circular,success,45
9,circular,success,50
10,circular,collision,7
11,circular,collision,7
12,circular,success,68
13,circular,collision,12
14,circular,collision,11
15,circular,collision,5
16,circular,collision,5
17,circular,collision,11
18,circular,collision,9
19,circular,success,25
20,circular,collision,9
21,circular,success,32
22,circular,collision,33
23,circular,success,22
24,circular,collision,4
25,circular,success,44
26,circular,collision,10
27,circular,success,21
28,circular,collision,9
29,circular,collision,6
30,circular,collision,9
31,circular,collision,4
32,circular,collision,36
33,circular,success,18
34,circular,collision,20
35,circular,success,27
36,circular,success,34
37,circular,success,34
38,circular,success,32
39,circular,collision,2
40,circular,success,32
41,circular,success,55
42,circular,collision,7
43,circular,collision,26
44,circular,collision,34
45,circular,collision,7
46,circular,success,48
47,circular,collision,8
48,circular,success,35
49,circular,collision,5
50,circular,collision,7
51,circular,success,28
52,circular,success,21
53,circular,collision,9
54,circular,success,30
55,circular,success,45
56,circular,collision,11
57,circular,collision,20
58,circular,success,37
59,circular,success,40
60,circular,success,28
61,circular,success,30
62,circular,success,26
63,circular,success,21
64,circular,collision,7
65,circular,collision,25
66,circular,success,27
67,circular,collision,8
68,circular,success,25
69,circular,collision,4
70,circular,success,31
71,circular,collision,12
72,circular,success,46
73,circular,collision,5
74,circular,success,42
75,circular,collision,32
76,circular,collision,10
77,circular,success,27
78,circular,collision,10
79,circular,collision,8
80,circular,collision,6
81,circular,success,21
82,circular,success,24
83,circular,collision,8
84,circular,collision,44
85,circular,collision,41
86,circular,success,15
87,circular,success,44
88,circular,success,33
89,circular,collision,9
90,circular,collision,8
91,circular,collision,7
92,circular,success,54
93,circular,collision,30
94,circular,success,56
95,circular,success,28
96,circular,success,38
97,circular,success,65
98,circular,success,51
99,circular,collision,8
100,random,success,38
101,random,collision,1
102,random,collision,14
103,random,collision,10
104,random,collision,47
105,random,success,41
106,random,collision,59
107,random,success,52
108,random,success,44
109,random,collision,23
110,random,collision,4
111,random,collision,14
112,random,collision,13
113,random,success,51
114,random,success,32
115,random,success,32
116,random,collision,57
117,random,collision,41
118,random,success,47
119,random,collision,2
120,random,collision,25
121,random,collision,35
122,random,collision,16
123,random,collision,6
124,random,collision,25
125,random,collision,5
126,random,collision,13
127,random,success,38
128,random,collision,2
129,random,collision,32
130,random,collision,40
131,random,collision,24
132,random,collision,30
133,random,success,36
134,random,collision,37
135,random,success,42
136,random,collision,40
137,random,collision,28
138,random,success,57
139,random,success,54
140,random,collision,26
141,random,collision,22
142,random,collision,23
143,random,success,51
144,random,success,50
145,random,success,35
146,random,collision,23
147,random,success,80
148,random,collision,43
149,random,success,30
150,random,success,32
151,random,collision,3
152,random,collision,20
153,random,collision,14
154,random,success,45
155,random,collision,14
156,random,collision,37
157,random,collision,50
158,random,success,48
159,random,success,45
160,random,success,66
161,random,collision,45
162,random,collision,4
163,random,collision,31
164,random,collision,16
165,random,collision,14
166,random,success,34
167,random,collision,61
168,random,collision,90
169,random,collision,19
170,random,collision,35
171,random,collision,72
172,random,success,42
173,random,success,48
174,random,collision,31
175,random,success,132
176,random,success,48
177,random,collision,1
178,random,collision,22
179,random,collision,18
180,random,success,44
181,random,success,48
182,random,success,31
183,random,collision,16
184,random,collision,13
185,random,collision,34
186,random,collision,30
187,random,collision,20
188,random,success,38
189,random,collision,2
190,random,success,45
191,random,success,55
192,random,collision,14
193,random,collision,79
194,random,collision,9
195,random,success,120
196,random,collision,23
197,random,success,39
198,random,success,55
199,random,collision,27
200,parallel,success,63
201,parallel,success,27
202,parallel,collision,7
203,parallel,collision,28
204,parallel,collision,26
205,parallel,collision,7
206,parallel,collision,111
207,parallel,collision,6
208,parallel,collision,28
209,parallel,collision,26
210,parallel,collision,27
211,parallel,collision,27
212,parallel,collision,10
213,parallel,collision,7
214,parallel,collision,36
215,parallel,collision,25
216,parallel,collision,39
217,parallel,collision,7
218,parallel,collision,8
219,parallel,collision,23
220,parallel,success,34
221,parallel,collision,42
222,parallel,collision,33
223,parallel,success,61
224,parallel,collision,6
225,parallel,collision,11
226,parallel,collision,20
227,parallel,collision,8
228,parallel,success,30
229,parallel,success,29
230,parallel,success,45
231,parallel,collision,30
232,parallel,collision,44
233,parallel,collision,72
234,parallel,success,27
235,parallel,collision,28
236,parallel,collision,9
237,parallel,collision,27
238,parallel,success,110
239,parallel,success,32
240,parallel,collision,37
241,parallel,success,74
242,parallel,collision,12
243,parallel,collision,10
244,parallel,success,66
245,parallel,success,41
246,parallel,success,28
247,parallel,collision,49
