idx,scenario,outcome,num_steps
0,circular,success,27
1,circular,success,27
2,circular,success,28
3,circular,collision,9
4,circular,success,43
5,circular,collision,28
6,circular,success,30
7,circular,collision,27
8,circular,success,40
9,circular,success,59
10,circular,collision,7
11,circular,success,40
12,circular,success,85
13,circular,collision,11
14,circular,collision,7
15,circular,collision,5
16,circular,collision,6
17,circular,collision,9
18,circular,collision,7
19,circular,collision,5
20,circular,collision,7
21,circular,collision,8
22,circular,collision,25
23,circular,success,13
24,circular,collision,5
25,circular,collision,8
26,circular,collision,12
27,circular,success,21
28,circular,collision,9
29,circular,collision,5
30,circular,success,25
31,circular,collision,3
32,circular,success,59
33,circular,success,18
34,circular,success,32
35,circular,collision,8
36,circular,collision,22
37,circular,success,28
38,circular,success,23
39,circular,collision,3
40,circular,success,21
41,circular,success,47
42,circular,collision,7
43,circular,success,36
44,circular,collision,33
45,circular,collision,7
46,circular,collision,15
47,circular,collision,30
48,circular,success,29
49,circular,collision,6
50,circular,success,21
51,circular,success,28
52,circular,success,18
53,circular,collision,9
54,circular,success,27
55,circular,collision,26
56,circular,collision,10
57,circular,collision,41
58,circular,collision,4
59,circular,success,30
60,circular,success,24
61,circular,success,25
62,circular,success,25
63,circular,success,19
64,circular,success,20
65,circular,success,29
66,circular,success,25
67,circular,collision,8
68,circular,success,18
69,circular,collision,3
70,circular,collision,9
71,circular,collision,10
72,circular,success,37
73,circular,collision,4
74,circular,collision,38
75,circular,success,32
76,circular,collision,9
77,circular,success,17
78,circular,success,27
79,circular,collision,9
80,circular,success,73
81,circular,success,17
82,circular,success,21
83,circular,collision,9
84,circular,collision,32
85,circular,collision,15
86,circular,success,6
87,circular,collision,9
88,circular,collision,7
89,circular,success,26
90,circular,collision,7
91,circular,success,25
92,circular,success,31
93,circular,collision,9
94,circular,collision,6
95,circular,success,23
96,circular,collision,34
97,circular,collision,33
98,circular,collision,9
99,circular,success,23
100,random,success,26
101,random,collision,1
102,random,collision,10
