idx,scenario,outcome,num_steps
0,circular,success,28
1,circular,collision,4
2,circular,success,26
3,circular,collision,11
4,circular,collision,40
5,circular,collision,38
6,circular,success,32
7,circular,success,36
8,circular,collision,35
9,circular,success,40
10,circular,collision,7
11,circular,success,34
12,circular,success,22
13,circular,collision,10
14,circular,collision,7
15,circular,collision,45
16,circular,collision,4
17,circular,collision,10
18,circular,collision,8
19,circular,collision,4
20,circular,collision,7
21,circular,collision,6
22,circular,success,47
23,circular,success,12
24,circular,success,25
25,circular,success,51
26,circular,collision,8
27,circular,success,17
28,circular,success,24
29,circular,collision,5
30,circular,success,30
31,circular,collision,4
32,circular,collision,17
33,circular,success,19
34,circular,success,31
35,circular,success,22
36,circular,collision,21
37,circular,collision,28
38,circular,collision,5
39,circular,collision,2
40,circular,success,20
41,circular,collision,19
42,circular,success,35
43,circular,success,34
44,circular,collision,29
45,circular,success,24
46,circular,success,35
47,circular,collision,12
48,circular,success,29
49,circular,collision,5
50,circular,success,26
51,circular,collision,7
52,circular,success,18
53,circular,collision,8
54,circular,success,29
55,circular,success,43
56,circular,collision,12
57,circular,collision,4
58,circular,success,36
59,circular,success,29
60,circular,success,44
61,circular,success,23
62,circular,success,27
63,circular,success,18
64,circular,collision,7
65,circular,success,74
66,circular,success,26
67,circular,collision,9
68,circular,success,18
69,circular,success,24
70,circular,collision,8
71,circular,success,23
72,circular,collision,31
73,circular,collision,5
74,circular,collision,10
75,circular,collision,10
76,circular,success,28
77,circular,success,18
78,circular,success,28
79,circular,collision,8
80,circular,collision,11
81,circular,success,17
82,circular,collision,5
83,circular,collision,8
84,circular,collision,12
85,circular,collision,31
86,circular,success,6
87,circular,collision,11
88,circular,success,20
89,circular,success,28
90,circular,collision,9
91,circular,success,28
92,circular,collision,8
93,circular,collision,9
94,circular,collision,5
95,circular,success,25
96,circular,collision,23
97,circular,collision,35
98,circular,success,30
99,circular,success,25
100,random,success,26
101,random,collision,1
102,random,collision,12
103,random,success,48
104,random,collision,43
105,random,success,31
106,random,collision,21
107,random,collision,44
108,random,success,40
109,random,success,68
110,random,collision,11
111,random,success,37
112,random,collision,41
113,random,success,40
114,random,success,29
115,random,collision,5
116,random,success,47
117,random,collision,15
118,random,success,24
119,random,collision,2
120,random,success,51
121,random,collision,44
122,random,collision,37
123,random,collision,7
124,random,collision,24
125,random,collision,4
126,random,collision,21
127,random,success,28
128,random,collision,2
129,random,collision,15
130,random,success,59
131,random,collision,18
132,random,success,38
133,random,success,28
134,random,collision,33
135,random,collision,8
136,random,collision,18
137,random,collision,27
138,random,collision,30
139,random,collision,30
140,random,success,22
141,random,collision,39
142,random,collision,37
143,random,success,32
144,random,success,39
145,random,collision,25
146,random,collision,19
147,random,collision,37
148,random,collision,37
149,random,success,23
150,random,collision,20
151,random,collision,3
152,random,success,49
153,random,collision,8
154,random,success,33
155,random,success,25
156,random,collision,27
157,random,collision,56
158,random,success,60
159,random,success,68
160,random,success,65
161,random,success,60
162,random,collision,4
163,random,collision,27
164,random,success,51
165,random,collision,13
166,random,collision,6
167,random,collision,19
168,random,collision,33
169,random,collision,22
170,random,collision,27
171,random,collision,32
172,random,collision,15
173,random,success,61
174,random,success,54
175,random,collision,40
176,random,collision,33
177,random,collision,1
178,random,success,47
179,random,collision,15
180,random,collision,9
181,random,collision,4
182,random,success,23
183,random,collision,44
184,random,success,36
185,random,collision,32
186,random,success,51
187,random,collision,19
188,random,success,35
189,random,collision,2
190,random,success,36
191,random,success,58
192,random,collision,12
193,random,collision,23
194,random,success,43
195,random,success,37
196,random,collision,20
197,random,collision,21
198,random,collision,23
199,random,collision,21
200,parallel,success,61
201,parallel,success,24
202,parallel,collision,5
203,parallel,collision,9
204,parallel,collision,24
205,parallel,collision,18
