idx,scenario,outcome,num_steps
0,circular,success,26
1,circular,collision,5
2,circular,collision,3
3,circular,collision,7
4,circular,collision,31
5,circular,collision,31
6,circular,success,29
7,circular,collision,28
8,circular,success,39
9,circular,collision,29
10,circular,collision,31
11,circular,success,61
12,circular,success,26
13,circular,collision,10
14,circular,collision,7
15,circular,collision,5
16,circular,success,33
17,circular,collision,10
18,circular,collision,8
19,circular,success,21
20,circular,collision,8
21,circular,success,24
22,circular,collision,52
23,circular,success,12
24,circular,collision,5
25,circular,collision,8
26,circular,collision,10
27,circular,success,21
28,circular,success,25
29,circular,collision,5
30,circular,success,24
31,circular,collision,3
32,circular,collision,36
33,circular,success,15
34,circular,success,31
35,circular,collision,8
36,circular,success,28
37,circular,success,29
38,circular,collision,5
39,circular,collision,3
40,circular,success,20
41,circular,collision,39
42,circular,success,25
43,circular,success,32
44,circular,success,34
45,circular,success,26
46,circular,collision,26
47,circular,collision,34
48,circular,success,31
49,circular,collision,5
50,circular,success,19
51,circular,success,26
52,circular,success,20
53,circular,collision,9
54,circular,success,29
55,circular,collision,27
56,circular,collision,12
57,circular,collision,3
58,circular,collision,4
59,circular,success,35
60,circular,success,26
61,circular,success,24
62,circular,success,23
63,circular,success,26
64,circular,success,22
65,circular,collision,25
66,circular,success,23
67,circular,collision,11
68,circular,success,18
69,circular,success,25
70,circular,collision,8
71,circular,collision,10
72,circular,collision,34
73,circular,success,52
74,circular,collision,18
75,circular,collision,14
76,circular,collision,11
77,circular,success,16
78,circular,success,29
79,circular,collision,9
80,circular,success,24
81,circular,success,18
82,circular,success,20
83,circular,collision,8
84,circular,collision,11
85,circular,collision,38
86,circular,success,8
87,circular,success,26
88,circular,collision,8
89,circular,success,23
90,circular,collision,8
91,circular,success,25
92,circular,collision,8
93,circular,collision,26
94,circular,collision,5
95,circular,success,23
96,circular,collision,20
97,circular,collision,25
98,circular,success,25
99,circular,success,22
100,random,success,77
101,random,collision,1
102,random,collision,9
103,random,success,32
104,random,collision,56
105,random,success,32
106,random,collision,20
107,random,collision,32
108,random,collision,15
109,random,collision,19
110,random,collision,12
111,random,collision,45
112,random,collision,13
113,random,success,52
114,random,success,30
115,random,success,29
116,random,success,47
117,random,success,79
118,random,success,24
119,random,collision,4
120,random,success,44
121,random,collision,75
122,random,collision,20
123,random,collision,6
124,random,collision,24
125,random,collision,4
126,random,collision,18
127,random,success,27
128,random,collision,2
129,random,collision,14
130,random,collision,41
131,random,collision,20
132,random,success,81
133,random,success,29
134,random,collision,24
135,random,collision,25
136,random,collision,31
137,random,success,50
138,random,collision,33
139,random,success,36
140,random,success,22
141,random,collision,21
142,random,success,80
143,random,success,40
144,random,success,35
