idx,scenario,outcome,num_steps
0,circular,collision,30
1,circular,success,44
2,circular,collision,3
3,circular,collision,9
4,circular,collision,33
5,circular,success,78
6,circular,collision,27
7,circular,success,82
8,circular,success,40
9,circular,success,77
10,circular,collision,7
11,circular,collision,4
12,circular,collision,27
13,circular,collision,8
14,circular,success,45
15,circular,success,77
16,circular,collision,4
17,circular,collision,8
18,circular,collision,17
19,circular,collision,5
20,circular,collision,7
21,circular,success,82
22,circular,collision,27
23,circular,collision,77
24,circular,success,61
25,circular,collision,7
26,circular,collision,12
27,circular,success,37
28,circular,collision,11
29,circular,collision,5
30,circular,success,39
31,circular,collision,4
32,circular,collision,20
33,circular,success,39
34,circular,success,45
35,circular,success,46
36,circular,success,81
37,circular,collision,34
38,circular,success,38
39,circular,collision,3
40,circular,success,37
41,circular,success,120
42,circular,success,53
43,circular,success,123
44,circular,collision,47
45,circular,success,78
46,circular,collision,10
47,circular,success,70
48,circular,success,45
49,circular,collision,5
50,circular,success,44
51,circular,collision,29
52,circular,success,69
53,circular,collision,9
54,circular,success,89
55,circular,success,81
56,circular,collision,11
57,circular,collision,3
58,circular,success,90
59,circular,success,60
60,circular,success,74
61,circular,collision,7
62,circular,success,43
63,circular,success,55
64,circular,collision,8
65,circular,collision,23
66,circular,success,47
67,circular,collision,9
68,circular,success,86
69,circular,collision,4
70,circular,collision,8
71,circular,success,54
72,circular,success,70
73,circular,collision,4
74,circular,success,83
75,circular,collision,33
76,circular,collision,13
77,circular,success,61
78,circular,success,45
79,circular,collision,8
80,circular,collision,6
81,circular,success,45
82,circular,success,39
83,circular,collision,8
84,circular,collision,11
85,circular,collision,41
86,circular,success,12
87,circular,collision,50
88,circular,collision,70
89,circular,success,45
90,circular,collision,7
91,circular,collision,7
92,circular,collision,7
93,circular,success,33
94,circular,success,34
95,circular,success,52
96,circular,collision,20
97,circular,collision,40
98,circular,success,45
99,circular,success,46
100,random,success,72
101,random,collision,1
102,random,collision,18
103,random,success,78
104,random,collision,146
105,random,success,59
106,random,collision,21
107,random,collision,77
108,random,success,68
109,random,collision,30
110,random,collision,13
111,random,collision,13
112,random,collision,37
113,random,success,46
114,random,success,49
115,random,success,46
116,random,collision,30
117,random,collision,45
118,random,success,56
119,random,collision,3
120,random,success,58
121,random,success,124
122,random,collision,19
123,random,collision,45
124,random,collision,48
125,random,collision,4
126,random,collision,26
127,random,success,60
128,random,collision,4
129,random,collision,17
130,random,collision,34
131,random,collision,26
132,random,success,203
133,random,success,73
134,random,collision,54
135,random,collision,25
136,random,collision,96
137,random,collision,36
138,random,success,172
139,random,collision,24
140,random,collision,33
141,random,collision,16
142,random,collision,13
143,random,success,66
144,random,success,63
145,random,collision,23
146,random,collision,17
147,random,success,81
148,random,collision,39
149,random,success,150
150,random,collision,18
151,random,collision,3
152,random,collision,14
153,random,collision,42
154,random,success,67
155,random,success,55
156,random,collision,25
157,random,collision,46
158,random,collision,38
159,random,collision,53
160,random,success,101
161,random,collision,195
162,random,collision,3
163,random,collision,30
164,random,collision,16
165,random,collision,21
166,random,collision,6
167,random,collision,33
168,random,collision,16
169,random,collision,15
170,random,success,65
171,random,collision,49
172,random,collision,13
173,random,collision,27
174,random,collision,22
175,random,success,89
176,random,success,115
177,random,collision,1
178,random,success,106
179,random,collision,17
180,random,collision,18
181,random,collision,4
182,random,success,52
183,random,success,85
184,random,collision,16
185,random,collision,38
186,random,success,118
187,random,collision,30
188,random,collision,29
189,random,collision,2
190,random,success,62
191,random,success,68
192,random,collision,20
193,random,collision,15
194,random,collision,43
195,random,success,59
196,random,collision,17
197,random,collision,66
198,random,collision,34
199,random,collision,27
200,parallel,collision,7
201,parallel,collision,44
202,parallel,collision,7
203,parallel,collision,10
204,parallel,collision,197
205,parallel,success,50
206,parallel,collision,40
207,parallel,collision,5
208,parallel,collision,93
209,parallel,collision,29
210,parallel,collision,22
211,parallel,collision,30
212,parallel,success,40
213,parallel,collision,45
214,parallel,collision,31
215,parallel,collision,25
216,parallel,collision,36
217,parallel,collision,43
