idx,scenario,outcome,num_steps
0,circular,collision,33
1,circular,success,46
2,circular,collision,28
3,circular,collision,9
4,circular,collision,34
5,circular,collision,4
6,circular,success,101
7,circular,success,76
8,circular,success,83
9,circular,success,75
10,circular,collision,7
11,circular,success,38
12,circular,collision,26
13,circular,collision,9
14,circular,collision,6
15,circular,success,126
16,circular,success,124
17,circular,collision,7
18,circular,collision,10
19,circular,collision,5
20,circular,success,34
21,circular,success,53
22,circular,collision,20
23,circular,success,30
24,circular,collision,6
25,circular,collision,12
26,circular,collision,10
27,circular,success,40
28,circular,success,63
29,circular,success,48
30,circular,success,87
31,circular,collision,3
32,circular,collision,6
33,circular,success,70
34,circular,success,65
35,circular,collision,9
36,circular,success,66
37,circular,collision,9
38,circular,collision,5
39,circular,collision,3
40,circular,success,56
41,circular,collision,22
42,circular,collision,8
43,circular,success,50
44,circular,collision,34
45,circular,success,71
46,circular,collision,9
47,circular,collision,9
48,circular,collision,104
49,circular,collision,7
50,circular,collision,9
51,circular,collision,5
52,circular,collision,4
53,circular,success,88
54,circular,success,72
55,circular,success,77
56,circular,success,74
57,circular,collision,4
58,circular,success,85
59,circular,success,50
60,circular,success,54
61,circular,collision,8
62,circular,success,65
63,circular,success,71
64,circular,collision,7
65,circular,collision,7
66,circular,collision,7
67,circular,collision,11
68,circular,success,46
69,circular,collision,3
70,circular,collision,9
71,circular,collision,12
72,circular,collision,6
73,circular,collision,4
74,circular,collision,9
75,circular,collision,6
76,circular,collision,9
77,circular,success,50
78,circular,success,38
79,circular,collision,9
80,circular,collision,18
81,circular,success,47
82,circular,collision,8
83,circular,collision,9
84,circular,collision,9
85,circular,collision,6
86,circular,success,41
87,circular,collision,10
88,circular,collision,9
89,circular,collision,9
90,circular,collision,8
91,circular,collision,8
92,circular,collision,41
93,circular,collision,10
94,circular,collision,7
95,circular,success,66
96,circular,collision,32
97,circular,collision,37
98,circular,collision,8
99,circular,collision,8
100,random,success,91
101,random,collision,1
102,random,collision,32
103,random,collision,38
104,random,collision,76
105,random,success,48
106,random,collision,48
107,random,collision,49
108,random,collision,18
109,random,collision,22
110,random,collision,41
111,random,collision,5
112,random,collision,14
113,random,success,75
114,random,success,75
115,random,collision,6
116,random,collision,34
117,random,collision,17
118,random,success,69
119,random,collision,3
120,random,collision,37
121,random,success,86
122,random,collision,64
123,random,collision,24
124,random,collision,21
125,random,collision,4
126,random,collision,22
127,random,success,53
128,random,collision,2
129,random,collision,19
130,random,collision,38
131,random,collision,57
132,random,success,52
133,random,success,63
134,random,collision,18
135,random,collision,25
136,random,collision,17
137,random,collision,62
138,random,collision,20
139,random,success,55
140,random,collision,33
141,random,collision,47
142,random,collision,14
143,random,success,88
144,random,success,90
145,random,success,50
146,random,collision,23
147,random,collision,36
148,random,collision,33
149,random,success,104
150,random,collision,30
151,random,collision,7
152,random,collision,22
153,random,collision,12
154,random,success,57
155,random,collision,15
156,random,collision,7
157,random,collision,76
158,random,success,75
159,random,collision,40
160,random,collision,56
161,random,collision,28
162,random,collision,4
163,random,collision,33
164,random,collision,16
165,random,collision,19
166,random,collision,6
167,random,collision,25
168,random,collision,51
169,random,collision,20
170,random,success,46
171,random,collision,44
172,random,collision,33
173,random,collision,15
174,random,collision,48
175,random,collision,2
176,random,success,55
177,random,collision,1
178,random,success,97
179,random,collision,42
180,random,collision,17
181,random,collision,40
182,random,success,31
183,random,collision,46
184,random,collision,5
185,random,collision,55
186,random,success,99
187,random,collision,59
188,random,collision,86
189,random,collision,2
