idx,scenario,outcome,num_steps
0,circular,success,28
1,circular,collision,6
2,circular,success,47
3,circular,collision,8
4,circular,collision,29
5,circular,success,53
6,circular,success,30
7,circular,collision,26
8,circular,success,38
9,circular,success,36
10,circular,collision,7
11,circular,success,33
12,circular,success,89
13,circular,collision,10
14,circular,collision,6
15,circular,collision,5
16,circular,collision,4
17,circular,collision,11
18,circular,collision,9
19,circular,collision,5
20,circular,collision,7
21,circular,success,22
22,circular,collision,30
23,circular,success,12
24,circular,collision,6
25,circular,collision,9
26,circular,collision,13
27,circular,success,23
28,circular,collision,8
29,circular,collision,6
30,circular,success,23
31,circular,collision,3
32,circular,collision,10
33,circular,success,19
34,circular,success,32
35,circular,collision,8
36,circular,success,30
37,circular,success,28
38,circular,collision,5
39,circular,collision,3
40,circular,success,21
41,circular,collision,34
42,circular,success,60
43,circular,success,30
44,circular,success,33
45,circular,collision,7
46,circular,success,34
47,circular,success,42
48,circular,success,28
49,circular,success,24
50,circular,success,21
51,circular,success,27
52,circular,success,18
53,circular,collision,9
54,circular,success,26
55,circular,success,33
56,circular,collision,10
57,circular,collision,25
58,circular,collision,4
59,circular,success,31
60,circular,success,43
61,circular,success,25
62,circular,success,24
63,circular,success,21
64,circular,success,20
65,circular,collision,37
66,circular,success,23
67,circular,success,35
68,circular,success,19
69,circular,success,27
70,circular,collision,9
71,circular,success,24
72,circular,collision,6
73,circular,collision,7
74,circular,success,42
75,circular,collision,11
76,circular,collision,9
77,circular,success,16
78,circular,collision,9
79,circular,success,104
80,circular,collision,45
81,circular,success,16
82,circular,success,21
83,circular,success,25
84,circular,collision,12
85,circular,collision,29
86,circular,success,6
87,circular,success,25
88,circular,collision,7
89,circular,success,25
90,circular,collision,6
91,circular,success,24
92,circular,collision,6
93,circular,collision,11
94,circular,success,25
95,circular,success,26
96,circular,collision,20
97,circular,collision,25
98,circular,success,33
99,circular,collision,8
100,random,success,27
101,random,collision,1
102,random,collision,12
103,random,success,42
104,random,collision,32
105,random,success,32
106,random,collision,17
107,random,collision,34
108,random,success,41
109,random,collision,42
110,random,collision,6
111,random,success,61
112,random,success,64
113,random,success,51
114,random,success,34
115,random,success,31
116,random,collision,30
117,random,success,75
118,random,success,26
119,random,collision,2
120,random,success,43
121,random,collision,30
122,random,collision,18
123,random,collision,21
124,random,collision,25
125,random,collision,6
126,random,collision,26
127,random,success,25
128,random,collision,2
129,random,collision,11
130,random,success,39
131,random,collision,36
132,random,collision,29
133,random,success,25
134,random,collision,33
135,random,collision,8
136,random,collision,44
137,random,collision,44
138,random,collision,31
139,random,collision,37
140,random,success,24
141,random,collision,19
142,random,success,74
143,random,success,34
144,random,success,39
145,random,collision,23
146,random,collision,18
147,random,collision,24
148,random,collision,18
149,random,success,22
150,random,success,36
151,random,collision,3
152,random,success,42
153,random,collision,7
154,random,success,33
155,random,success,24
156,random,collision,31
157,random,collision,19
158,random,success,45
159,random,collision,48
160,random,success,60
161,random,collision,43
162,random,collision,3
163,random,collision,38
164,random,collision,16
165,random,collision,11
166,random,collision,6
167,random,collision,21
168,random,collision,46
169,random,success,61
170,random,collision,33
171,random,collision,22
172,random,success,41
173,random,collision,23
174,random,success,34
175,random,collision,47
176,random,collision,34
177,random,collision,1
178,random,success,43
179,random,collision,14
180,random,collision,15
181,random,collision,6
182,random,success,22
183,random,collision,23
184,random,collision,22
185,random,collision,30
186,random,collision,23
187,random,collision,19
188,random,collision,59
189,random,collision,2
190,random,success,37
191,random,success,43
192,random,collision,12
193,random,collision,15
194,random,collision,7
195,random,success,43
196,random,success,37
197,random,collision,25
198,random,collision,28
199,random,collision,21
200,parallel,collision,7
201,parallel,success,22
202,parallel,collision,5
203,parallel,collision,24
204,parallel,collision,25
205,parallel,collision,76
206,parallel,collision,25
207,parallel,collision,7
208,parallel,collision,13
209,parallel,success,37
210,parallel,collision,23
211,parallel,success,48
212,parallel,collision,10
213,parallel,collision,20
214,parallel,success,46
215,parallel,success,49
216,parallel,collision,29
217,parallel,success,43
218,parallel,collision,78
219,parallel,success,31
220,parallel,success,28
221,parallel,collision,29
222,parallel,success,29
223,parallel,success,55
224,parallel,collision,19
225,parallel,collision,25
226,parallel,collision,6
227,parallel,collision,9
228,parallel,success,26
229,parallel,success,33
230,parallel,collision,28
231,parallel,collision,62
232,parallel,success,42
233,parallel,success,29
234,parallel,success,24
235,parallel,success,34
236,parallel,collision,9
237,parallel,collision,48
238,parallel,success,50
239,parallel,success,31
240,parallel,collision,8
241,parallel,collision,11
242,parallel,collision,11
243,parallel,success,85
244,parallel,success,22
245,parallel,success,26
246,parallel,collision,25
247,parallel,success,66
248,parallel,collision,16
249,parallel,success,39
250,parallel,collision,23
251,parallel,success,26
252,parallel,collision,38
253,parallel,collision,15
254,parallel,success,37
255,parallel,success,77
256,parallel,success,42
257,parallel,collision,28
258,parallel,success,68
259,parallel,collision,39
260,parallel,collision,134
261,parallel,collision,27
262,parallel,collision,9
263,parallel,collision,17
264,parallel,collision,6
265,parallel,collision,48
266,parallel,collision,20
267,parallel,collision,8
268,parallel,collision,51
269,parallel,collision,8
270,parallel,success,44
271,parallel,collision,11
272,parallel,collision,17
273,parallel,success,42
274,parallel,collision,31
275,parallel,collision,9
276,parallel,collision,35
277,parallel,collision,10
278,parallel,collision,6
279,parallel,collision,42
280,parallel,collision,25
281,parallel,success,31
282,parallel,collision,36
283,parallel,success,58
284,parallel,collision,12
285,parallel,collision,6
286,parallel,success,23
287,parallel,success,35
288,parallel,collision,26
289,parallel,collision,6
290,parallel,collision,9
291,parallel,success,32
292,parallel,collision,9
293,parallel,collision,36
294,parallel,collision,27
295,parallel,collision,27
296,parallel,collision,46
297,parallel,collision,29
298,parallel,success,31
299,parallel,collision,7
