idx,scenario,outcome,num_steps
0,circular,success,29
1,circular,success,28
2,circular,collision,3
3,circular,collision,9
4,circular,collision,13
5,circular,collision,28
6,circular,success,32
7,circular,success,41
8,circular,success,47
9,circular,collision,19
10,circular,collision,7
11,circular,success,33
12,circular,success,89
13,circular,collision,34
14,circular,collision,5
15,circular,collision,5
16,circular,collision,5
17,circular,collision,11
18,circular,collision,22
19,circular,collision,6
20,circular,collision,7
21,circular,collision,7
22,circular,collision,19
23,circular,success,13
24,circular,success,26
25,circular,collision,20
26,circular,collision,12
27,circular,success,19
28,circular,success,31
29,circular,collision,6
30,circular,success,24
31,circular,collision,3
32,circular,collision,7
33,circular,success,16
34,circular,success,33
35,circular,success,23
36,circular,success,27
37,circular,success,29
38,circular,success,44
39,circular,collision,3
40,circular,success,19
41,circular,collision,7
42,circular,success,37
43,circular,success,42
44,circular,collision,7
45,circular,collision,24
46,circular,collision,25
47,circular,collision,30
48,circular,collision,20
49,circular,collision,7
50,circular,collision,6
51,circular,success,29
52,circular,success,20
53,circular,success,24
54,circular,success,30
55,circular,collision,29
56,circular,collision,12
57,circular,collision,4
58,circular,collision,4
59,circular,success,33
60,circular,success,23
61,circular,success,25
62,circular,success,30
63,circular,success,19
64,circular,success,19
65,circular,collision,12
66,circular,success,23
67,circular,collision,12
68,circular,success,18
69,circular,collision,3
70,circular,collision,8
71,circular,success,23
72,circular,collision,28
73,circular,collision,26
74,circular,collision,42
75,circular,collision,32
76,circular,success,32
77,circular,success,17
78,circular,success,29
79,circular,success,52
80,circular,collision,9
81,circular,success,16
82,circular,collision,5
83,circular,collision,9
84,circular,collision,29
85,circular,collision,57
86,circular,success,11
87,circular,success,28
88,circular,collision,7
89,circular,collision,18
90,circular,collision,7
91,circular,success,26
92,circular,collision,6
93,circular,collision,9
94,circular,success,26
95,circular,success,37
96,circular,success,42
97,circular,success,85
98,circular,success,29
99,circular,success,24
100,random,success,29
101,random,collision,1
102,random,collision,9
103,random,success,38
104,random,collision,87
105,random,success,33
106,random,collision,31
107,random,collision,14
108,random,success,44
109,random,success,67
110,random,collision,3
111,random,collision,13
112,random,collision,15
113,random,success,54
114,random,success,30
115,random,collision,4
116,random,collision,33
117,random,collision,22
118,random,success,26
119,random,collision,2
120,random,success,42
121,random,collision,47
122,random,collision,18
123,random,collision,18
124,random,collision,27
125,random,collision,3
126,random,collision,25
127,random,success,29
128,random,collision,3
129,random,collision,11
130,random,collision,29
131,random,collision,28
132,random,success,50
133,random,success,26
134,random,collision,32
135,random,collision,40
136,random,collision,24
137,random,collision,35
138,random,collision,28
139,random,collision,22
140,random,success,22
141,random,collision,17
142,random,collision,12
143,random,success,34
144,random,success,42
145,random,collision,26
146,random,collision,13
147,random,collision,43
148,random,collision,38
149,random,success,24
150,random,collision,4
151,random,collision,7
152,random,collision,14
153,random,collision,9
154,random,success,34
155,random,success,24
156,random,collision,20
157,random,collision,66
158,random,collision,23
159,random,collision,52
160,random,collision,25
161,random,collision,77
162,random,collision,5
163,random,collision,37
164,random,collision,18
165,random,collision,22
166,random,collision,5
167,random,collision,18
168,random,collision,65
169,random,success,83
170,random,collision,26
171,random,collision,23
172,random,collision,13
173,random,collision,17
174,random,collision,17
175,random,collision,38
176,random,success,44
177,random,collision,1
178,random,success,56
179,random,collision,16
180,random,collision,20
181,random,collision,3
182,random,success,23
183,random,collision,17
184,random,success,43
185,random,collision,30
186,random,collision,26
187,random,success,66
188,random,success,32
189,random,collision,6
190,random,success,34
191,random,success,43
192,random,collision,14
193,random,collision,26
194,random,collision,8
195,random,success,41
196,random,success,42
197,random,success,45
198,random,collision,23
199,random,success,61
200,parallel,collision,43
201,parallel,success,23
202,parallel,collision,6
203,parallel,collision,23
204,parallel,success,39
205,parallel,collision,17
206,parallel,collision,30
207,parallel,collision,8
208,parallel,success,24
209,parallel,success,91
210,parallel,collision,22
211,parallel,collision,29
212,parallel,collision,9
213,parallel,success,64
214,parallel,success,47
215,parallel,success,48
216,parallel,success,54
217,parallel,collision,28
218,parallel,collision,7
219,parallel,success,34
220,parallel,success,64
221,parallel,collision,56
222,parallel,success,32
223,parallel,collision,21
224,parallel,collision,6
225,parallel,collision,24
226,parallel,success,82
227,parallel,collision,21
228,parallel,success,61
229,parallel,success,54
230,parallel,collision,9
231,parallel,collision,32
232,parallel,collision,9
233,parallel,success,27
234,parallel,success,24
235,parallel,success,61
236,parallel,collision,8
237,parallel,collision,85
238,parallel,success,29
239,parallel,success,30
240,parallel,collision,9
241,parallel,collision,11
242,parallel,collision,9
243,parallel,collision,24
244,parallel,success,22
245,parallel,collision,8
246,parallel,success,27
247,parallel,success,85
248,parallel,success,28
249,parallel,success,38
250,parallel,collision,23
251,parallel,success,29
252,parallel,collision,8
253,parallel,collision,23
254,parallel,collision,24
255,parallel,success,47
256,parallel,collision,40
257,parallel,collision,29
258,parallel,success,25
259,parallel,success,39
260,parallel,collision,27
261,parallel,success,65
262,parallel,success,38
263,parallel,collision,18
264,parallel,collision,6
265,parallel,collision,65
266,parallel,collision,25
267,parallel,collision,11
268,parallel,success,37
269,parallel,collision,8
270,parallel,collision,58
271,parallel,collision,9
272,parallel,success,62
273,parallel,collision,22
274,parallel,success,87
275,parallel,collision,8
276,parallel,success,42
277,parallel,collision,24
278,parallel,collision,6
279,parallel,collision,29
280,parallel,collision,19
281,parallel,collision,47
282,parallel,collision,26
283,parallel,success,78
284,parallel,collision,22
285,parallel,collision,23
286,parallel,success,25
287,parallel,collision,29
288,parallel,success,53
289,parallel,collision,7
290,parallel,success,34
291,parallel,collision,34
292,parallel,collision,9
293,parallel,collision,36
294,parallel,success,66
295,parallel,success,27
296,parallel,collision,8
297,parallel,collision,20
298,parallel,success,27
299,parallel,collision,11
