idx,scenario,outcome,num_steps
0,circular,collision,167
1,circular,collision,4
2,circular,timeout,250
3,circular,collision,217
4,circular,collision,11
5,circular,collision,88
6,circular,collision,129
7,circular,timeout,250
8,circular,timeout,250
9,circular,collision,76
10,circular,timeout,250
11,circular,collision,6
12,circular,collision,43
13,circular,collision,11
14,circular,collision,7
15,circular,collision,5
16,circular,collision,4
17,circular,collision,31
18,circular,collision,8
19,circular,collision,207
20,circular,timeout,250
21,circular,collision,71
22,circular,collision,28
23,circular,collision,41
24,circular,collision,5
25,circular,collision,31
26,circular,collision,11
27,circular,timeout,250
28,circular,collision,51
29,circular,collision,5
30,circular,timeout,250
31,circular,collision,137
32,circular,collision,8
33,circular,timeout,250
34,circular,collision,98
35,circular,collision,8
36,circular,collision,181
37,circular,collision,25
38,circular,collision,6
39,circular,collision,3
40,circular,collision,162
41,circular,collision,7
42,circular,timeout,250
43,circular,collision,6
44,circular,collision,8
45,circular,collision,7
46,circular,collision,9
47,circular,collision,27
48,circular,timeout,250
49,circular,collision,4
50,circular,timeout,250
51,circular,collision,7
52,circular,collision,41
53,circular,collision,9
54,circular,collision,6
55,circular,collision,108
56,circular,collision,12
57,circular,collision,3
58,circular,timeout,250
59,circular,collision,29
60,circular,collision,44
61,circular,timeout,250
62,circular,collision,132
63,circular,collision,72
64,circular,collision,6
65,circular,collision,9
66,circular,collision,70
67,circular,collision,10
68,circular,collision,128
69,circular,timeout,250
70,circular,collision,142
71,circular,collision,52
72,circular,collision,58
73,circular,collision,9
74,circular,collision,23
75,circular,collision,15
76,circular,collision,19
77,circular,collision,116
78,circular,collision,124
79,circular,collision,8
80,circular,collision,7
81,circular,collision,156
82,circular,collision,4
83,circular,collision,9
84,circular,collision,40
85,circular,collision,18
86,circular,collision,113
87,circular,collision,9
88,circular,collision,53
89,circular,collision,131
90,circular,collision,6
91,circular,collision,68
92,circular,timeout,250
93,circular,timeout,250
94,circular,collision,124
95,circular,timeout,250
96,circular,collision,134
97,circular,collision,110
98,circular,collision,71
99,circular,collision,182
100,random,collision,173
101,random,collision,1
102,random,collision,24
103,random,collision,31
104,random,collision,35
105,random,collision,49
106,random,collision,75
107,random,collision,42
108,random,collision,15
109,random,collision,42
110,random,collision,4
111,random,collision,10
112,random,collision,12
113,random,collision,109
114,random,collision,189
115,random,collision,4
116,random,collision,30
117,random,timeout,250
118,random,timeout,250
119,random,collision,3
120,random,collision,42
121,random,collision,31
122,random,collision,61
123,random,collision,8
124,random,success,49
125,random,collision,4
126,random,collision,16
127,random,timeout,250
128,random,collision,2
129,random,collision,11
130,random,collision,25
131,random,collision,27
132,random,collision,68
133,random,timeout,250
134,random,collision,22
135,random,collision,78
136,random,collision,18
137,random,collision,22
138,random,collision,32
139,random,collision,27
140,random,collision,87
141,random,collision,24
142,random,collision,11
143,random,timeout,250
144,random,collision,15
145,random,collision,54
146,random,collision,13
147,random,timeout,250
148,random,timeout,250
149,random,timeout,250
150,random,collision,27
151,random,collision,3
152,random,collision,37
153,random,collision,6
154,random,collision,84
155,random,collision,13
156,random,collision,20
157,random,collision,46
158,random,collision,72
159,random,success,50
160,random,timeout,250
161,random,collision,203
162,random,collision,3
163,random,collision,28
164,random,success,38
165,random,collision,11
166,random,collision,5
167,random,collision,21
168,random,collision,34
169,random,collision,22
170,random,collision,49
171,random,collision,105
172,random,collision,58
173,random,timeout,250
174,random,collision,21
175,random,collision,16
176,random,collision,94
177,random,collision,2
178,random,collision,243
179,random,collision,15
180,random,collision,14
181,random,collision,6
182,random,collision,70
183,random,collision,45
184,random,collision,22
185,random,collision,29
186,random,collision,25
187,random,collision,20
188,random,collision,39
189,random,success,42
190,random,timeout,250
191,random,timeout,250
192,random,collision,11
193,random,collision,54
194,random,collision,7
195,random,timeout,250
196,random,collision,15
197,random,collision,43
198,random,collision,21
199,random,collision,21
200,parallel,collision,16
201,parallel,collision,28
202,parallel,collision,9
203,parallel,timeout,250
204,parallel,collision,28
205,parallel,collision,17
206,parallel,collision,47
207,parallel,collision,8
208,parallel,collision,102
209,parallel,collision,51
210,parallel,collision,76
211,parallel,success,83
212,parallel,collision,9
213,parallel,collision,156
214,parallel,success,91
215,parallel,collision,27
216,parallel,collision,27
217,parallel,collision,52
218,parallel,collision,37
219,parallel,collision,30
220,parallel,timeout,250
221,parallel,collision,39
222,parallel,collision,26
223,parallel,collision,40
224,parallel,collision,7
225,parallel,collision,183
226,parallel,collision,19
227,parallel,collision,8
228,parallel,collision,28
229,parallel,timeout,250
230,parallel,collision,45
231,parallel,collision,83
232,parallel,collision,7
