idx,scenario,outcome,num_steps
0,circular,success,95
1,circular,collision,4
2,circular,success,45
3,circular,collision,9
4,circular,collision,21
5,circular,collision,90
6,circular,success,34
7,circular,success,187
8,circular,collision,96
9,circular,success,54
10,circular,collision,88
11,circular,collision,6
12,circular,success,24
13,circular,collision,11
14,circular,collision,6
15,circular,collision,5
16,circular,collision,4
17,circular,collision,30
18,circular,collision,14
19,circular,success,108
20,circular,success,42
21,circular,collision,160
22,circular,collision,29
23,circular,success,119
24,circular,collision,5
25,circular,collision,34
26,circular,collision,9
27,circular,success,20
28,circular,collision,49
29,circular,collision,5
30,circular,success,117
31,circular,collision,4
32,circular,collision,9
33,circular,success,96
34,circular,collision,32
35,circular,collision,9
36,circular,collision,50
37,circular,collision,27
38,circular,collision,5
39,circular,collision,3
40,circular,success,21
41,circular,collision,7
42,circular,success,185
43,circular,collision,5
44,circular,collision,9
45,circular,collision,24
46,circular,collision,131
47,circular,collision,28
48,circular,collision,60
49,circular,collision,4
50,circular,collision,122
51,circular,collision,161
52,circular,success,18
53,circular,collision,9
54,circular,success,106
55,circular,success,35
56,circular,collision,13
57,circular,collision,3
58,circular,success,26
59,circular,success,28
60,circular,collision,44
61,circular,collision,7
62,circular,collision,130
63,circular,success,71
64,circular,collision,7
65,circular,collision,9
66,circular,success,172
67,circular,success,34
68,circular,collision,131
69,circular,collision,5
70,circular,collision,8
71,circular,collision,218
72,circular,success,204
73,circular,collision,9
74,circular,success,87
75,circular,collision,15
76,circular,collision,44
77,circular,success,17
78,circular,success,64
79,circular,collision,8
80,circular,collision,7
81,circular,success,39
82,circular,collision,52
83,circular,collision,9
84,circular,collision,31
85,circular,collision,76
86,circular,success,203
87,circular,collision,9
88,circular,collision,54
89,circular,success,86
90,circular,collision,7
91,circular,collision,124
92,circular,collision,7
93,circular,collision,9
94,circular,success,24
95,circular,success,24
96,circular,success,64
97,circular,success,150
98,circular,collision,8
99,circular,collision,8
100,random,success,55
101,random,collision,1
102,random,collision,8
103,random,success,33
104,random,collision,35
105,random,collision,49
106,random,collision,24
107,random,success,36
108,random,collision,15
109,random,collision,25
110,random,collision,4
111,random,collision,11
112,random,collision,11
113,random,success,83
114,random,success,31
115,random,collision,4
116,random,collision,36
117,random,collision,34
118,random,timeout,250
119,random,collision,3
120,random,collision,25
121,random,collision,30
122,random,collision,16
123,random,collision,34
124,random,collision,50
125,random,collision,3
126,random,collision,17
127,random,success,26
128,random,collision,2
129,random,collision,11
130,random,collision,25
131,random,collision,20
132,random,collision,68
133,random,timeout,250
134,random,collision,22
135,random,success,42
136,random,collision,7
137,random,collision,22
138,random,collision,36
139,random,collision,33
140,random,collision,39
141,random,collision,43
142,random,collision,12
143,random,success,37
144,random,success,40
145,random,collision,28
146,random,collision,14
147,random,collision,22
148,random,success,41
149,random,timeout,250
150,random,collision,3
151,random,collision,3
152,random,success,63
153,random,collision,5
154,random,success,34
155,random,collision,13
156,random,collision,5
157,random,collision,145
158,random,collision,21
159,random,success,83
160,random,success,70
161,random,collision,72
162,random,collision,3
163,random,collision,23
