idx,scenario,outcome,num_steps
0,circular,success,62
1,circular,success,40
2,circular,success,49
3,circular,collision,10
4,circular,success,66
5,circular,collision,5
6,circular,success,53
7,circular,success,68
8,circular,success,50
9,circular,success,57
10,circular,collision,10
11,circular,success,43
12,circular,success,36
13,circular,collision,9
14,circular,collision,5
15,circular,collision,32
16,circular,collision,33
17,circular,collision,30
18,circular,collision,9
19,circular,collision,7
20,circular,success,44
21,circular,collision,13
22,circular,collision,29
23,circular,success,25
24,circular,collision,6
25,circular,collision,12
26,circular,collision,12
27,circular,collision,7
28,circular,success,49
29,circular,collision,6
30,circular,success,34
31,circular,collision,4
32,circular,collision,7
33,circular,success,32
34,circular,collision,21
35,circular,collision,10
36,circular,success,44
37,circular,collision,9
38,circular,collision,6
39,circular,collision,4
40,circular,success,35
41,circular,collision,17
42,circular,collision,9
43,circular,collision,6
44,circular,collision,22
45,circular,collision,25
46,circular,success,57
47,circular,collision,12
48,circular,success,50
49,circular,collision,6
50,circular,collision,8
51,circular,collision,5
52,circular,success,37
53,circular,collision,9
54,circular,success,46
55,circular,collision,39
56,circular,collision,8
57,circular,collision,4
58,circular,collision,5
59,circular,success,51
60,circular,success,45
61,circular,collision,9
62,circular,success,43
63,circular,success,27
64,circular,collision,7
65,circular,collision,12
66,circular,collision,29
67,circular,collision,9
68,circular,success,40
69,circular,collision,3
70,circular,collision,9
71,circular,collision,9
72,circular,collision,29
73,circular,collision,6
74,circular,collision,8
75,circular,collision,8
76,circular,collision,9
77,circular,success,27
78,circular,success,62
79,circular,collision,9
80,circular,collision,12
81,circular,success,31
82,circular,collision,5
83,circular,collision,9
84,circular,collision,24
85,circular,collision,7
86,circular,success,24
87,circular,collision,10
88,circular,collision,12
89,circular,collision,9
90,circular,collision,6
91,circular,collision,28
92,circular,collision,42
93,circular,collision,10
94,circular,collision,6
95,circular,success,57
96,circular,collision,40
97,circular,collision,4
98,circular,collision,9
99,circular,collision,7
100,random,success,48
101,random,collision,1
102,random,collision,11
103,random,collision,11
104,random,collision,41
105,random,collision,28
106,random,collision,66
107,random,collision,12
108,random,collision,17
109,random,success,78
110,random,collision,30
111,random,success,40
112,random,collision,11
113,random,collision,38
114,random,success,52
115,random,collision,5
116,random,collision,32
117,random,success,76
118,random,success,47
119,random,collision,3
120,random,success,75
121,random,collision,19
122,random,collision,42
123,random,collision,20
124,random,collision,20
125,random,collision,3
126,random,collision,18
127,random,success,46
128,random,collision,2
129,random,collision,12
130,random,collision,34
131,random,collision,23
132,random,success,59
133,random,success,37
134,random,collision,40
135,random,success,48
136,random,collision,43
137,random,success,86
138,random,collision,30
139,random,collision,21
140,random,collision,34
141,random,collision,36
142,random,collision,15
143,random,success,64
144,random,success,76
145,random,collision,43
146,random,collision,22
147,random,collision,40
148,random,collision,48
149,random,success,44
150,random,collision,30
151,random,collision,3
152,random,collision,17
153,random,collision,7
154,random,success,58
155,random,collision,13
156,random,collision,5
157,random,collision,56
158,random,success,65
159,random,success,55
160,random,success,69
161,random,success,63
162,random,collision,3
163,random,collision,36
164,random,collision,15
165,random,collision,21
166,random,collision,5
167,random,collision,24
168,random,collision,19
169,random,collision,16
170,random,collision,25
171,random,collision,43
172,random,collision,34
173,random,success,74
174,random,collision,21
175,random,collision,2
176,random,success,54
177,random,collision,2
178,random,success,60
179,random,collision,16
180,random,collision,27
181,random,collision,38
182,random,success,37
183,random,collision,20
184,random,collision,5
185,random,collision,4
186,random,collision,17
187,random,collision,21
188,random,collision,46
189,random,collision,3
190,random,success,41
191,random,success,62
192,random,collision,25
193,random,collision,16
194,random,collision,49
195,random,success,72
196,random,collision,16
197,random,success,73
198,random,collision,26
199,random,collision,27
200,parallel,success,65
201,parallel,collision,32
202,parallel,collision,8
203,parallel,collision,11
204,parallel,success,44
205,parallel,collision,51
206,parallel,collision,63
207,parallel,collision,5
208,parallel,collision,6
209,parallel,collision,31
210,parallel,success,53
211,parallel,collision,43
212,parallel,success,50
213,parallel,collision,35
214,parallel,collision,21
215,parallel,collision,11
216,parallel,collision,33
217,parallel,collision,9
218,parallel,collision,26
219,parallel,collision,23
220,parallel,success,32
221,parallel,collision,29
