idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,collision,5
2,circular,success,29
3,circular,collision,12
4,circular,collision,22
5,circular,collision,6
6,circular,collision,27
7,circular,success,42
8,circular,collision,36
9,circular,collision,26
10,circular,collision,7
11,circular,collision,24
12,circular,success,28
13,circular,collision,10
14,circular,collision,5
15,circular,collision,31
16,circular,collision,33
17,circular,collision,7
18,circular,collision,14
19,circular,collision,7
20,circular,success,25
21,circular,collision,9
22,circular,collision,30
23,circular,success,15
24,circular,collision,6
25,circular,collision,29
26,circular,collision,12
27,circular,collision,9
28,circular,collision,8
29,circular,collision,7
30,circular,success,21
31,circular,collision,3
32,circular,collision,7
33,circular,success,14
34,circular,success,38
35,circular,collision,10
36,circular,collision,6
37,circular,collision,8
38,circular,collision,6
39,circular,collision,3
40,circular,success,24
41,circular,collision,32
42,circular,collision,8
43,circular,collision,7
44,circular,collision,19
45,circular,success,39
46,circular,collision,21
47,circular,collision,32
48,circular,collision,6
49,circular,collision,5
50,circular,collision,10
51,circular,collision,5
52,circular,success,18
53,circular,success,24
54,circular,success,32
55,circular,success,38
56,circular,collision,39
57,circular,collision,4
58,circular,collision,4
59,circular,success,36
60,circular,success,24
61,circular,collision,8
62,circular,collision,8
63,circular,success,21
64,circular,collision,8
65,circular,collision,5
66,circular,collision,26
67,circular,collision,9
68,circular,success,19
69,circular,collision,4
70,circular,collision,9
71,circular,collision,9
72,circular,collision,22
73,circular,collision,3
74,circular,collision,8
75,circular,collision,28
76,circular,collision,9
77,circular,success,20
78,circular,success,27
79,circular,collision,12
80,circular,collision,36
81,circular,success,17
82,circular,collision,5
83,circular,collision,11
84,circular,collision,11
85,circular,collision,7
86,circular,success,11
87,circular,collision,10
88,circular,collision,8
89,circular,collision,9
90,circular,collision,6
91,circular,collision,9
92,circular,collision,6
93,circular,collision,10
94,circular,collision,6
95,circular,success,28
96,circular,collision,29
97,circular,collision,3
98,circular,collision,9
99,circular,collision,7
100,random,success,42
101,random,collision,1
102,random,collision,20
103,random,success,84
104,random,success,70
105,random,success,36
106,random,collision,39
107,random,collision,9
108,random,collision,17
109,random,collision,22
110,random,collision,26
111,random,collision,5
112,random,collision,12
113,random,success,42
114,random,success,34
115,random,collision,5
116,random,collision,48
117,random,collision,17
118,random,success,31
119,random,collision,4
120,random,collision,34
121,random,collision,19
122,random,collision,39
123,random,collision,51
124,random,success,27
125,random,collision,4
126,random,collision,22
127,random,success,27
128,random,collision,2
129,random,collision,13
130,random,collision,35
131,random,collision,37
132,random,success,42
133,random,success,29
134,random,collision,19
135,random,collision,13
136,random,success,37
137,random,success,52
138,random,collision,27
139,random,success,38
140,random,success,22
141,random,success,61
142,random,collision,18
143,random,success,38
144,random,collision,31
145,random,success,51
146,random,collision,19
147,random,collision,35
148,random,success,54
149,random,success,22
