idx,scenario,outcome,num_steps
0,circular,collision,12
1,circular,success,32
2,circular,collision,3
3,circular,collision,10
4,circular,success,57
5,circular,collision,5
6,circular,success,43
7,circular,success,49
8,circular,collision,35
9,circular,success,58
10,circular,collision,10
11,circular,success,37
12,circular,collision,32
13,circular,collision,10
14,circular,collision,6
15,circular,collision,5
16,circular,collision,26
17,circular,collision,7
18,circular,collision,13
19,circular,collision,6
20,circular,collision,10
21,circular,success,29
22,circular,collision,44
23,circular,success,21
24,circular,collision,7
25,circular,collision,33
26,circular,collision,9
27,circular,collision,8
28,circular,success,28
29,circular,success,35
30,circular,success,26
31,circular,collision,3
32,circular,collision,7
33,circular,success,19
34,circular,success,41
35,circular,success,30
36,circular,success,40
37,circular,collision,9
38,circular,success,28
39,circular,collision,3
40,circular,success,28
41,circular,collision,33
42,circular,collision,10
43,circular,collision,36
44,circular,collision,17
45,circular,collision,26
46,circular,success,40
47,circular,collision,10
48,circular,collision,24
49,circular,collision,6
50,circular,collision,7
51,circular,success,35
52,circular,collision,4
53,circular,success,27
54,circular,collision,30
55,circular,success,40
56,circular,collision,11
57,circular,collision,4
58,circular,collision,5
59,circular,collision,21
60,circular,success,31
61,circular,collision,9
62,circular,collision,7
63,circular,success,27
64,circular,collision,8
65,circular,collision,27
66,circular,collision,10
67,circular,collision,9
68,circular,success,21
69,circular,collision,3
70,circular,collision,11
71,circular,collision,13
72,circular,success,47
73,circular,collision,3
74,circular,collision,7
75,circular,collision,7
76,circular,collision,10
77,circular,success,21
78,circular,success,42
79,circular,collision,10
80,circular,collision,10
81,circular,success,21
82,circular,collision,5
83,circular,collision,12
84,circular,collision,15
85,circular,collision,5
86,circular,success,15
87,circular,collision,10
88,circular,collision,8
89,circular,collision,9
90,circular,collision,26
91,circular,collision,10
92,circular,collision,24
93,circular,collision,10
94,circular,collision,5
95,circular,success,30
96,circular,collision,41
97,circular,collision,4
98,circular,collision,11
99,circular,collision,8
100,random,success,35
101,random,collision,1
102,random,collision,21
103,random,collision,10
104,random,collision,43
105,random,success,45
106,random,collision,30
107,random,collision,39
108,random,success,51
109,random,collision,26
110,random,collision,32
111,random,collision,4
112,random,collision,11
113,random,success,51
114,random,success,41
115,random,collision,4
116,random,collision,33
117,random,collision,15
118,random,success,47
119,random,collision,4
120,random,collision,41
121,random,collision,20
122,random,collision,43
123,random,collision,28
124,random,collision,35
125,random,collision,4
126,random,collision,14
127,random,success,29
128,random,collision,2
129,random,collision,12
130,random,success,45
131,random,collision,19
132,random,success,40
133,random,success,29
134,random,collision,27
135,random,collision,14
136,random,collision,43
137,random,collision,22
138,random,collision,29
139,random,success,37
140,random,success,30
141,random,collision,25
142,random,collision,17
143,random,success,53
144,random,success,48
145,random,collision,32
146,random,collision,18
147,random,success,67
148,random,collision,38
149,random,success,26
150,random,collision,19
151,random,collision,9
152,random,collision,16
153,random,collision,6
154,random,success,43
155,random,collision,11
156,random,collision,5
157,random,collision,53
158,random,collision,20
159,random,success,48
160,random,success,77
161,random,success,68
162,random,collision,3
163,random,collision,28
164,random,collision,16
165,random,collision,19
166,random,collision,6
167,random,collision,25
168,random,collision,41
169,random,collision,18
170,random,collision,33
171,random,collision,39
172,random,collision,17
173,random,collision,22
174,random,collision,22
175,random,collision,2
176,random,collision,41
177,random,collision,1
178,random,success,60
179,random,collision,20
180,random,success,50
181,random,collision,24
182,random,success,31
183,random,collision,39
184,random,collision,10
185,random,collision,4
186,random,collision,40
187,random,collision,22
188,random,collision,45
189,random,collision,2
190,random,collision,13
191,random,success,51
192,random,collision,32
193,random,collision,7
194,random,collision,8
195,random,success,42
196,random,collision,10
197,random,success,47
198,random,collision,28
199,random,collision,27
200,parallel,success,59
201,parallel,success,29
202,parallel,collision,7
203,parallel,collision,9
204,parallel,success,42
205,parallel,collision,12
206,parallel,collision,26
207,parallel,collision,7
208,parallel,success,40
209,parallel,collision,27
210,parallel,collision,11
211,parallel,success,39
212,parallel,collision,31
213,parallel,collision,54
214,parallel,collision,21
215,parallel,collision,11
216,parallel,collision,38
217,parallel,collision,10
218,parallel,collision,9
219,parallel,success,51
220,parallel,collision,25
221,parallel,collision,12
222,parallel,success,38
223,parallel,collision,22
224,parallel,collision,8
225,parallel,collision,10
226,parallel,collision,7
227,parallel,collision,28
228,parallel,collision,32
229,parallel,collision,8
230,parallel,collision,9
231,parallel,success,49
232,parallel,success,41
233,parallel,collision,7
234,parallel,success,28
235,parallel,success,36
236,parallel,collision,8
237,parallel,success,43
238,parallel,success,29
239,parallel,success,41
240,parallel,collision,7
241,parallel,collision,15
242,parallel,collision,7
243,parallel,collision,62
244,parallel,collision,27
245,parallel,collision,6
246,parallel,collision,26
247,parallel,collision,27
248,parallel,collision,10
249,parallel,collision,28
250,parallel,collision,13
251,parallel,collision,12
252,parallel,collision,8
253,parallel,collision,13
254,parallel,collision,14
255,parallel,collision,34
256,parallel,collision,29
257,parallel,collision,29
258,parallel,collision,11
259,parallel,collision,62
260,parallel,collision,27
261,parallel,collision,38
262,parallel,collision,7
263,parallel,collision,8
264,parallel,success,62
265,parallel,collision,7
266,parallel,collision,8
267,parallel,collision,6
268,parallel,collision,10
269,parallel,collision,12
270,parallel,success,55
271,parallel,collision,10
272,parallel,collision,35
273,parallel,collision,8
274,parallel,collision,7
275,parallel,collision,9
276,parallel,collision,53
277,parallel,collision,13
278,parallel,collision,27
279,parallel,collision,27
280,parallel,success,51
281,parallel,collision,34
282,parallel,collision,30
283,parallel,collision,8
284,parallel,collision,13
285,parallel,collision,27
286,parallel,success,28
287,parallel,collision,34
288,parallel,collision,10
289,parallel,collision,7
290,parallel,collision,7
291,parallel,collision,29
292,parallel,success,50
293,parallel,collision,7
294,parallel,collision,27
295,parallel,collision,12
296,parallel,collision,6
297,parallel,success,49
298,parallel,success,30
299,parallel,collision,13
