idx,scenario,outcome,num_steps
0,circular,collision,43
1,circular,success,36
2,circular,collision,4
3,circular,collision,11
4,circular,collision,20
5,circular,collision,21
6,circular,collision,28
7,circular,collision,30
8,circular,collision,36
9,circular,success,50
10,circular,collision,7
11,circular,success,33
12,circular,collision,26
13,circular,collision,8
14,circular,collision,6
15,circular,collision,30
16,circular,success,51
17,circular,collision,7
18,circular,collision,22
19,circular,collision,5
20,circular,collision,8
21,circular,success,30
22,circular,collision,21
23,circular,success,23
24,circular,collision,6
25,circular,collision,57
26,circular,success,47
27,circular,success,23
28,circular,collision,7
29,circular,collision,5
30,circular,collision,8
31,circular,collision,3
32,circular,collision,6
33,circular,success,21
34,circular,success,39
35,circular,collision,10
36,circular,success,38
37,circular,collision,9
38,circular,collision,5
39,circular,collision,3
40,circular,success,33
41,circular,collision,53
42,circular,collision,9
43,circular,collision,5
44,circular,collision,26
45,circular,success,45
46,circular,collision,12
47,circular,collision,10
48,circular,success,59
49,circular,collision,5
50,circular,collision,9
51,circular,collision,5
52,circular,success,23
53,circular,success,32
54,circular,success,43
55,circular,collision,35
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,success,38
60,circular,success,34
61,circular,collision,10
62,circular,collision,7
63,circular,success,35
64,circular,success,30
65,circular,collision,10
66,circular,collision,9
67,circular,collision,9
68,circular,success,19
69,circular,collision,3
70,circular,collision,8
71,circular,collision,9
72,circular,collision,6
73,circular,collision,4
74,circular,collision,39
75,circular,collision,6
76,circular,collision,9
77,circular,success,34
78,circular,success,31
79,circular,collision,9
80,circular,collision,14
81,circular,success,18
82,circular,collision,6
83,circular,collision,9
84,circular,collision,14
85,circular,collision,5
86,circular,success,12
87,circular,collision,11
88,circular,collision,9
89,circular,collision,10
90,circular,collision,6
91,circular,collision,9
92,circular,collision,27
93,circular,collision,18
94,circular,collision,6
95,circular,success,33
96,circular,collision,25
97,circular,collision,4
98,circular,collision,10
99,circular,collision,7
100,random,success,50
101,random,collision,1
102,random,collision,16
103,random,collision,10
104,random,collision,42
105,random,success,51
106,random,collision,38
107,random,collision,12
108,random,collision,16
109,random,collision,35
