idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,success,28
2,circular,success,26
3,circular,collision,26
4,circular,collision,17
5,circular,collision,5
6,circular,success,37
7,circular,collision,31
8,circular,success,41
9,circular,collision,30
10,circular,collision,8
11,circular,success,32
12,circular,success,26
13,circular,collision,8
14,circular,collision,6
15,circular,success,42
16,circular,collision,34
17,circular,collision,6
18,circular,success,28
19,circular,collision,6
20,circular,success,27
21,circular,collision,7
22,circular,collision,39
23,circular,success,16
24,circular,collision,6
25,circular,collision,51
26,circular,collision,19
27,circular,collision,7
28,circular,success,24
29,circular,collision,6
30,circular,collision,9
31,circular,collision,3
32,circular,collision,6
33,circular,collision,6
34,circular,collision,18
35,circular,success,24
36,circular,collision,25
37,circular,collision,7
38,circular,collision,6
39,circular,collision,4
40,circular,success,26
41,circular,collision,19
42,circular,collision,7
43,circular,collision,5
44,circular,collision,17
45,circular,success,41
46,circular,success,32
47,circular,collision,10
48,circular,success,34
49,circular,collision,6
50,circular,collision,10
51,circular,collision,5
52,circular,success,23
53,circular,success,26
54,circular,collision,28
55,circular,collision,39
56,circular,collision,8
57,circular,collision,4
58,circular,collision,5
59,circular,success,36
60,circular,success,25
61,circular,collision,8
62,circular,collision,7
63,circular,success,19
64,circular,collision,7
65,circular,collision,12
66,circular,success,26
67,circular,collision,10
68,circular,success,18
69,circular,collision,3
70,circular,collision,8
71,circular,collision,10
72,circular,collision,6
73,circular,collision,4
74,circular,collision,9
75,circular,collision,6
76,circular,collision,9
77,circular,success,32
78,circular,collision,8
79,circular,collision,9
80,circular,collision,25
81,circular,success,18
82,circular,collision,5
83,circular,collision,9
84,circular,collision,12
85,circular,collision,6
86,circular,success,12
87,circular,collision,9
88,circular,collision,11
89,circular,collision,8
90,circular,collision,6
91,circular,collision,8
92,circular,success,49
93,circular,collision,11
94,circular,collision,6
95,circular,success,29
96,circular,success,46
97,circular,collision,5
98,circular,collision,9
99,circular,collision,9
100,random,success,43
101,random,collision,1
102,random,collision,22
103,random,success,43
104,random,success,72
105,random,success,39
106,random,collision,44
107,random,collision,14
108,random,collision,17
109,random,collision,19
110,random,collision,26
111,random,collision,25
112,random,collision,12
113,random,collision,23
114,random,success,35
115,random,collision,4
116,random,collision,34
117,random,collision,16
118,random,success,30
119,random,collision,3
120,random,success,48
121,random,collision,18
122,random,success,82
123,random,success,55
124,random,success,27
125,random,collision,5
126,random,collision,20
127,random,success,28
128,random,collision,2
129,random,collision,13
130,random,collision,41
131,random,collision,40
132,random,success,47
133,random,success,28
134,random,collision,33
135,random,collision,15
136,random,success,34
137,random,success,70
138,random,collision,27
139,random,success,36
140,random,collision,27
141,random,collision,49
142,random,collision,25
143,random,collision,32
144,random,success,51
145,random,success,50
146,random,collision,22
147,random,success,61
148,random,collision,44
149,random,success,23
150,random,collision,18
151,random,collision,7
152,random,collision,25
153,random,collision,13
154,random,success,36
155,random,collision,13
156,random,collision,6
157,random,success,51
158,random,collision,18
159,random,collision,37
160,random,collision,50
161,random,collision,27
162,random,collision,3
163,random,collision,35
164,random,collision,18
165,random,collision,18
166,random,collision,5
167,random,collision,24
168,random,collision,20
169,random,collision,15
170,random,collision,41
171,random,collision,31
172,random,collision,38
173,random,collision,17
174,random,success,41
175,random,collision,2
176,random,collision,39
177,random,collision,2
178,random,success,48
179,random,success,38
180,random,collision,18
181,random,collision,34
182,random,success,21
183,random,collision,19
184,random,collision,5
185,random,collision,3
186,random,collision,30
187,random,collision,20
188,random,collision,50
189,random,collision,3
190,random,collision,12
191,random,success,42
192,random,collision,25
193,random,collision,14
194,random,collision,9
195,random,success,42
196,random,collision,9
197,random,collision,29
198,random,success,41
199,random,success,28
200,parallel,collision,11
201,parallel,success,23
202,parallel,collision,9
203,parallel,success,42
204,parallel,success,35
205,parallel,success,41
206,parallel,collision,42
207,parallel,collision,6
208,parallel,success,35
209,parallel,success,35
210,parallel,collision,22
211,parallel,collision,25
212,parallel,success,44
213,parallel,success,64
214,parallel,success,47
215,parallel,collision,10
216,parallel,collision,50
217,parallel,collision,10
218,parallel,success,48
219,parallel,success,51
220,parallel,success,31
221,parallel,collision,30
222,parallel,success,34
223,parallel,collision,33
224,parallel,collision,21
225,parallel,success,23
226,parallel,collision,6
227,parallel,collision,27
228,parallel,collision,8
229,parallel,collision,10
230,parallel,collision,38
231,parallel,collision,32
232,parallel,success,39
233,parallel,success,39
234,parallel,success,25
235,parallel,success,39
236,parallel,collision,8
237,parallel,success,43
238,parallel,success,29
239,parallel,success,33
240,parallel,collision,8
241,parallel,collision,45
242,parallel,collision,10
243,parallel,collision,29
244,parallel,collision,13
245,parallel,collision,6
246,parallel,collision,27
247,parallel,success,42
248,parallel,collision,20
249,parallel,success,45
250,parallel,collision,16
251,parallel,collision,12
252,parallel,collision,8
253,parallel,success,36
254,parallel,collision,15
255,parallel,success,56
256,parallel,collision,54
257,parallel,collision,27
258,parallel,collision,14
259,parallel,success,53
260,parallel,success,51
261,parallel,collision,25
262,parallel,collision,10
263,parallel,collision,8
264,parallel,success,41
265,parallel,collision,33
266,parallel,collision,32
267,parallel,collision,6
268,parallel,success,47
269,parallel,collision,10
270,parallel,success,45
271,parallel,collision,9
272,parallel,collision,32
273,parallel,success,32
274,parallel,collision,8
275,parallel,collision,9
276,parallel,collision,42
277,parallel,collision,28
278,parallel,collision,26
279,parallel,collision,49
280,parallel,collision,22
281,parallel,success,27
282,parallel,collision,28
283,parallel,collision,6
284,parallel,success,153
285,parallel,collision,24
286,parallel,success,23
287,parallel,collision,42
288,parallel,collision,9
289,parallel,collision,7
290,parallel,collision,13
291,parallel,success,33
292,parallel,success,46
293,parallel,collision,10
294,parallel,collision,30
295,parallel,collision,29
296,parallel,success,23
297,parallel,success,49
298,parallel,success,27
299,parallel,collision,11
