idx,scenario,outcome,num_steps
0,circular,collision,9
1,circular,collision,4
2,circular,collision,3
3,circular,collision,10
4,circular,collision,39
5,circular,collision,4
6,circular,success,44
7,circular,collision,27
8,circular,success,48
9,circular,collision,32
10,circular,collision,7
11,circular,collision,7
12,circular,success,36
13,circular,collision,9
14,circular,collision,5
15,circular,collision,4
16,circular,collision,5
17,circular,collision,6
18,circular,collision,10
19,circular,collision,6
20,circular,success,27
21,circular,success,22
22,circular,collision,24
23,circular,success,16
24,circular,collision,5
25,circular,collision,27
26,circular,collision,5
27,circular,collision,6
28,circular,collision,8
29,circular,success,37
30,circular,success,23
31,circular,collision,2
32,circular,collision,15
33,circular,success,22
34,circular,success,38
35,circular,collision,13
36,circular,success,31
37,circular,collision,7
38,circular,collision,5
39,circular,collision,3
40,circular,success,26
41,circular,collision,14
42,circular,collision,7
43,circular,collision,5
44,circular,collision,5
45,circular,collision,24
46,circular,collision,19
47,circular,collision,8
48,circular,success,42
49,circular,collision,5
50,circular,collision,9
51,circular,success,30
52,circular,success,18
53,circular,success,28
54,circular,success,46
55,circular,success,45
56,circular,collision,11
57,circular,collision,4
58,circular,success,36
59,circular,success,41
60,circular,success,24
61,circular,collision,7
62,circular,collision,9
63,circular,success,19
64,circular,collision,6
65,circular,collision,9
66,circular,collision,25
67,circular,collision,9
68,circular,success,21
69,circular,collision,4
70,circular,collision,10
71,circular,collision,9
72,circular,success,42
73,circular,collision,4
74,circular,collision,22
75,circular,collision,78
76,circular,collision,9
77,circular,success,43
78,circular,success,29
79,circular,collision,10
80,circular,collision,10
81,circular,success,23
82,circular,success,33
83,circular,collision,8
84,circular,collision,11
85,circular,collision,5
86,circular,success,13
87,circular,collision,10
88,circular,collision,7
89,circular,collision,9
90,circular,collision,8
91,circular,collision,8
92,circular,collision,7
93,circular,collision,10
94,circular,collision,6
95,circular,success,28
96,circular,success,49
97,circular,collision,24
98,circular,collision,11
99,circular,collision,7
100,random,success,44
101,random,collision,1
102,random,collision,8
103,random,collision,10
104,random,collision,53
105,random,success,41
106,random,collision,44
107,random,collision,27
108,random,success,50
109,random,collision,25
110,random,collision,5
111,random,collision,6
112,random,collision,14
113,random,success,46
114,random,success,38
115,random,collision,4
116,random,collision,40
117,random,collision,8
118,random,success,35
119,random,collision,3
120,random,collision,38
121,random,collision,48
122,random,collision,52
123,random,collision,23
124,random,success,30
125,random,collision,3
126,random,collision,13
127,random,success,30
128,random,collision,2
129,random,collision,16
130,random,collision,33
131,random,collision,21
132,random,success,42
133,random,success,30
134,random,collision,19
135,random,success,115
136,random,collision,32
137,random,success,79
138,random,collision,66
139,random,success,36
140,random,success,22
141,random,success,68
142,random,success,77
143,random,success,50
144,random,success,50
145,random,collision,48
146,random,collision,18
147,random,collision,41
148,random,collision,38
149,random,success,24
150,random,collision,11
151,random,collision,4
152,random,collision,8
153,random,success,48
154,random,collision,16
155,random,collision,13
156,random,collision,5
157,random,success,145
158,random,collision,22
159,random,success,45
160,random,success,69
161,random,collision,22
162,random,collision,4
163,random,success,56
164,random,collision,16
165,random,collision,12
166,random,collision,6
167,random,collision,20
168,random,collision,15
169,random,collision,14
170,random,collision,32
171,random,collision,33
172,random,collision,13
173,random,collision,8
174,random,collision,40
175,random,collision,2
176,random,timeout,250
177,random,collision,1
178,random,success,55
179,random,success,41
180,random,collision,30
181,random,collision,4
182,random,success,23
183,random,collision,33
184,random,collision,17
185,random,collision,45
186,random,success,61
187,random,collision,19
188,random,success,38
189,random,collision,2
190,random,success,38
191,random,success,45
192,random,collision,24
193,random,collision,9
194,random,collision,8
195,random,collision,19
196,random,collision,10
197,random,success,78
198,random,collision,29
199,random,collision,21
200,parallel,collision,32
201,parallel,success,27
202,parallel,collision,7
203,parallel,collision,9
204,parallel,collision,11
205,parallel,collision,16
206,parallel,timeout,250
207,parallel,collision,46
208,parallel,collision,25
209,parallel,collision,27
210,parallel,success,53
211,parallel,collision,18
212,parallel,collision,24
213,parallel,success,74
214,parallel,collision,43
215,parallel,collision,28
216,parallel,collision,37
217,parallel,collision,7
218,parallel,collision,8
219,parallel,collision,23
220,parallel,success,102
221,parallel,success,31
222,parallel,collision,59
223,parallel,success,55
224,parallel,success,71
225,parallel,collision,10
226,parallel,collision,7
227,parallel,collision,22
228,parallel,success,29
229,parallel,collision,12
230,parallel,collision,6
231,parallel,collision,35
232,parallel,success,37
233,parallel,collision,6
234,parallel,success,26
235,parallel,collision,74
236,parallel,success,36
237,parallel,collision,28
238,parallel,success,28
239,parallel,collision,36
240,parallel,collision,7
241,parallel,collision,14
242,parallel,collision,9
243,parallel,collision,55
244,parallel,success,23
245,parallel,success,29
246,parallel,success,30
247,parallel,collision,24
248,parallel,collision,20
249,parallel,success,47
250,parallel,collision,13
251,parallel,collision,13
252,parallel,collision,12
253,parallel,collision,8
254,parallel,success,40
255,parallel,collision,167
256,parallel,collision,65
257,parallel,success,33
258,parallel,collision,12
259,parallel,collision,8
260,parallel,collision,28
261,parallel,collision,67
262,parallel,collision,74
263,parallel,collision,6
264,parallel,collision,24
265,parallel,collision,24
266,parallel,success,89
267,parallel,collision,6
268,parallel,collision,9
269,parallel,collision,9
270,parallel,success,98
271,parallel,success,29
272,parallel,collision,18
273,parallel,collision,14
274,parallel,collision,8
275,parallel,collision,6
276,parallel,collision,33
277,parallel,collision,27
278,parallel,collision,20
279,parallel,success,103
280,parallel,collision,20
281,parallel,success,31
282,parallel,collision,11
283,parallel,collision,9
284,parallel,collision,15
285,parallel,collision,25
286,parallel,success,23
287,parallel,collision,45
288,parallel,collision,9
289,parallel,collision,7
290,parallel,collision,9
291,parallel,success,44
292,parallel,collision,11
293,parallel,collision,6
294,parallel,collision,46
295,parallel,success,29
296,parallel,collision,14
297,parallel,success,50
298,parallel,collision,11
299,parallel,collision,7
