idx,scenario,outcome,num_steps
0,circular,collision,45
1,circular,collision,5
2,circular,collision,12
3,circular,collision,27
4,circular,success,91
5,circular,collision,4
6,circular,success,45
7,circular,success,46
8,circular,success,45
9,circular,collision,28
10,circular,collision,26
11,circular,collision,7
12,circular,success,46
13,circular,collision,9
14,circular,collision,4
15,circular,collision,4
16,circular,collision,4
17,circular,collision,8
18,circular,collision,9
19,circular,collision,5
20,circular,success,29
21,circular,collision,9
22,circular,success,89
23,circular,success,18
24,circular,collision,5
25,circular,collision,9
26,circular,collision,5
27,circular,collision,7
28,circular,success,25
29,circular,success,27
30,circular,success,29
31,circular,collision,3
32,circular,collision,7
33,circular,success,18
34,circular,success,39
35,circular,collision,8
36,circular,collision,23
37,circular,collision,7
38,circular,success,26
39,circular,collision,3
40,circular,success,27
41,circular,collision,7
42,circular,collision,7
43,circular,collision,5
44,circular,collision,4
45,circular,success,49
46,circular,success,51
47,circular,collision,27
48,circular,success,44
49,circular,success,41
50,circular,collision,8
51,circular,collision,4
52,circular,success,24
53,circular,success,38
54,circular,success,33
55,circular,collision,36
56,circular,collision,10
57,circular,collision,4
58,circular,success,41
59,circular,success,39
60,circular,success,26
61,circular,collision,8
62,circular,collision,7
63,circular,collision,7
64,circular,success,41
65,circular,collision,11
66,circular,collision,7
67,circular,collision,8
68,circular,success,20
69,circular,success,34
70,circular,collision,9
71,circular,collision,8
72,circular,collision,5
73,circular,collision,3
74,circular,collision,8
75,circular,collision,50
76,circular,collision,10
77,circular,success,22
78,circular,success,33
79,circular,collision,8
80,circular,collision,10
81,circular,collision,8
82,circular,success,24
83,circular,collision,10
84,circular,collision,11
85,circular,collision,5
86,circular,success,17
87,circular,collision,12
88,circular,collision,10
89,circular,collision,8
90,circular,collision,6
91,circular,collision,8
92,circular,collision,6
93,circular,collision,9
94,circular,collision,6
95,circular,success,26
96,circular,success,52
97,circular,collision,4
98,circular,collision,8
99,circular,collision,8
100,random,success,61
101,random,collision,1
102,random,collision,9
103,random,success,68
104,random,collision,122
105,random,success,44
106,random,collision,27
107,random,collision,15
108,random,success,49
109,random,collision,25
110,random,collision,5
111,random,collision,6
112,random,collision,13
113,random,success,62
114,random,success,40
115,random,collision,4
116,random,collision,43
117,random,collision,10
118,random,success,35
119,random,collision,2
120,random,collision,42
121,random,collision,27
122,random,collision,130
123,random,collision,29
124,random,collision,32
125,random,collision,4
126,random,collision,12
127,random,success,28
128,random,collision,2
129,random,collision,14
130,random,collision,33
131,random,collision,21
132,random,success,46
133,random,success,32
134,random,collision,20
135,random,collision,39
136,random,collision,40
137,random,success,72
138,random,collision,27
139,random,collision,24
140,random,collision,24
141,random,collision,48
142,random,success,84
143,random,success,61
144,random,success,53
145,random,collision,29
146,random,collision,51
147,random,collision,38
148,random,collision,47
149,random,success,23
150,random,collision,39
151,random,collision,3
152,random,collision,5
153,random,collision,5
154,random,success,62
155,random,collision,15
156,random,collision,4
157,random,collision,91
158,random,collision,21
159,random,collision,41
160,random,success,65
161,random,collision,31
162,random,collision,3
163,random,collision,33
164,random,collision,16
165,random,collision,24
166,random,collision,5
167,random,collision,25
168,random,collision,12
169,random,collision,12
170,random,collision,32
171,random,collision,33
172,random,collision,12
173,random,collision,10
174,random,collision,21
175,random,collision,2
176,random,success,61
177,random,collision,1
178,random,success,63
179,random,collision,16
180,random,success,58
181,random,collision,4
182,random,success,22
183,random,collision,33
184,random,collision,4
185,random,collision,39
186,random,success,77
187,random,collision,23
188,random,success,42
189,random,collision,2
190,random,success,33
191,random,success,48
192,random,collision,19
193,random,collision,7
194,random,collision,7
195,random,success,64
196,random,collision,10
197,random,collision,46
198,random,collision,42
199,random,success,37
200,parallel,collision,9
201,parallel,success,31
202,parallel,collision,5
203,parallel,collision,9
204,parallel,collision,9
205,parallel,collision,12
206,parallel,collision,24
207,parallel,collision,5
208,parallel,success,40
209,parallel,collision,30
210,parallel,collision,25
211,parallel,collision,19
212,parallel,collision,12
213,parallel,collision,19
214,parallel,collision,19
215,parallel,collision,35
216,parallel,collision,34
217,parallel,collision,8
218,parallel,collision,9
219,parallel,collision,29
220,parallel,success,38
221,parallel,collision,107
222,parallel,collision,27
223,parallel,collision,21
224,parallel,collision,62
225,parallel,success,28
226,parallel,collision,46
227,parallel,collision,21
228,parallel,collision,13
229,parallel,collision,9
230,parallel,collision,6
231,parallel,collision,29
232,parallel,success,71
233,parallel,collision,7
234,parallel,collision,27
235,parallel,collision,23
236,parallel,collision,9
237,parallel,success,49
238,parallel,success,24
239,parallel,collision,10
240,parallel,collision,6
241,parallel,collision,15
242,parallel,collision,6
243,parallel,collision,10
244,parallel,collision,12
245,parallel,collision,26
246,parallel,success,34
247,parallel,collision,102
248,parallel,collision,8
249,parallel,collision,28
250,parallel,collision,25
251,parallel,success,30
252,parallel,collision,8
253,parallel,collision,35
254,parallel,success,47
255,parallel,collision,45
256,parallel,collision,26
257,parallel,success,30
258,parallel,success,25
259,parallel,collision,55
260,parallel,collision,27
261,parallel,collision,9
262,parallel,collision,9
263,parallel,collision,6
264,parallel,success,47
265,parallel,collision,21
266,parallel,success,63
267,parallel,collision,7
268,parallel,collision,35
269,parallel,collision,9
270,parallel,collision,28
271,parallel,collision,11
272,parallel,collision,52
273,parallel,success,45
274,parallel,collision,8
275,parallel,collision,9
276,parallel,collision,32
277,parallel,collision,21
278,parallel,success,41
279,parallel,collision,41
280,parallel,collision,35
281,parallel,success,29
282,parallel,collision,25
283,parallel,collision,8
284,parallel,collision,11
285,parallel,collision,27
286,parallel,success,25
287,parallel,success,45
288,parallel,collision,10
289,parallel,collision,6
290,parallel,collision,7
291,parallel,collision,12
292,parallel,collision,9
293,parallel,collision,8
294,parallel,success,79
295,parallel,collision,12
296,parallel,collision,9
297,parallel,collision,22
298,parallel,collision,12
299,parallel,collision,7
