idx,scenario,outcome,num_steps
0,circular,collision,30
1,circular,collision,4
2,circular,success,45
3,circular,collision,17
4,circular,collision,25
5,circular,collision,16
6,circular,collision,24
7,circular,success,92
8,circular,success,66
9,circular,collision,31
10,circular,collision,7
11,circular,collision,28
12,circular,collision,21
13,circular,collision,9
14,circular,collision,27
15,circular,collision,9
16,circular,collision,4
17,circular,success,69
18,circular,collision,27
19,circular,collision,6
20,circular,success,51
21,circular,success,55
22,circular,collision,39
23,circular,success,25
24,circular,collision,6
25,circular,collision,34
26,circular,collision,9
27,circular,success,42
28,circular,collision,7
29,circular,collision,5
30,circular,success,108
31,circular,collision,31
32,circular,success,64
33,circular,success,23
34,circular,success,52
35,circular,success,38
36,circular,success,48
37,circular,success,40
38,circular,success,44
39,circular,collision,3
40,circular,success,43
41,circular,collision,20
42,circular,collision,7
43,circular,success,62
44,circular,collision,19
45,circular,collision,7
46,circular,success,38
47,circular,collision,11
48,circular,success,104
49,circular,success,76
50,circular,success,30
51,circular,collision,24
52,circular,success,36
53,circular,success,65
54,circular,collision,27
55,circular,success,84
56,circular,collision,12
57,circular,collision,4
58,circular,success,177
59,circular,success,67
60,circular,success,50
61,circular,success,50
62,circular,success,41
63,circular,success,48
64,circular,collision,7
65,circular,collision,25
66,circular,success,54
67,circular,collision,10
68,circular,success,56
69,circular,collision,3
70,circular,collision,18
71,circular,success,88
72,circular,collision,27
73,circular,collision,5
74,circular,collision,29
75,circular,success,128
76,circular,collision,9
77,circular,success,75
78,circular,success,75
79,circular,collision,8
80,circular,collision,10
81,circular,success,58
82,circular,success,28
83,circular,collision,11
84,circular,collision,9
85,circular,collision,69
86,circular,success,15
87,circular,collision,9
88,circular,collision,7
89,circular,success,43
90,circular,collision,10
91,circular,collision,6
92,circular,collision,31
93,circular,collision,9
94,circular,success,43
95,circular,success,54
96,circular,collision,22
97,circular,collision,35
98,circular,collision,8
99,circular,success,62
100,random,success,227
101,random,collision,1
102,random,collision,15
103,random,success,137
104,random,collision,38
105,random,success,38
106,random,collision,53
107,random,collision,52
108,random,collision,17
109,random,collision,24
110,random,collision,54
111,random,collision,13
112,random,collision,46
113,random,success,68
114,random,success,111
115,random,collision,4
116,random,collision,39
117,random,success,116
118,random,success,50
119,random,collision,2
120,random,collision,43
121,random,collision,19
122,random,collision,19
123,random,collision,36
124,random,collision,39
125,random,collision,4
126,random,collision,24
127,random,success,42
128,random,collision,2
129,random,collision,108
130,random,collision,45
131,random,collision,58
132,random,success,52
133,random,success,84
134,random,collision,19
135,random,collision,22
136,random,collision,46
137,random,success,78
138,random,collision,16
139,random,collision,63
140,random,success,110
141,random,success,108
142,random,collision,16
143,random,success,57
144,random,collision,16
145,random,collision,29
