idx,scenario,outcome,num_steps
0,circular,success,42
1,circular,collision,4
2,circular,collision,3
3,circular,success,117
4,circular,collision,19
5,circular,success,62
6,circular,success,56
7,circular,success,53
8,circular,success,67
9,circular,success,65
10,circular,collision,7
11,circular,success,45
12,circular,success,154
13,circular,collision,7
14,circular,success,67
15,circular,collision,6
16,circular,collision,4
17,circular,collision,8
18,circular,collision,28
19,circular,collision,8
20,circular,success,44
21,circular,success,78
22,circular,collision,33
23,circular,success,23
24,circular,success,62
25,circular,collision,71
26,circular,collision,33
27,circular,success,37
28,circular,collision,7
29,circular,collision,5
30,circular,success,74
31,circular,collision,3
32,circular,collision,62
33,circular,success,26
34,circular,success,124
35,circular,collision,8
36,circular,success,42
37,circular,success,69
38,circular,collision,5
39,circular,collision,2
40,circular,success,56
41,circular,collision,8
42,circular,collision,7
43,circular,collision,27
44,circular,collision,15
45,circular,collision,25
46,circular,success,49
47,circular,collision,8
48,circular,success,93
49,circular,collision,5
50,circular,success,47
51,circular,success,56
52,circular,success,70
53,circular,success,35
54,circular,success,108
55,circular,success,76
56,circular,collision,11
57,circular,collision,28
58,circular,success,61
59,circular,success,45
60,circular,success,30
61,circular,success,41
62,circular,success,30
63,circular,success,61
64,circular,collision,7
65,circular,success,60
66,circular,success,43
67,circular,collision,8
68,circular,success,24
69,circular,collision,4
70,circular,success,40
71,circular,success,46
72,circular,collision,31
73,circular,collision,4
74,circular,collision,10
75,circular,collision,31
76,circular,collision,9
77,circular,success,41
78,circular,success,102
79,circular,collision,28
80,circular,collision,30
81,circular,success,30
82,circular,collision,4
83,circular,collision,10
84,circular,collision,12
85,circular,collision,5
86,circular,success,42
87,circular,collision,9
88,circular,collision,7
89,circular,collision,19
90,circular,collision,6
91,circular,collision,6
92,circular,collision,7
93,circular,success,125
94,circular,collision,6
95,circular,success,46
96,circular,collision,20
97,circular,collision,35
98,circular,success,55
99,circular,collision,8
100,random,success,62
101,random,collision,1
102,random,collision,10
103,random,collision,11
104,random,success,87
105,random,collision,27
106,random,collision,18
107,random,collision,45
108,random,success,56
109,random,success,66
110,random,collision,9
111,random,collision,15
112,random,collision,15
113,random,success,73
114,random,success,82
115,random,collision,5
116,random,success,94
117,random,collision,18
118,random,success,59
