idx,scenario,outcome,num_steps
0,circular,collision,33
1,circular,collision,5
2,circular,collision,3
3,circular,collision,12
4,circular,collision,44
5,circular,collision,5
6,circular,success,46
7,circular,success,46
8,circular,success,66
9,circular,success,53
10,circular,collision,8
11,circular,success,38
12,circular,success,40
13,circular,collision,9
14,circular,collision,6
15,circular,collision,4
16,circular,collision,5
17,circular,collision,14
18,circular,success,53
19,circular,collision,7
20,circular,success,41
21,circular,success,25
22,circular,collision,31
23,circular,success,28
24,circular,collision,5
25,circular,collision,8
26,circular,collision,6
27,circular,collision,7
28,circular,success,39
29,circular,collision,6
30,circular,collision,9
31,circular,collision,3
32,circular,success,55
33,circular,success,27
34,circular,success,48
35,circular,success,37
36,circular,success,34
37,circular,collision,8
38,circular,collision,6
39,circular,collision,3
40,circular,success,28
41,circular,collision,15
42,circular,collision,27
43,circular,success,46
44,circular,collision,17
45,circular,success,43
46,circular,success,36
47,circular,collision,9
48,circular,collision,26
49,circular,success,71
50,circular,collision,9
51,circular,success,29
52,circular,success,23
53,circular,collision,9
54,circular,success,38
55,circular,collision,36
56,circular,collision,11
57,circular,success,48
58,circular,success,57
59,circular,success,42
60,circular,success,37
61,circular,collision,8
62,circular,collision,8
63,circular,success,21
64,circular,success,28
65,circular,collision,7
66,circular,collision,8
67,circular,collision,10
68,circular,success,30
69,circular,collision,4
70,circular,collision,8
71,circular,collision,11
72,circular,collision,5
73,circular,collision,4
74,circular,collision,7
75,circular,success,75
76,circular,collision,8
77,circular,success,24
78,circular,success,36
79,circular,collision,8
80,circular,collision,11
81,circular,success,25
82,circular,success,47
83,circular,collision,9
84,circular,collision,28
85,circular,collision,5
86,circular,success,18
87,circular,collision,10
88,circular,collision,30
89,circular,collision,9
90,circular,collision,6
91,circular,collision,8
92,circular,collision,28
93,circular,collision,10
94,circular,collision,6
95,circular,success,35
96,circular,success,55
97,circular,collision,20
98,circular,collision,31
99,circular,collision,7
100,random,success,49
101,random,collision,1
102,random,collision,12
103,random,collision,10
104,random,collision,60
105,random,success,46
106,random,collision,66
107,random,collision,12
108,random,success,49
109,random,collision,29
110,random,collision,4
111,random,success,54
112,random,collision,12
113,random,collision,38
114,random,success,44
115,random,collision,5
116,random,collision,37
117,random,collision,14
118,random,success,35
119,random,collision,2
120,random,collision,37
121,random,collision,41
122,random,collision,23
123,random,collision,27
124,random,collision,21
125,random,collision,4
126,random,collision,12
127,random,success,35
128,random,collision,2
129,random,collision,12
130,random,collision,38
131,random,collision,22
132,random,success,68
133,random,success,40
134,random,success,47
135,random,collision,21
136,random,collision,20
137,random,success,60
138,random,success,63
139,random,success,42
140,random,collision,28
141,random,collision,36
142,random,success,80
143,random,success,53
144,random,success,50
145,random,success,57
146,random,collision,41
147,random,collision,36
148,random,collision,39
149,random,success,37
150,random,collision,33
151,random,collision,4
152,random,collision,5
153,random,collision,13
154,random,collision,18
155,random,collision,19
156,random,collision,4
157,random,collision,64
158,random,success,51
159,random,collision,41
160,random,success,67
161,random,collision,29
162,random,collision,3
163,random,collision,28
164,random,collision,29
165,random,collision,12
166,random,collision,5
167,random,collision,23
168,random,collision,14
169,random,collision,14
170,random,collision,33
171,random,collision,49
172,random,success,53
173,random,collision,9
174,random,success,46
175,random,collision,2
176,random,success,56
177,random,collision,2
178,random,success,61
179,random,success,38
180,random,collision,16
181,random,collision,33
182,random,success,27
183,random,collision,41
184,random,collision,10
