idx,scenario,outcome,num_steps
0,circular,success,27
1,circular,success,22
2,circular,collision,3
3,circular,collision,27
4,circular,collision,55
5,circular,collision,24
6,circular,success,29
7,circular,collision,29
8,circular,success,37
9,circular,success,39
10,circular,collision,9
11,circular,collision,24
12,circular,success,44
13,circular,collision,14
14,circular,success,36
15,circular,collision,10
16,circular,collision,4
17,circular,collision,9
18,circular,collision,32
19,circular,collision,5
20,circular,success,23
21,circular,collision,7
22,circular,collision,31
23,circular,success,13
24,circular,success,28
25,circular,success,40
26,circular,collision,31
27,circular,success,17
28,circular,collision,8
29,circular,collision,5
30,circular,success,26
31,circular,collision,3
32,circular,success,48
33,circular,collision,6
34,circular,collision,20
35,circular,success,22
36,circular,success,26
37,circular,collision,24
38,circular,collision,5
39,circular,collision,3
40,circular,success,19
41,circular,collision,39
42,circular,collision,27
43,circular,collision,24
44,circular,collision,9
45,circular,collision,8
46,circular,success,42
47,circular,collision,9
48,circular,success,38
49,circular,collision,6
50,circular,success,23
51,circular,success,24
52,circular,success,22
53,circular,success,24
54,circular,collision,7
55,circular,collision,28
56,circular,collision,10
57,circular,success,60
58,circular,success,34
59,circular,success,29
60,circular,collision,7
61,circular,success,24
62,circular,success,22
63,circular,success,21
64,circular,collision,6
65,circular,collision,9
66,circular,success,23
67,circular,collision,8
68,circular,success,18
69,circular,success,26
70,circular,success,40
71,circular,success,22
72,circular,success,38
73,circular,collision,4
74,circular,success,65
75,circular,collision,10
76,circular,collision,11
77,circular,success,22
78,circular,success,29
79,circular,success,50
80,circular,collision,11
81,circular,success,15
82,circular,success,23
83,circular,collision,8
84,circular,collision,35
85,circular,collision,43
86,circular,success,7
87,circular,collision,9
88,circular,success,20
89,circular,success,23
90,circular,collision,8
91,circular,collision,7
92,circular,collision,6
93,circular,collision,10
94,circular,collision,6
95,circular,success,29
96,circular,success,35
97,circular,collision,23
98,circular,success,27
99,circular,collision,8
100,random,success,25
101,random,collision,1
102,random,collision,46
103,random,success,32
104,random,success,73
105,random,success,35
106,random,collision,21
107,random,collision,38
108,random,success,39
109,random,collision,20
110,random,collision,4
111,random,collision,44
112,random,collision,11
113,random,success,40
114,random,success,28
115,random,success,30
116,random,success,47
117,random,success,79
118,random,success,24
119,random,collision,3
120,random,collision,26
121,random,success,64
122,random,collision,42
123,random,collision,18
124,random,success,23
125,random,collision,4
126,random,collision,30
127,random,success,26
128,random,collision,2
129,random,collision,13
130,random,collision,38
131,random,collision,40
132,random,success,52
133,random,success,26
134,random,collision,45
135,random,success,48
136,random,collision,5
137,random,collision,42
138,random,collision,32
139,random,collision,35
140,random,collision,23
141,random,collision,26
142,random,collision,11
143,random,success,35
144,random,collision,30
145,random,collision,24
146,random,collision,13
147,random,collision,22
148,random,success,49
149,random,success,23
150,random,collision,4
151,random,collision,4
152,random,collision,41
153,random,collision,12
154,random,success,31
155,random,collision,14
156,random,collision,20
157,random,success,74
158,random,collision,11
159,random,collision,89
160,random,success,58
161,random,collision,20
162,random,collision,3
163,random,collision,25
164,random,success,55
165,random,collision,13
166,random,collision,7
167,random,collision,24
168,random,collision,8
169,random,collision,26
170,random,collision,29
171,random,collision,33
172,random,collision,24
173,random,collision,18
174,random,success,39
175,random,collision,37
176,random,collision,38
177,random,collision,1
178,random,success,45
179,random,success,33
180,random,collision,17
181,random,collision,3
182,random,success,23
183,random,collision,17
184,random,collision,14
185,random,success,39
186,random,collision,19
187,random,collision,19
188,random,collision,24
189,random,collision,2
190,random,success,37
191,random,success,42
192,random,collision,12
193,random,collision,15
194,random,collision,8
195,random,success,39
196,random,success,37
197,random,collision,18
198,random,collision,22
199,random,collision,27
200,parallel,success,59
201,parallel,success,22
202,parallel,collision,5
203,parallel,success,39
204,parallel,success,48
205,parallel,collision,8
206,parallel,collision,43
207,parallel,collision,5
208,parallel,success,28
209,parallel,collision,26
210,parallel,collision,38
211,parallel,success,28
212,parallel,collision,31
213,parallel,collision,30
214,parallel,collision,23
215,parallel,success,44
216,parallel,collision,38
217,parallel,success,36
218,parallel,collision,8
219,parallel,success,32
220,parallel,collision,26
221,parallel,collision,23
222,parallel,success,31
223,parallel,success,41
224,parallel,collision,20
225,parallel,collision,9
226,parallel,success,93
227,parallel,collision,7
228,parallel,collision,58
229,parallel,success,25
230,parallel,collision,9
231,parallel,success,33
232,parallel,collision,31
233,parallel,collision,8
234,parallel,collision,26
235,parallel,success,39
236,parallel,success,32
237,parallel,collision,26
238,parallel,success,24
239,parallel,success,30
240,parallel,success,25
241,parallel,collision,62
242,parallel,collision,8
243,parallel,collision,47
244,parallel,success,23
245,parallel,success,31
246,parallel,collision,60
247,parallel,collision,25
248,parallel,collision,13
249,parallel,success,34
250,parallel,collision,40
251,parallel,success,29
252,parallel,collision,29
253,parallel,collision,15
254,parallel,collision,17
255,parallel,success,52
256,parallel,success,49
257,parallel,success,30
258,parallel,success,60
259,parallel,success,55
260,parallel,success,37
261,parallel,success,47
262,parallel,collision,9
263,parallel,collision,13
264,parallel,collision,6
265,parallel,success,76
266,parallel,collision,24
267,parallel,collision,5
268,parallel,success,33
269,parallel,collision,7
270,parallel,success,72
271,parallel,collision,8
272,parallel,collision,25
273,parallel,success,34
274,parallel,collision,44
275,parallel,collision,27
276,parallel,collision,35
277,parallel,success,41
278,parallel,collision,6
279,parallel,collision,33
280,parallel,collision,47
281,parallel,success,38
282,parallel,collision,25
283,parallel,success,37
284,parallel,collision,12
285,parallel,success,123
286,parallel,success,23
287,parallel,collision,112
288,parallel,collision,8
289,parallel,collision,6
290,parallel,success,39
291,parallel,collision,32
292,parallel,collision,30
293,parallel,collision,21
294,parallel,collision,27
