idx,scenario,outcome,num_steps
0,circular,success,34
1,circular,collision,5
2,circular,collision,3
3,circular,success,51
4,circular,success,62
5,circular,collision,28
6,circular,success,36
7,circular,success,49
8,circular,success,50
9,circular,success,55
10,circular,collision,8
11,circular,collision,6
12,circular,success,26
13,circular,collision,11
14,circular,collision,6
15,circular,collision,5
16,circular,collision,4
17,circular,success,61
18,circular,collision,7
19,circular,collision,11
20,circular,collision,8
21,circular,success,40
22,circular,collision,27
23,circular,success,26
24,circular,collision,5
25,circular,collision,8
26,circular,success,52
27,circular,success,18
28,circular,collision,7
29,circular,collision,5
30,circular,success,33
31,circular,collision,3
32,circular,collision,8
33,circular,success,27
34,circular,success,45
35,circular,success,27
36,circular,success,33
37,circular,collision,17
38,circular,success,29
39,circular,collision,3
40,circular,success,30
41,circular,collision,6
42,circular,collision,24
43,circular,success,36
44,circular,collision,28
45,circular,success,35
46,circular,collision,11
47,circular,collision,26
48,circular,success,39
49,circular,success,32
50,circular,success,36
51,circular,collision,7
52,circular,success,26
53,circular,success,35
54,circular,success,56
55,circular,success,33
56,circular,collision,12
57,circular,collision,4
58,circular,success,42
59,circular,success,35
60,circular,collision,7
61,circular,success,37
62,circular,success,31
63,circular,success,21
64,circular,collision,7
65,circular,success,36
66,circular,success,32
67,circular,collision,9
68,circular,success,33
69,circular,collision,4
70,circular,collision,8
71,circular,success,32
72,circular,collision,35
73,circular,collision,5
74,circular,success,69
75,circular,success,46
76,circular,success,34
77,circular,success,28
78,circular,success,41
79,circular,collision,8
80,circular,collision,6
81,circular,success,29
82,circular,collision,6
83,circular,collision,8
84,circular,collision,61
85,circular,collision,42
86,circular,success,11
87,circular,collision,9
88,circular,collision,8
89,circular,success,32
90,circular,success,37
91,circular,collision,6
92,circular,collision,10
93,circular,collision,10
94,circular,success,34
95,circular,success,29
96,circular,collision,32
97,circular,collision,36
98,circular,collision,7
99,circular,success,33
100,random,success,33
101,random,collision,1
102,random,collision,14
103,random,success,53
104,random,collision,27
105,random,success,37
106,random,collision,21
107,random,collision,32
108,random,collision,15
109,random,collision,23
110,random,collision,4
111,random,collision,16
112,random,collision,14
113,random,success,39
114,random,success,35
115,random,success,44
116,random,success,66
117,random,collision,15
118,random,success,31
119,random,collision,2
120,random,success,46
121,random,collision,20
122,random,collision,15
123,random,collision,40
124,random,success,27
125,random,collision,4
126,random,collision,26
127,random,success,34
128,random,collision,2
129,random,collision,15
130,random,collision,58
131,random,collision,29
132,random,success,88
133,random,success,30
134,random,collision,35
135,random,success,65
136,random,collision,37
137,random,collision,26
138,random,success,55
139,random,collision,25
140,random,success,28
141,random,collision,20
142,random,collision,10
143,random,success,44
144,random,success,47
145,random,collision,25
146,random,collision,13
147,random,success,63
148,random,collision,37
149,random,success,38
150,random,collision,22
151,random,collision,3
152,random,collision,17
153,random,success,82
154,random,success,44
155,random,success,37
156,random,collision,26
157,random,collision,50
158,random,collision,8
159,random,collision,45
160,random,success,58
161,random,success,52
162,random,collision,3
163,random,collision,34
164,random,collision,26
165,random,collision,14
166,random,collision,5
167,random,collision,25
168,random,success,62
169,random,collision,23
170,random,collision,32
171,random,success,50
172,random,success,51
173,random,collision,21
174,random,collision,35
175,random,success,39
176,random,success,54
177,random,collision,1
178,random,collision,19
179,random,collision,14
180,random,success,44
181,random,collision,5
182,random,success,26
183,random,collision,20
184,random,success,96
185,random,success,51
186,random,collision,25
187,random,collision,17
188,random,collision,30
189,random,collision,3
190,random,success,47
191,random,success,48
192,random,collision,11
193,random,collision,18
194,random,collision,7
195,random,success,56
196,random,collision,18
197,random,collision,25
198,random,collision,24
199,random,success,74
200,parallel,success,51
201,parallel,success,27
202,parallel,collision,5
203,parallel,success,68
204,parallel,success,47
205,parallel,success,48
206,parallel,success,46
207,parallel,collision,8
208,parallel,collision,26
209,parallel,collision,28
210,parallel,collision,20
211,parallel,collision,26
212,parallel,collision,9
213,parallel,collision,8
214,parallel,collision,204
215,parallel,success,49
216,parallel,collision,33
217,parallel,success,45
218,parallel,collision,26
219,parallel,success,36
220,parallel,success,30
221,parallel,collision,11
222,parallel,success,37
223,parallel,success,48
224,parallel,success,54
225,parallel,collision,23
226,parallel,collision,8
227,parallel,collision,8
228,parallel,collision,46
