idx,scenario,outcome,num_steps
0,circular,success,36
1,circular,success,32
2,circular,collision,3
3,circular,collision,14
4,circular,collision,35
5,circular,collision,5
6,circular,collision,27
7,circular,collision,26
8,circular,success,40
9,circular,success,43
10,circular,collision,9
11,circular,success,31
12,circular,success,26
13,circular,collision,10
14,circular,collision,5
15,circular,success,41
16,circular,collision,33
17,circular,collision,12
18,circular,collision,9
19,circular,collision,6
20,circular,success,23
21,circular,collision,10
22,circular,collision,28
23,circular,success,15
24,circular,collision,6
25,circular,collision,9
26,circular,collision,25
27,circular,collision,8
28,circular,collision,8
29,circular,collision,5
30,circular,collision,8
31,circular,collision,2
32,circular,collision,6
33,circular,success,14
34,circular,collision,17
35,circular,collision,9
36,circular,success,28
37,circular,collision,10
38,circular,collision,6
39,circular,collision,3
40,circular,success,24
41,circular,collision,15
42,circular,collision,8
43,circular,collision,6
44,circular,collision,24
45,circular,collision,28
46,circular,success,34
47,circular,collision,15
48,circular,success,32
49,circular,collision,6
50,circular,collision,6
51,circular,success,28
52,circular,success,17
53,circular,success,23
54,circular,collision,29
55,circular,collision,36
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,success,37
60,circular,success,22
61,circular,collision,8
62,circular,collision,6
63,circular,success,21
64,circular,collision,6
65,circular,success,29
66,circular,collision,7
67,circular,collision,9
68,circular,success,19
69,circular,collision,3
70,circular,collision,8
71,circular,collision,8
72,circular,collision,6
73,circular,collision,3
74,circular,collision,8
75,circular,collision,20
76,circular,collision,9
77,circular,success,22
78,circular,success,26
79,circular,collision,10
80,circular,collision,56
81,circular,success,17
82,circular,success,30
83,circular,collision,9
84,circular,collision,13
85,circular,collision,5
86,circular,success,13
87,circular,collision,10
88,circular,collision,8
89,circular,collision,8
90,circular,success,29
91,circular,collision,8
92,circular,collision,28
93,circular,collision,10
94,circular,collision,7
95,circular,success,27
96,circular,collision,24
97,circular,collision,34
98,circular,collision,10
99,circular,collision,10
100,random,success,29
101,random,collision,1
102,random,collision,15
103,random,collision,10
104,random,success,68
105,random,success,36
106,random,collision,23
107,random,collision,12
108,random,collision,18
109,random,collision,22
110,random,collision,6
111,random,collision,5
112,random,collision,11
113,random,collision,42
114,random,success,35
115,random,collision,6
116,random,collision,31
117,random,collision,15
118,random,success,30
119,random,collision,3
120,random,success,45
121,random,collision,21
122,random,success,49
123,random,collision,22
124,random,success,25
125,random,collision,4
126,random,collision,13
127,random,success,27
128,random,collision,2
129,random,collision,15
130,random,collision,34
131,random,collision,26
132,random,success,41
133,random,success,27
134,random,collision,35
135,random,collision,23
136,random,success,36
137,random,collision,34
138,random,collision,28
139,random,success,31
140,random,success,22
141,random,success,55
142,random,collision,12
143,random,success,38
144,random,success,45
145,random,collision,30
146,random,collision,18
147,random,collision,31
148,random,collision,37
149,random,success,22
150,random,collision,18
151,random,collision,3
152,random,collision,18
153,random,collision,54
154,random,success,38
155,random,success,24
156,random,collision,5
157,random,collision,51
158,random,collision,18
159,random,success,37
160,random,success,65
161,random,success,49
162,random,collision,3
163,random,success,76
164,random,collision,15
165,random,collision,14
166,random,collision,5
167,random,collision,18
168,random,collision,12
169,random,collision,16
170,random,collision,25
171,random,collision,33
172,random,collision,22
173,random,collision,14
174,random,collision,23
175,random,collision,3
176,random,collision,40
177,random,collision,1
178,random,success,51
179,random,collision,14
180,random,collision,33
181,random,collision,32
182,random,success,21
183,random,collision,19
184,random,collision,11
185,random,collision,3
186,random,collision,27
187,random,collision,18
188,random,collision,39
189,random,collision,2
190,random,collision,12
191,random,success,43
192,random,collision,19
193,random,collision,7
194,random,collision,10
195,random,success,35
196,random,collision,18
197,random,success,48
198,random,collision,26
199,random,success,59
200,parallel,success,46
201,parallel,success,22
202,parallel,collision,6
203,parallel,collision,11
204,parallel,success,38
205,parallel,success,36
206,parallel,success,42
207,parallel,collision,9
208,parallel,success,35
209,parallel,success,45
210,parallel,collision,20
211,parallel,collision,16
212,parallel,collision,10
213,parallel,success,61
214,parallel,success,43
215,parallel,collision,11
216,parallel,collision,35
217,parallel,collision,9
218,parallel,collision,25
219,parallel,success,35
220,parallel,collision,24
221,parallel,collision,11
222,parallel,success,29
223,parallel,collision,25
224,parallel,collision,53
225,parallel,success,24
226,parallel,collision,6
227,parallel,collision,28
228,parallel,collision,15
229,parallel,success,30
230,parallel,collision,10
231,parallel,success,41
232,parallel,collision,27
233,parallel,collision,6
234,parallel,success,25
235,parallel,collision,30
236,parallel,collision,7
237,parallel,collision,32
238,parallel,success,26
239,parallel,success,32
240,parallel,collision,7
241,parallel,success,36
242,parallel,collision,8
243,parallel,collision,24
244,parallel,collision,26
245,parallel,collision,5
246,parallel,collision,26
247,parallel,collision,44
248,parallel,collision,10
249,parallel,collision,28
250,parallel,collision,20
251,parallel,success,26
252,parallel,collision,8
253,parallel,success,34
254,parallel,collision,27
255,parallel,success,55
256,parallel,collision,39
257,parallel,collision,28
258,parallel,success,26
259,parallel,collision,8
260,parallel,success,40
261,parallel,success,44
262,parallel,collision,11
263,parallel,collision,7
264,parallel,success,43
265,parallel,collision,19
266,parallel,collision,7
267,parallel,collision,6
268,parallel,collision,13
269,parallel,collision,10
270,parallel,success,44
271,parallel,collision,29
272,parallel,collision,11
273,parallel,success,73
274,parallel,success,38
275,parallel,collision,7
276,parallel,collision,30
277,parallel,success,34
278,parallel,success,39
279,parallel,success,46
280,parallel,success,51
281,parallel,success,27
282,parallel,success,28
283,parallel,collision,6
284,parallel,collision,12
285,parallel,collision,7
286,parallel,success,26
287,parallel,collision,32
288,parallel,collision,8
289,parallel,collision,7
290,parallel,collision,8
291,parallel,success,30
292,parallel,collision,11
293,parallel,collision,7
294,parallel,collision,29
295,parallel,collision,15
296,parallel,collision,9
297,parallel,success,45
298,parallel,success,25
299,parallel,collision,7
