idx,scenario,outcome,num_steps
0,circular,collision,113
1,circular,collision,3
2,circular,collision,3
3,circular,collision,12
4,circular,collision,21
5,circular,collision,5
6,circular,collision,125
7,circular,timeout,250
8,circular,collision,193
9,circular,collision,28
10,circular,collision,240
11,circular,collision,6
12,circular,collision,55
13,circular,collision,10
14,circular,collision,4
15,circular,collision,4
16,circular,collision,4
17,circular,collision,11
18,circular,collision,191
19,circular,collision,6
20,circular,collision,54
21,circular,collision,9
22,circular,collision,21
23,circular,collision,67
24,circular,collision,6
25,circular,collision,36
26,circular,collision,5
27,circular,collision,7
28,circular,collision,7
29,circular,collision,53
30,circular,collision,8
31,circular,collision,2
32,circular,collision,8
33,circular,collision,54
34,circular,collision,147
35,circular,collision,7
36,circular,collision,74
37,circular,collision,8
38,circular,collision,5
39,circular,collision,3
40,circular,collision,182
41,circular,collision,6
42,circular,collision,7
43,circular,collision,246
44,circular,collision,4
45,circular,collision,67
46,circular,timeout,250
47,circular,collision,15
48,circular,collision,63
49,circular,collision,108
50,circular,collision,7
51,circular,collision,47
52,circular,collision,128
53,circular,collision,141
54,circular,collision,25
55,circular,collision,107
56,circular,collision,10
57,circular,collision,4
58,circular,collision,4
59,circular,collision,78
60,circular,timeout,250
61,circular,collision,7
62,circular,collision,6
63,circular,collision,191
64,circular,collision,7
65,circular,collision,9
66,circular,collision,6
67,circular,collision,10
68,circular,collision,51
69,circular,collision,3
70,circular,collision,8
71,circular,collision,8
72,circular,collision,5
73,circular,collision,3
74,circular,collision,8
75,circular,collision,12
76,circular,collision,187
77,circular,collision,54
78,circular,collision,67
79,circular,collision,8
80,circular,collision,11
81,circular,collision,8
82,circular,collision,182
83,circular,collision,8
84,circular,collision,118
85,circular,collision,5
86,circular,collision,90
87,circular,collision,11
88,circular,collision,8
89,circular,collision,9
90,circular,collision,57
91,circular,collision,8
92,circular,collision,6
93,circular,collision,10
94,circular,collision,6
95,circular,collision,60
96,circular,collision,25
97,circular,collision,34
98,circular,collision,10
99,circular,collision,10
100,random,timeout,250
101,random,collision,1
102,random,collision,10
103,random,collision,33
104,random,collision,43
105,random,collision,32
106,random,collision,27
107,random,collision,12
108,random,timeout,250
109,random,collision,77
110,random,collision,5
111,random,collision,19
112,random,collision,12
113,random,collision,66
114,random,collision,21
115,random,collision,5
116,random,collision,32
117,random,collision,8
118,random,timeout,250
119,random,collision,2
120,random,collision,82
121,random,collision,54
122,random,collision,28
123,random,collision,22
124,random,collision,25
125,random,collision,3
126,random,collision,25
127,random,timeout,250
128,random,collision,2
129,random,collision,14
130,random,collision,38
131,random,collision,32
132,random,collision,69
133,random,timeout,250
134,random,collision,33
135,random,collision,13
136,random,collision,17
137,random,timeout,250
138,random,collision,28
139,random,collision,24
140,random,collision,53
141,random,timeout,250
142,random,collision,12
143,random,collision,70
144,random,timeout,250
145,random,collision,50
146,random,collision,44
147,random,collision,28
148,random,collision,35
149,random,timeout,250
150,random,collision,4
151,random,collision,3
152,random,collision,54
153,random,collision,5
154,random,collision,32
155,random,collision,17
156,random,collision,4
157,random,collision,49
158,random,collision,19
159,random,success,40
160,random,timeout,250
161,random,collision,88
162,random,collision,3
163,random,collision,79
164,random,collision,14
165,random,collision,70
166,random,collision,5
167,random,collision,18
168,random,collision,12
169,random,collision,64
170,random,collision,51
171,random,collision,37
172,random,collision,14
173,random,collision,6
174,random,collision,18
175,random,collision,2
176,random,collision,188
177,random,collision,1
178,random,collision,58
179,random,collision,14
180,random,success,77
181,random,collision,4
182,random,collision,48
183,random,collision,30
184,random,collision,11
185,random,collision,35
186,random,collision,89
187,random,collision,17
188,random,collision,28
189,random,collision,2
190,random,collision,85
191,random,collision,71
192,random,collision,19
193,random,collision,7
194,random,collision,7
195,random,timeout,250
196,random,collision,17
197,random,collision,34
198,random,collision,29
199,random,collision,67
200,parallel,collision,190
201,parallel,collision,32
202,parallel,collision,5
203,parallel,collision,9
204,parallel,collision,10
205,parallel,collision,84
206,parallel,collision,62
207,parallel,collision,30
208,parallel,collision,5
209,parallel,collision,25
210,parallel,collision,41
211,parallel,collision,37
212,parallel,collision,15
213,parallel,collision,49
214,parallel,success,42
215,parallel,collision,29
216,parallel,collision,33
217,parallel,collision,7
218,parallel,collision,8
219,parallel,collision,122
220,parallel,collision,23
221,parallel,collision,11
222,parallel,collision,36
223,parallel,collision,73
224,parallel,collision,52
225,parallel,collision,24
226,parallel,collision,7
227,parallel,collision,56
228,parallel,collision,17
229,parallel,collision,176
230,parallel,collision,7
231,parallel,collision,53
232,parallel,collision,26
233,parallel,collision,6
234,parallel,collision,39
235,parallel,collision,27
236,parallel,collision,7
237,parallel,collision,36
238,parallel,collision,22
239,parallel,collision,10
240,parallel,collision,7
241,parallel,collision,161
242,parallel,collision,6
243,parallel,collision,209
244,parallel,collision,82
245,parallel,collision,5
246,parallel,collision,19
247,parallel,collision,12
248,parallel,collision,8
249,parallel,collision,28
250,parallel,collision,20
251,parallel,collision,28
252,parallel,collision,8
253,parallel,collision,25
254,parallel,collision,26
255,parallel,collision,48
256,parallel,collision,68
257,parallel,collision,26
258,parallel,collision,45
259,parallel,collision,61
260,parallel,collision,36
261,parallel,collision,53
262,parallel,collision,27
263,parallel,collision,5
264,parallel,collision,68
265,parallel,collision,59
266,parallel,collision,40
267,parallel,collision,5
268,parallel,collision,11
269,parallel,collision,8
270,parallel,collision,141
271,parallel,timeout,250
272,parallel,collision,180
273,parallel,collision,10
274,parallel,collision,8
275,parallel,collision,6
276,parallel,collision,32
277,parallel,collision,76
278,parallel,collision,77
279,parallel,collision,72
280,parallel,collision,42
281,parallel,collision,23
282,parallel,collision,28
283,parallel,collision,6
284,parallel,collision,8
285,parallel,collision,23
286,parallel,collision,62
287,parallel,collision,85
288,parallel,collision,10
289,parallel,collision,7
290,parallel,collision,7
291,parallel,collision,10
292,parallel,collision,9
293,parallel,collision,6
294,parallel,collision,75
295,parallel,collision,14
296,parallel,collision,9
297,parallel,collision,180
298,parallel,collision,35
299,parallel,collision,6
