idx,scenario,outcome,num_steps
0,circular,collision,90
1,circular,collision,7
2,circular,collision,5
3,circular,collision,13
4,circular,success,71
5,circular,success,117
6,circular,success,51
7,circular,success,76
8,circular,success,78
9,circular,collision,31
10,circular,success,89
11,circular,collision,29
12,circular,success,127
13,circular,collision,8
14,circular,collision,5
15,circular,collision,5
16,circular,collision,4
17,circular,collision,7
18,circular,collision,36
19,circular,collision,5
20,circular,collision,9
21,circular,collision,7
22,circular,collision,25
23,circular,success,38
24,circular,collision,5
25,circular,collision,20
26,circular,collision,10
27,circular,success,61
28,circular,success,60
29,circular,collision,5
30,circular,success,52
31,circular,collision,3
32,circular,collision,26
33,circular,collision,6
34,circular,success,60
35,circular,collision,8
36,circular,success,41
37,circular,collision,41
38,circular,collision,5
39,circular,collision,2
40,circular,success,43
41,circular,collision,19
42,circular,success,63
43,circular,success,188
44,circular,collision,33
45,circular,success,53
46,circular,success,62
47,circular,collision,43
48,circular,success,53
49,circular,collision,4
50,circular,collision,6
51,circular,success,51
52,circular,collision,4
53,circular,success,52
54,circular,collision,29
55,circular,success,74
56,circular,collision,10
57,circular,collision,3
58,circular,success,54
59,circular,success,49
60,circular,success,225
61,circular,success,45
62,circular,success,113
63,circular,success,94
64,circular,success,100
65,circular,success,65
66,circular,success,47
67,circular,collision,12
68,circular,success,39
69,circular,success,60
70,circular,success,56
71,circular,success,32
72,circular,collision,30
73,circular,collision,4
74,circular,collision,38
75,circular,collision,35
76,circular,collision,8
77,circular,success,53
78,circular,success,33
79,circular,collision,7
80,circular,collision,34
81,circular,collision,8
82,circular,collision,5
83,circular,collision,9
84,circular,collision,31
85,circular,success,115
86,circular,success,76
87,circular,success,36
88,circular,collision,7
89,circular,collision,9
90,circular,collision,7
91,circular,success,104
92,circular,collision,29
93,circular,collision,28
94,circular,success,77
95,circular,success,68
96,circular,collision,30
97,circular,collision,35
98,circular,success,71
99,circular,success,92
100,random,success,95
101,random,collision,1
102,random,collision,16
103,random,success,94
104,random,collision,45
105,random,success,70
106,random,collision,18
107,random,collision,72
108,random,success,57
109,random,collision,20
110,random,collision,40
111,random,collision,15
112,random,collision,32
113,random,collision,18
114,random,success,72
115,random,success,66
116,random,collision,27
117,random,collision,39
118,random,success,50
119,random,collision,3
120,random,success,103
121,random,collision,51
122,random,collision,55
123,random,collision,8
124,random,collision,27
125,random,collision,4
126,random,collision,26
127,random,success,84
128,random,collision,3
129,random,collision,22
130,random,collision,47
131,random,collision,25
132,random,collision,39
133,random,success,96
134,random,collision,95
135,random,success,80
136,random,collision,39
137,random,collision,23
138,random,collision,37
139,random,collision,47
140,random,collision,34
141,random,success,116
142,random,collision,42
143,random,success,121
144,random,success,101
145,random,collision,48
146,random,collision,26
147,random,success,94
148,random,success,79
149,random,success,46
150,random,collision,21
151,random,collision,4
152,random,success,80
153,random,collision,23
154,random,success,97
155,random,collision,13
156,random,collision,31
157,random,collision,66
158,random,collision,21
159,random,collision,95
160,random,success,161
161,random,success,193
162,random,collision,6
163,random,collision,26
164,random,collision,17
165,random,collision,13
166,random,collision,6
167,random,collision,29
168,random,collision,16
169,random,collision,15
170,random,collision,65
171,random,collision,60
172,random,success,41
173,random,collision,52
174,random,collision,26
175,random,collision,2
176,random,collision,41
177,random,collision,1
178,random,success,65
179,random,collision,16
180,random,collision,17
181,random,collision,5
182,random,success,54
183,random,collision,17
184,random,collision,23
185,random,collision,39
186,random,collision,28
187,random,collision,39
188,random,collision,47
189,random,collision,17
190,random,success,62
191,random,success,82
192,random,collision,25
193,random,collision,17
194,random,success,108
195,random,success,107
196,random,collision,17
197,random,collision,27
198,random,collision,29
199,random,collision,33
200,parallel,collision,20
201,parallel,success,31
202,parallel,collision,6
203,parallel,collision,44
204,parallel,success,109
205,parallel,collision,20
206,parallel,collision,25
207,parallel,collision,8
208,parallel,collision,25
209,parallel,success,64
210,parallel,success,63
211,parallel,success,38
212,parallel,collision,27
213,parallel,success,65
214,parallel,collision,84
215,parallel,collision,24
216,parallel,success,78
217,parallel,collision,30
218,parallel,success,196
219,parallel,collision,28
220,parallel,success,35
221,parallel,collision,24
222,parallel,collision,78
223,parallel,success,84
224,parallel,success,100
225,parallel,collision,58
226,parallel,collision,8
227,parallel,collision,22
228,parallel,collision,31
229,parallel,success,163
230,parallel,collision,9
231,parallel,collision,85
232,parallel,collision,88
233,parallel,collision,74
234,parallel,collision,28
235,parallel,collision,30
236,parallel,collision,97
237,parallel,collision,29
238,parallel,success,245
239,parallel,success,40
240,parallel,collision,7
241,parallel,collision,98
242,parallel,collision,9
243,parallel,collision,31
244,parallel,collision,28
245,parallel,collision,82
246,parallel,collision,29
247,parallel,collision,25
248,parallel,collision,34
249,parallel,success,108
250,parallel,collision,30
251,parallel,collision,13
252,parallel,success,37
253,parallel,collision,27
254,parallel,collision,21
255,parallel,collision,26
256,parallel,collision,41
257,parallel,collision,26
258,parallel,collision,24
259,parallel,collision,95
260,parallel,collision,27
261,parallel,collision,54
262,parallel,collision,10
263,parallel,collision,145
264,parallel,collision,83
265,parallel,collision,62
266,parallel,collision,25
267,parallel,collision,7
268,parallel,success,48
269,parallel,collision,10
270,parallel,success,58
271,parallel,collision,10
272,parallel,collision,124
273,parallel,timeout,250
274,parallel,collision,49
275,parallel,collision,32
276,parallel,collision,41
277,parallel,collision,18
278,parallel,collision,9
279,parallel,success,76
280,parallel,collision,61
281,parallel,collision,46
282,parallel,collision,28
283,parallel,collision,156
284,parallel,success,154
285,parallel,collision,7
286,parallel,success,58
287,parallel,collision,71
288,parallel,collision,17
289,parallel,collision,7
290,parallel,collision,9
291,parallel,collision,25
292,parallel,collision,67
293,parallel,success,65
294,parallel,success,93
295,parallel,collision,27
296,parallel,collision,26
297,parallel,collision,16
298,parallel,success,91
299,parallel,success,52
