idx,scenario,outcome,num_steps
0,circular,success,76
1,circular,collision,4
2,circular,collision,3
3,circular,success,40
4,circular,collision,18
5,circular,collision,37
6,circular,success,35
7,circular,collision,26
8,circular,collision,29
9,circular,collision,57
10,circular,success,72
11,circular,collision,7
12,circular,success,56
13,circular,collision,10
14,circular,collision,6
15,circular,collision,10
16,circular,collision,4
17,circular,success,78
18,circular,collision,27
19,circular,collision,7
20,circular,collision,7
21,circular,collision,76
22,circular,collision,22
23,circular,success,16
24,circular,success,33
25,circular,collision,8
26,circular,success,180
27,circular,success,95
28,circular,collision,8
29,circular,success,23
30,circular,success,35
31,circular,collision,3
32,circular,collision,36
33,circular,success,175
34,circular,success,39
35,circular,success,41
36,circular,collision,21
37,circular,collision,27
38,circular,collision,6
39,circular,collision,3
40,circular,success,23
41,circular,collision,8
42,circular,success,48
43,circular,success,40
44,circular,collision,28
45,circular,collision,8
46,circular,collision,26
47,circular,collision,11
48,circular,success,52
49,circular,collision,4
50,circular,collision,6
51,circular,success,33
52,circular,collision,5
53,circular,collision,9
54,circular,success,53
55,circular,success,37
56,circular,collision,11
57,circular,collision,3
58,circular,success,178
59,circular,success,44
60,circular,collision,8
61,circular,success,25
62,circular,success,100
63,circular,success,30
64,circular,collision,6
65,circular,success,37
66,circular,collision,27
67,circular,success,35
68,circular,success,25
69,circular,success,35
70,circular,collision,8
71,circular,collision,10
72,circular,collision,32
73,circular,collision,69
74,circular,collision,31
75,circular,success,84
76,circular,collision,9
77,circular,success,136
78,circular,success,65
79,circular,collision,8
80,circular,collision,9
81,circular,success,24
82,circular,collision,5
83,circular,collision,8
84,circular,collision,32
85,circular,collision,31
86,circular,success,24
87,circular,collision,9
88,circular,collision,7
89,circular,success,44
90,circular,collision,7
91,circular,collision,7
92,circular,collision,6
93,circular,collision,10
94,circular,success,33
95,circular,success,36
96,circular,collision,35
97,circular,collision,32
98,circular,success,32
99,circular,collision,10
100,random,success,38
101,random,collision,1
102,random,collision,13
103,random,success,45
104,random,collision,38
105,random,collision,57
106,random,collision,21
107,random,collision,9
108,random,success,44
109,random,collision,31
110,random,collision,4
111,random,collision,12
112,random,collision,20
113,random,success,60
114,random,success,31
115,random,success,31
116,random,success,55
117,random,collision,35
118,random,success,30
119,random,collision,3
120,random,collision,26
121,random,collision,19
122,random,success,83
123,random,collision,7
124,random,collision,63
125,random,collision,4
126,random,collision,21
127,random,success,31
128,random,collision,2
129,random,collision,15
130,random,collision,31
131,random,collision,19
132,random,collision,37
133,random,success,35
134,random,collision,33
135,random,collision,24
136,random,collision,18
137,random,collision,30
138,random,collision,31
139,random,success,32
140,random,success,24
141,random,collision,20
142,random,collision,12
143,random,success,143
144,random,success,45
145,random,collision,33
146,random,collision,18
147,random,collision,24
148,random,collision,37
149,random,success,34
150,random,collision,21
151,random,collision,2
152,random,collision,51
153,random,collision,11
154,random,success,36
155,random,success,31
156,random,collision,26
157,random,collision,20
158,random,success,47
159,random,collision,55
160,random,success,63
161,random,collision,42
162,random,collision,3
163,random,collision,29
164,random,collision,15
165,random,collision,14
166,random,collision,7
167,random,collision,26
168,random,collision,45
169,random,success,88
170,random,collision,39
171,random,collision,50
172,random,collision,26
173,random,success,78
174,random,collision,34
175,random,collision,2
176,random,collision,35
177,random,collision,1
178,random,collision,66
179,random,timeout,250
180,random,collision,16
181,random,collision,4
182,random,success,27
183,random,collision,25
184,random,collision,102
185,random,success,54
186,random,collision,17
187,random,collision,36
188,random,collision,49
189,random,collision,6
190,random,success,46
191,random,success,48
192,random,collision,12
193,random,collision,15
194,random,collision,128
195,random,success,47
196,random,collision,18
197,random,success,41
198,random,collision,22
199,random,collision,33
200,parallel,success,44
201,parallel,success,27
202,parallel,collision,5
203,parallel,collision,55
204,parallel,success,33
205,parallel,collision,21
206,parallel,collision,24
207,parallel,collision,6
208,parallel,collision,26
209,parallel,collision,26
210,parallel,collision,20
211,parallel,collision,26
212,parallel,success,65
213,parallel,collision,18
214,parallel,success,92
215,parallel,success,49
216,parallel,collision,35
217,parallel,collision,7
218,parallel,collision,111
219,parallel,success,38
220,parallel,success,101
221,parallel,collision,58
222,parallel,success,117
223,parallel,collision,101
224,parallel,collision,21
225,parallel,collision,55
226,parallel,collision,102
227,parallel,collision,21
228,parallel,collision,52
229,parallel,collision,12
230,parallel,collision,9
231,parallel,collision,40
232,parallel,collision,12
233,parallel,collision,7
234,parallel,success,59
235,parallel,success,41
236,parallel,collision,21
237,parallel,collision,161
238,parallel,collision,83
239,parallel,success,34
240,parallel,success,88
241,parallel,collision,11
242,parallel,collision,14
243,parallel,success,45
244,parallel,success,24
245,parallel,success,56
246,parallel,collision,23
247,parallel,collision,24
248,parallel,collision,9
249,parallel,success,37
250,parallel,collision,36
251,parallel,success,32
252,parallel,collision,25
253,parallel,collision,29
254,parallel,success,49
255,parallel,collision,35
256,parallel,success,121
257,parallel,success,70
258,parallel,collision,22
259,parallel,collision,46
260,parallel,collision,83
261,parallel,collision,43
262,parallel,collision,27
263,parallel,collision,17
264,parallel,collision,6
265,parallel,collision,6
266,parallel,collision,28
267,parallel,collision,4
268,parallel,collision,27
269,parallel,collision,8
270,parallel,collision,22
271,parallel,collision,11
272,parallel,collision,30
273,parallel,collision,36
274,parallel,collision,20
275,parallel,success,37
276,parallel,collision,45
277,parallel,collision,54
278,parallel,success,25
279,parallel,collision,35
280,parallel,collision,43
281,parallel,collision,40
282,parallel,collision,43
283,parallel,success,56
284,parallel,collision,27
285,parallel,collision,7
286,parallel,collision,64
287,parallel,success,36
288,parallel,collision,11
289,parallel,collision,7
290,parallel,success,77
291,parallel,collision,31
292,parallel,collision,28
293,parallel,success,110
294,parallel,collision,21
295,parallel,collision,47
296,parallel,collision,7
297,parallel,collision,9
298,parallel,success,67
299,parallel,collision,7
