idx,scenario,outcome,num_steps
0,circular,success,50
1,circular,success,30
2,circular,collision,3
3,circular,collision,12
4,circular,collision,45
5,circular,collision,6
6,circular,success,37
7,circular,success,46
8,circular,success,49
9,circular,collision,17
10,circular,collision,7
11,circular,success,48
12,circular,collision,29
13,circular,collision,8
14,circular,collision,6
15,circular,collision,18
16,circular,collision,28
17,circular,collision,8
18,circular,collision,13
19,circular,collision,6
20,circular,success,30
21,circular,collision,7
22,circular,collision,29
23,circular,success,27
24,circular,collision,9
25,circular,collision,31
26,circular,collision,10
27,circular,collision,7
28,circular,collision,8
29,circular,collision,5
30,circular,collision,9
31,circular,collision,2
32,circular,collision,9
33,circular,success,26
34,circular,collision,19
35,circular,collision,8
36,circular,success,32
37,circular,collision,8
38,circular,success,24
39,circular,collision,4
40,circular,success,32
41,circular,collision,16
42,circular,collision,9
43,circular,collision,5
44,circular,collision,31
45,circular,collision,20
46,circular,collision,8
47,circular,collision,35
48,circular,success,43
49,circular,collision,7
50,circular,collision,9
51,circular,collision,5
52,circular,collision,5
53,circular,collision,9
54,circular,success,60
55,circular,success,40
56,circular,collision,7
57,circular,collision,5
58,circular,collision,4
59,circular,success,38
60,circular,success,33
61,circular,collision,10
62,circular,success,28
63,circular,collision,7
64,circular,collision,8
65,circular,success,44
66,circular,collision,26
67,circular,collision,9
68,circular,success,27
69,circular,collision,3
70,circular,collision,9
71,circular,collision,10
72,circular,collision,33
73,circular,collision,4
74,circular,collision,8
75,circular,collision,7
76,circular,collision,10
77,circular,success,20
78,circular,success,26
79,circular,collision,9
80,circular,success,79
81,circular,success,29
82,circular,success,66
83,circular,collision,9
84,circular,collision,11
85,circular,collision,5
86,circular,success,17
87,circular,collision,10
88,circular,collision,9
89,circular,collision,9
90,circular,collision,6
91,circular,collision,8
92,circular,collision,30
93,circular,collision,12
94,circular,collision,6
95,circular,success,36
96,circular,collision,21
97,circular,collision,36
98,circular,collision,9
99,circular,collision,12
100,random,success,32
101,random,collision,1
102,random,collision,23
103,random,collision,13
104,random,collision,52
105,random,collision,29
106,random,collision,43
107,random,collision,10
108,random,collision,20
109,random,collision,34
110,random,collision,6
111,random,collision,48
112,random,collision,12
113,random,collision,46
114,random,success,41
115,random,collision,6
116,random,success,52
117,random,collision,14
118,random,success,37
119,random,collision,3
120,random,success,56
121,random,collision,27
122,random,collision,20
123,random,collision,27
124,random,collision,31
125,random,collision,5
126,random,collision,28
127,random,success,31
128,random,collision,2
129,random,collision,13
130,random,collision,33
131,random,collision,20
132,random,success,52
133,random,success,34
134,random,collision,22
135,random,collision,14
136,random,collision,41
137,random,collision,33
138,random,success,87
139,random,success,38
140,random,success,30
141,random,collision,48
142,random,collision,62
143,random,success,55
144,random,success,50
145,random,success,63
146,random,collision,45
147,random,collision,36
148,random,success,57
149,random,success,25
150,random,collision,17
151,random,collision,4
152,random,collision,21
153,random,collision,10
154,random,success,38
155,random,collision,19
156,random,collision,5
157,random,collision,88
158,random,collision,19
159,random,collision,92
160,random,collision,37
161,random,collision,27
162,random,collision,3
163,random,success,56
164,random,collision,17
165,random,collision,26
166,random,collision,5
167,random,collision,27
168,random,collision,18
169,random,collision,18
170,random,collision,31
171,random,collision,48
172,random,collision,33
173,random,success,50
174,random,collision,34
175,random,collision,2
176,random,success,49
177,random,collision,2
178,random,collision,31
179,random,collision,22
180,random,collision,32
181,random,collision,23
182,random,success,23
183,random,collision,49
184,random,collision,5
185,random,collision,3
186,random,collision,14
187,random,collision,35
188,random,success,146
189,random,collision,3
190,random,success,46
191,random,success,47
192,random,collision,24
193,random,collision,8
194,random,collision,7
195,random,success,45
