idx,scenario,outcome,num_steps
0,circular,success,28
1,circular,collision,4
2,circular,collision,22
3,circular,success,68
4,circular,collision,21
5,circular,collision,65
6,circular,success,31
7,circular,success,38
8,circular,collision,31
9,circular,success,40
10,circular,collision,31
11,circular,collision,7
12,circular,success,57
13,circular,collision,34
14,circular,collision,7
15,circular,collision,6
16,circular,success,37
17,circular,collision,8
18,circular,success,37
19,circular,success,24
20,circular,collision,7
21,circular,success,24
22,circular,collision,29
23,circular,success,12
24,circular,collision,5
25,circular,collision,8
26,circular,collision,9
27,circular,success,18
28,circular,collision,7
29,circular,collision,4
30,circular,success,22
31,circular,collision,4
32,circular,success,46
33,circular,success,15
34,circular,success,33
35,circular,success,23
36,circular,success,72
37,circular,success,31
38,circular,success,21
39,circular,collision,2
40,circular,success,20
41,circular,collision,8
42,circular,success,63
43,circular,success,31
44,circular,collision,7
45,circular,collision,8
46,circular,collision,27
47,circular,collision,11
48,circular,collision,71
49,circular,collision,5
50,circular,collision,6
51,circular,success,27
52,circular,collision,4
53,circular,collision,9
54,circular,success,27
55,circular,success,34
56,circular,collision,9
57,circular,success,35
58,circular,success,34
59,circular,success,31
60,circular,success,26
61,circular,success,25
62,circular,success,23
63,circular,success,22
64,circular,success,20
65,circular,success,28
66,circular,success,23
67,circular,success,42
68,circular,success,18
69,circular,success,25
70,circular,collision,9
71,circular,collision,14
72,circular,success,40
73,circular,collision,4
74,circular,collision,10
75,circular,success,30
76,circular,collision,9
77,circular,success,16
78,circular,collision,148
79,circular,collision,9
80,circular,collision,10
81,circular,success,16
82,circular,collision,5
83,circular,collision,8
84,circular,collision,12
85,circular,collision,26
86,circular,success,10
87,circular,success,28
88,circular,success,77
89,circular,success,26
90,circular,collision,6
91,circular,collision,7
92,circular,collision,6
93,circular,collision,9
94,circular,collision,6
95,circular,success,56
96,circular,success,75
97,circular,success,63
98,circular,success,29
99,circular,success,23
100,random,success,73
101,random,collision,1
102,random,collision,24
103,random,collision,12
104,random,collision,50
105,random,success,37
106,random,collision,19
107,random,collision,32
108,random,collision,15
109,random,collision,25
110,random,collision,6
111,random,collision,14
112,random,collision,19
113,random,timeout,250
114,random,success,30
115,random,collision,4
116,random,collision,41
117,random,success,113
118,random,success,26
119,random,collision,2
120,random,success,43
121,random,collision,55
122,random,collision,24
123,random,collision,7
124,random,collision,26
125,random,collision,5
126,random,collision,20
127,random,success,28
128,random,collision,2
129,random,collision,12
130,random,collision,35
131,random,success,38
132,random,success,56
133,random,success,26
134,random,collision,32
135,random,collision,14
136,random,collision,5
137,random,collision,26
138,random,collision,36
139,random,success,65
140,random,success,22
141,random,collision,24
142,random,collision,12
143,random,success,36
144,random,collision,21
145,random,collision,24
146,random,collision,19
147,random,collision,31
148,random,collision,40
149,random,success,24
150,random,collision,4
151,random,collision,3
152,random,success,39
153,random,collision,7
154,random,success,36
155,random,collision,13
156,random,success,57
157,random,collision,38
158,random,collision,24
159,random,collision,87
160,random,success,59
161,random,collision,22
162,random,collision,4
163,random,success,60
164,random,collision,15
165,random,collision,12
166,random,collision,6
167,random,collision,25
168,random,collision,31
169,random,collision,46
170,random,collision,26
171,random,collision,22
172,random,collision,31
173,random,collision,21
174,random,collision,48
175,random,success,47
176,random,collision,36
177,random,collision,1
178,random,collision,19
179,random,collision,14
180,random,collision,6
181,random,collision,4
182,random,success,23
183,random,collision,23
184,random,collision,47
185,random,collision,34
186,random,collision,18
187,random,collision,19
188,random,collision,29
189,random,collision,2
190,random,success,53
191,random,success,98
192,random,collision,15
193,random,collision,17
194,random,collision,7
195,random,success,43
196,random,success,36
197,random,collision,24
198,random,collision,27
199,random,collision,21
200,parallel,collision,17
201,parallel,success,22
202,parallel,collision,5
203,parallel,collision,24
204,parallel,success,94
