idx,scenario,outcome,num_steps
0,circular,collision,29
1,circular,success,44
2,circular,success,47
3,circular,success,63
4,circular,collision,41
5,circular,collision,16
6,circular,success,31
7,circular,collision,30
8,circular,success,219
9,circular,collision,19
10,circular,collision,7
11,circular,collision,27
12,circular,success,51
13,circular,collision,10
14,circular,collision,5
15,circular,collision,5
16,circular,collision,5
17,circular,collision,31
18,circular,collision,7
19,circular,collision,5
20,circular,collision,7
21,circular,collision,7
22,circular,success,59
23,circular,success,27
24,circular,collision,5
25,circular,collision,8
26,circular,collision,8
27,circular,success,24
28,circular,success,28
29,circular,collision,5
30,circular,success,32
31,circular,collision,3
32,circular,collision,30
33,circular,success,25
34,circular,success,44
35,circular,success,41
36,circular,collision,24
37,circular,success,55
38,circular,success,26
39,circular,collision,2
40,circular,success,24
41,circular,collision,6
42,circular,success,38
43,circular,collision,6
44,circular,collision,27
45,circular,success,32
46,circular,success,40
47,circular,collision,10
48,circular,success,49
49,circular,collision,4
50,circular,collision,6
51,circular,success,35
52,circular,success,23
53,circular,success,27
54,circular,collision,28
55,circular,success,32
56,circular,collision,10
57,circular,collision,3
58,circular,collision,4
59,circular,success,47
60,circular,success,28
61,circular,success,28
62,circular,success,27
63,circular,success,27
64,circular,collision,33
65,circular,collision,22
66,circular,success,27
67,circular,collision,10
68,circular,success,44
69,circular,collision,5
70,circular,success,29
71,circular,success,30
72,circular,collision,29
73,circular,collision,34
74,circular,collision,38
75,circular,collision,30
76,circular,collision,10
77,circular,success,23
78,circular,success,34
79,circular,collision,9
80,circular,collision,6
81,circular,success,24
82,circular,success,21
83,circular,collision,8
84,circular,collision,10
85,circular,collision,27
86,circular,success,19
87,circular,collision,9
88,circular,success,22
89,circular,success,34
90,circular,collision,8
91,circular,success,55
92,circular,collision,8
93,circular,collision,9
94,circular,collision,6
95,circular,success,26
96,circular,collision,31
97,circular,collision,24
98,circular,success,28
99,circular,collision,9
100,random,success,119
101,random,collision,1
102,random,success,50
103,random,success,55
104,random,collision,62
105,random,success,39
106,random,collision,20
107,random,collision,32
108,random,success,44
109,random,collision,64
110,random,collision,4
111,random,collision,16
112,random,collision,14
113,random,collision,20
114,random,success,33
115,random,success,35
116,random,success,50
117,random,collision,15
118,random,success,31
119,random,collision,2
120,random,success,46
121,random,collision,91
122,random,collision,42
123,random,success,67
124,random,collision,32
125,random,collision,3
126,random,collision,34
127,random,success,32
128,random,collision,2
129,random,collision,13
130,random,collision,32
131,random,collision,23
132,random,success,48
133,random,success,37
134,random,collision,20
135,random,success,30
136,random,collision,63
137,random,collision,26
138,random,collision,34
139,random,collision,45
140,random,success,38
141,random,collision,20
142,random,collision,14
143,random,success,48
144,random,collision,17
145,random,collision,25
146,random,collision,19
147,random,success,58
148,random,success,62
149,random,success,25
150,random,collision,23
151,random,collision,4
152,random,collision,15
153,random,collision,7
154,random,success,49
155,random,collision,13
156,random,collision,35
157,random,collision,25
158,random,collision,27
159,random,success,50
160,random,success,65
161,random,success,162
162,random,collision,3
163,random,collision,29
164,random,success,58
165,random,collision,17
166,random,success,36
167,random,collision,24
168,random,collision,45
169,random,collision,39
170,random,collision,50
171,random,collision,30
172,random,success,48
173,random,success,46
174,random,collision,29
175,random,success,46
176,random,success,44
177,random,collision,1
178,random,success,78
179,random,collision,17
180,random,collision,11
181,random,collision,27
182,random,success,25
183,random,success,86
184,random,collision,58
185,random,collision,31
186,random,collision,30
187,random,collision,20
188,random,collision,77
189,random,collision,2
190,random,success,52
191,random,success,51
192,random,collision,15
193,random,collision,15
194,random,collision,180
195,random,success,51
196,random,collision,9
197,random,collision,37
198,random,collision,27
199,random,collision,42
200,parallel,collision,36
201,parallel,success,25
202,parallel,collision,6
203,parallel,collision,45
204,parallel,collision,26
205,parallel,collision,8
206,parallel,collision,24
207,parallel,collision,7
208,parallel,success,58
209,parallel,success,77
210,parallel,collision,21
211,parallel,collision,31
212,parallel,collision,18
213,parallel,collision,7
214,parallel,collision,40
215,parallel,collision,47
216,parallel,collision,47
217,parallel,collision,39
218,parallel,collision,25
219,parallel,success,48
220,parallel,success,29
221,parallel,collision,23
222,parallel,success,38
223,parallel,success,50
224,parallel,collision,6
225,parallel,success,29
226,parallel,collision,7
227,parallel,collision,25
228,parallel,collision,8
229,parallel,collision,7
230,parallel,collision,6
231,parallel,collision,28
232,parallel,success,46
233,parallel,success,181
234,parallel,collision,29
235,parallel,success,44
236,parallel,collision,9
237,parallel,success,127
238,parallel,success,39
239,parallel,collision,28
240,parallel,collision,7
241,parallel,collision,15
242,parallel,collision,8
243,parallel,collision,91
244,parallel,collision,52
245,parallel,success,53
246,parallel,success,60
247,parallel,collision,22
248,parallel,success,39
249,parallel,success,39
250,parallel,collision,42
251,parallel,success,32
252,parallel,collision,9
253,parallel,success,83
254,parallel,collision,22
255,parallel,collision,31
256,parallel,collision,45
257,parallel,collision,33
258,parallel,collision,24
259,parallel,collision,41
260,parallel,collision,7
261,parallel,collision,33
262,parallel,collision,10
263,parallel,success,52
264,parallel,collision,45
265,parallel,success,74
266,parallel,collision,20
267,parallel,collision,7
268,parallel,collision,48
269,parallel,collision,8
270,parallel,collision,26
271,parallel,collision,12
272,parallel,collision,25
273,parallel,success,43
274,parallel,collision,20
275,parallel,collision,7
276,parallel,collision,40
277,parallel,success,41
278,parallel,collision,7
279,parallel,success,58
280,parallel,success,53
281,parallel,success,39
282,parallel,collision,30
283,parallel,collision,28
284,parallel,collision,12
285,parallel,collision,7
286,parallel,success,32
287,parallel,collision,37
288,parallel,collision,7
289,parallel,collision,6
290,parallel,success,43
291,parallel,success,137
292,parallel,collision,10
293,parallel,success,48
294,parallel,collision,27
295,parallel,collision,45
296,parallel,collision,7
297,parallel,collision,26
298,parallel,collision,11
299,parallel,collision,7
