idx,scenario,outcome,num_steps
0,circular,collision,44
1,circular,collision,4
2,circular,success,32
3,circular,collision,8
4,circular,collision,59
5,circular,collision,62
6,circular,success,32
7,circular,success,47
8,circular,success,44
9,circular,collision,30
10,circular,collision,7
11,circular,collision,6
12,circular,success,47
13,circular,collision,24
14,circular,success,50
15,circular,collision,28
16,circular,collision,4
17,circular,collision,7
18,circular,success,38
19,circular,collision,6
20,circular,collision,7
21,circular,collision,9
22,circular,collision,36
23,circular,success,17
24,circular,collision,5
25,circular,collision,67
26,circular,collision,10
27,circular,success,51
28,circular,collision,7
29,circular,success,49
30,circular,collision,8
31,circular,collision,17
32,circular,collision,8
33,circular,success,24
34,circular,success,36
35,circular,success,48
36,circular,success,81
37,circular,collision,18
38,circular,success,24
39,circular,collision,3
40,circular,success,22
41,circular,collision,7
42,circular,success,29
43,circular,success,37
44,circular,success,64
45,circular,success,26
46,circular,collision,28
47,circular,collision,9
48,circular,success,37
49,circular,collision,5
50,circular,collision,6
51,circular,success,72
52,circular,success,71
53,circular,success,43
54,circular,success,21
55,circular,success,35
56,circular,success,35
57,circular,success,43
58,circular,success,29
59,circular,success,37
60,circular,success,33
61,circular,collision,7
62,circular,success,24
63,circular,success,21
64,circular,success,27
65,circular,collision,8
66,circular,success,26
67,circular,collision,8
68,circular,success,41
69,circular,collision,4
70,circular,success,30
71,circular,collision,10
72,circular,collision,29
73,circular,collision,25
74,circular,success,56
75,circular,collision,10
76,circular,collision,11
77,circular,success,19
78,circular,success,86
79,circular,collision,8
80,circular,collision,6
81,circular,success,20
82,circular,success,22
83,circular,success,45
84,circular,collision,10
85,circular,collision,35
86,circular,success,116
87,circular,collision,10
88,circular,collision,51
89,circular,collision,8
90,circular,collision,10
91,circular,collision,6
92,circular,collision,7
93,circular,success,34
94,circular,success,24
95,circular,success,24
96,circular,collision,19
97,circular,collision,50
98,circular,success,32
99,circular,success,30
100,random,success,77
101,random,collision,1
102,random,collision,18
103,random,collision,9
104,random,collision,32
105,random,collision,62
106,random,collision,16
107,random,collision,26
108,random,collision,15
109,random,success,102
110,random,collision,11
111,random,collision,130
112,random,success,60
113,random,success,51
114,random,success,74
115,random,collision,4
116,random,success,53
117,random,success,86
118,random,success,25
119,random,collision,2
120,random,success,90
121,random,success,80
122,random,collision,17
123,random,collision,30
124,random,collision,55
125,random,collision,6
126,random,collision,22
127,random,success,27
128,random,collision,2
129,random,collision,15
130,random,collision,35
131,random,collision,36
132,random,success,52
133,random,success,30
134,random,success,39
135,random,collision,33
136,random,collision,17
137,random,collision,40
138,random,collision,28
139,random,collision,23
140,random,collision,23
141,random,collision,22
142,random,collision,12
143,random,success,34
144,random,success,36
145,random,collision,23
146,random,collision,15
147,random,success,63
148,random,collision,53
149,random,success,25
150,random,collision,4
151,random,collision,6
152,random,collision,66
153,random,collision,5
154,random,success,32
155,random,collision,12
156,random,collision,16
157,random,collision,69
158,random,success,83
159,random,collision,36
160,random,success,65
161,random,success,68
162,random,collision,4
163,random,collision,26
164,random,collision,30
165,random,collision,11
166,random,collision,6
167,random,collision,19
168,random,collision,85
169,random,success,53
170,random,collision,34
171,random,collision,27
172,random,collision,12
173,random,success,44
174,random,collision,58
175,random,collision,38
176,random,success,42
177,random,collision,1
178,random,success,116
179,random,collision,18
180,random,collision,10
181,random,collision,3
182,random,success,23
183,random,collision,17
184,random,success,95
185,random,collision,56
186,random,success,43
187,random,collision,18
188,random,collision,26
189,random,collision,2
190,random,success,78
191,random,success,96
192,random,collision,13
193,random,collision,14
194,random,collision,8
195,random,success,51
196,random,success,39
197,random,success,43
198,random,collision,25
199,random,collision,20
200,parallel,collision,10
201,parallel,success,26
202,parallel,collision,5
203,parallel,collision,26
204,parallel,success,71
205,parallel,collision,8
206,parallel,collision,36
207,parallel,collision,6
208,parallel,collision,44
209,parallel,collision,34
210,parallel,collision,19
211,parallel,collision,27
212,parallel,collision,9
213,parallel,collision,85
214,parallel,success,67
215,parallel,success,29
216,parallel,collision,30
217,parallel,collision,7
218,parallel,collision,23
219,parallel,success,52
220,parallel,collision,56
221,parallel,collision,29
222,parallel,collision,25
223,parallel,success,119
224,parallel,collision,6
225,parallel,collision,10
226,parallel,collision,27
227,parallel,collision,51
228,parallel,collision,52
229,parallel,collision,9
230,parallel,collision,8
231,parallel,collision,25
232,parallel,collision,29
233,parallel,success,32
234,parallel,success,30
235,parallel,success,75
236,parallel,collision,8
237,parallel,collision,33
238,parallel,success,48
239,parallel,success,34
240,parallel,success,30
241,parallel,collision,11
242,parallel,collision,10
243,parallel,collision,95
244,parallel,collision,31
245,parallel,collision,27
246,parallel,collision,37
247,parallel,success,41
248,parallel,collision,19
249,parallel,success,32
250,parallel,collision,11
251,parallel,success,34
252,parallel,collision,10
253,parallel,collision,28
254,parallel,collision,24
255,parallel,collision,25
256,parallel,success,52
257,parallel,collision,84
258,parallel,collision,50
259,parallel,collision,32
260,parallel,collision,57
261,parallel,success,69
262,parallel,collision,27
263,parallel,collision,13
264,parallel,collision,28
265,parallel,collision,9
266,parallel,collision,24
267,parallel,collision,8
268,parallel,collision,40
269,parallel,collision,8
270,parallel,success,72
271,parallel,collision,9
272,parallel,success,43
273,parallel,success,94
274,parallel,success,40
275,parallel,collision,8
276,parallel,collision,56
277,parallel,collision,28
278,parallel,collision,7
279,parallel,collision,29
280,parallel,collision,46
281,parallel,collision,43
282,parallel,collision,31
283,parallel,collision,58
284,parallel,collision,7
285,parallel,collision,6
286,parallel,success,29
287,parallel,collision,70
288,parallel,collision,8
289,parallel,collision,7
290,parallel,collision,10
291,parallel,collision,20
292,parallel,collision,28
293,parallel,collision,21
294,parallel,success,48
295,parallel,success,28
296,parallel,collision,7
297,parallel,collision,21
298,parallel,success,30
299,parallel,collision,6
