idx,scenario,outcome,num_steps
0,circular,collision,49
1,circular,collision,32
2,circular,collision,21
3,circular,collision,9
4,circular,collision,20
5,circular,collision,5
6,circular,success,41
7,circular,collision,27
8,circular,success,51
9,circular,collision,20
10,circular,collision,31
11,circular,success,52
12,circular,collision,29
13,circular,collision,9
14,circular,collision,6
15,circular,collision,36
16,circular,collision,41
17,circular,collision,6
18,circular,collision,9
19,circular,collision,6
20,circular,success,29
21,circular,success,25
22,circular,collision,20
23,circular,success,20
24,circular,collision,6
25,circular,collision,32
26,circular,collision,13
27,circular,success,35
28,circular,collision,9
29,circular,collision,6
30,circular,collision,8
31,circular,collision,3
32,circular,collision,14
33,circular,success,20
34,circular,collision,24
35,circular,success,33
36,circular,collision,24
37,circular,collision,8
38,circular,collision,5
39,circular,collision,5
40,circular,success,36
41,circular,collision,35
42,circular,collision,7
43,circular,collision,27
44,circular,collision,18
45,circular,collision,25
46,circular,collision,8
47,circular,collision,9
48,circular,collision,25
49,circular,collision,7
50,circular,collision,9
51,circular,collision,5
52,circular,success,34
53,circular,success,34
54,circular,collision,33
55,circular,success,46
56,circular,collision,7
57,circular,collision,5
58,circular,collision,7
59,circular,success,40
60,circular,collision,26
61,circular,collision,10
62,circular,success,34
63,circular,collision,7
64,circular,collision,6
65,circular,collision,4
66,circular,success,37
67,circular,collision,9
68,circular,success,22
69,circular,collision,5
70,circular,collision,8
71,circular,collision,9
72,circular,collision,7
73,circular,collision,3
74,circular,collision,8
75,circular,collision,6
76,circular,collision,9
77,circular,success,22
78,circular,success,33
79,circular,collision,9
80,circular,collision,14
81,circular,success,23
82,circular,success,39
83,circular,collision,10
84,circular,collision,10
85,circular,collision,7
86,circular,success,19
87,circular,collision,13
88,circular,collision,8
89,circular,collision,9
90,circular,collision,6
91,circular,collision,7
92,circular,collision,9
93,circular,collision,9
94,circular,collision,6
95,circular,success,35
96,circular,success,44
97,circular,collision,3
98,circular,collision,9
99,circular,collision,19
100,random,success,47
101,random,collision,1
102,random,collision,20
103,random,success,49
104,random,collision,38
105,random,success,42
106,random,collision,37
107,random,collision,12
108,random,collision,19
109,random,collision,24
110,random,collision,32
111,random,collision,5
112,random,collision,12
113,random,success,65
114,random,success,44
115,random,collision,5
116,random,collision,32
117,random,collision,16
118,random,success,33
119,random,collision,3
120,random,collision,35
121,random,collision,20
122,random,collision,53
123,random,collision,41
124,random,success,31
125,random,collision,4
126,random,collision,14
127,random,success,35
128,random,collision,2
129,random,collision,17
130,random,collision,41
131,random,collision,56
132,random,success,42
133,random,success,30
134,random,collision,25
135,random,collision,20
136,random,collision,39
137,random,collision,29
138,random,collision,34
139,random,collision,20
140,random,collision,30
141,random,collision,27
142,random,success,92
143,random,success,57
144,random,collision,29
145,random,collision,30
146,random,collision,21
147,random,collision,32
148,random,collision,56
149,random,success,39
150,random,collision,28
151,random,collision,5
152,random,collision,16
153,random,collision,15
154,random,success,42
155,random,collision,13
156,random,collision,6
157,random,collision,48
158,random,success,51
159,random,success,64
160,random,success,87
161,random,success,62
162,random,collision,3
163,random,collision,30
164,random,collision,15
165,random,collision,13
166,random,collision,7
167,random,collision,31
168,random,collision,16
169,random,collision,13
170,random,collision,36
171,random,collision,61
172,random,collision,24
173,random,collision,17
174,random,collision,31
175,random,collision,2
176,random,success,53
177,random,collision,1
178,random,success,60
179,random,collision,16
180,random,collision,33
181,random,collision,39
182,random,success,23
183,random,collision,39
184,random,collision,5
185,random,collision,3
186,random,collision,36
187,random,collision,24
188,random,success,42
189,random,collision,2
190,random,success,50
191,random,success,56
192,random,collision,26
193,random,collision,8
194,random,collision,8
195,random,success,47
196,random,collision,10
197,random,success,49
198,random,collision,29
199,random,success,28
200,parallel,collision,31
201,parallel,success,30
202,parallel,collision,11
203,parallel,collision,9
204,parallel,success,38
205,parallel,collision,41
206,parallel,collision,27
207,parallel,collision,6
208,parallel,collision,32
209,parallel,collision,27
210,parallel,collision,56
211,parallel,success,48
212,parallel,success,37
213,parallel,collision,23
214,parallel,collision,23
215,parallel,success,38
216,parallel,success,83
217,parallel,collision,10
218,parallel,success,104
219,parallel,success,56
220,parallel,success,29
221,parallel,collision,32
222,parallel,success,40
223,parallel,collision,22
224,parallel,collision,74
225,parallel,success,28
226,parallel,collision,7
227,parallel,collision,60
228,parallel,collision,32
229,parallel,success,29
230,parallel,collision,48
231,parallel,collision,34
232,parallel,collision,40
233,parallel,success,48
234,parallel,success,27
235,parallel,collision,42
236,parallel,collision,10
237,parallel,success,55
238,parallel,success,42
239,parallel,success,38
240,parallel,collision,8
241,parallel,collision,14
242,parallel,success,50
243,parallel,collision,11
244,parallel,collision,26
245,parallel,collision,6
246,parallel,collision,28
247,parallel,collision,44
248,parallel,collision,9
249,parallel,success,49
250,parallel,collision,14
251,parallel,success,28
252,parallel,collision,8
253,parallel,collision,13
254,parallel,collision,19
255,parallel,success,59
256,parallel,collision,10
257,parallel,collision,25
258,parallel,collision,25
259,parallel,collision,11
260,parallel,success,59
261,parallel,success,58
262,parallel,collision,13
263,parallel,collision,27
264,parallel,collision,74
265,parallel,collision,36
266,parallel,collision,7
267,parallel,collision,7
268,parallel,success,41
269,parallel,collision,9
270,parallel,success,56
271,parallel,collision,10
272,parallel,success,59
273,parallel,success,46
274,parallel,collision,8
275,parallel,collision,8
276,parallel,success,58
277,parallel,collision,13
278,parallel,success,51
279,parallel,success,86
280,parallel,collision,31
281,parallel,success,49
282,parallel,collision,37
283,parallel,collision,7
284,parallel,collision,15
285,parallel,collision,32
286,parallel,success,28
287,parallel,collision,34
288,parallel,collision,18
289,parallel,collision,8
290,parallel,collision,8
291,parallel,collision,24
292,parallel,collision,13
293,parallel,collision,9
294,parallel,success,56
295,parallel,collision,44
296,parallel,collision,6
297,parallel,success,51
298,parallel,collision,11
299,parallel,collision,9
