idx,scenario,outcome,num_steps
0,circular,success,64
1,circular,collision,5
2,circular,collision,4
3,circular,success,46
4,circular,collision,37
5,circular,collision,5
6,circular,collision,27
7,circular,success,50
8,circular,success,48
9,circular,success,48
10,circular,collision,7
11,circular,success,41
12,circular,collision,28
13,circular,collision,8
14,circular,collision,4
15,circular,collision,5
16,circular,success,68
17,circular,collision,6
18,circular,collision,9
19,circular,collision,6
20,circular,success,37
21,circular,success,27
22,circular,collision,25
23,circular,success,24
24,circular,collision,5
25,circular,collision,46
26,circular,collision,6
27,circular,collision,8
28,circular,collision,8
29,circular,collision,5
30,circular,collision,8
31,circular,collision,2
32,circular,collision,14
33,circular,success,24
34,circular,success,50
35,circular,success,26
36,circular,collision,23
37,circular,collision,8
38,circular,collision,6
39,circular,collision,3
40,circular,success,29
41,circular,collision,20
42,circular,collision,8
43,circular,success,48
44,circular,collision,20
45,circular,success,44
46,circular,success,38
47,circular,collision,8
48,circular,success,44
49,circular,success,38
50,circular,collision,7
51,circular,collision,4
52,circular,collision,5
53,circular,success,31
54,circular,collision,25
55,circular,success,73
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,success,40
60,circular,success,30
61,circular,collision,8
62,circular,collision,8
63,circular,success,23
64,circular,collision,8
65,circular,collision,12
66,circular,collision,8
67,circular,collision,9
68,circular,success,24
69,circular,success,54
70,circular,collision,8
71,circular,collision,9
72,circular,collision,6
73,circular,collision,21
74,circular,collision,7
75,circular,success,73
76,circular,collision,10
77,circular,success,28
78,circular,success,29
79,circular,collision,9
80,circular,collision,13
81,circular,success,27
82,circular,success,63
83,circular,collision,10
84,circular,collision,11
85,circular,collision,5
86,circular,success,24
87,circular,collision,12
88,circular,collision,8
89,circular,collision,9
90,circular,collision,6
91,circular,collision,9
92,circular,collision,7
93,circular,collision,10
94,circular,collision,6
95,circular,success,30
96,circular,collision,27
97,circular,collision,3
98,circular,collision,12
99,circular,success,30
100,random,success,33
101,random,collision,1
102,random,collision,11
103,random,collision,38
104,random,collision,41
105,random,success,55
106,random,collision,51
107,random,collision,40
108,random,collision,19
109,random,collision,34
110,random,collision,38
111,random,collision,6
112,random,collision,19
113,random,success,52
114,random,success,51
115,random,collision,4
116,random,collision,34
117,random,collision,19
118,random,success,38
119,random,collision,3
120,random,success,60
121,random,collision,44
122,random,collision,24
123,random,collision,46
124,random,collision,21
125,random,collision,3
126,random,collision,20
127,random,success,38
128,random,collision,2
129,random,collision,13
130,random,collision,36
131,random,collision,23
132,random,success,42
133,random,success,45
134,random,collision,23
135,random,collision,75
136,random,collision,18
137,random,success,78
138,random,success,58
139,random,collision,21
140,random,success,23
141,random,success,69
142,random,collision,28
143,random,success,55
144,random,success,51
145,random,collision,35
146,random,collision,18
147,random,collision,34
148,random,collision,60
149,random,success,26
150,random,collision,11
151,random,collision,3
152,random,collision,7
153,random,collision,6
154,random,collision,20
155,random,collision,14
156,random,collision,5
157,random,collision,59
158,random,collision,19
159,random,collision,48
160,random,success,67
161,random,collision,50
162,random,collision,3
163,random,collision,30
164,random,success,60
165,random,collision,19
166,random,collision,6
167,random,collision,22
168,random,collision,10
169,random,collision,14
170,random,collision,26
171,random,success,64
172,random,collision,46
173,random,collision,35
174,random,collision,32
175,random,collision,2
176,random,collision,48
177,random,collision,1
178,random,success,122
179,random,collision,16
180,random,success,72
181,random,collision,5
182,random,success,26
183,random,collision,21
184,random,collision,14
185,random,collision,37
186,random,collision,52
187,random,collision,20
188,random,collision,30
189,random,collision,2
190,random,success,45
191,random,success,52
192,random,collision,25
193,random,collision,8
194,random,collision,9
195,random,success,50
196,random,collision,10
197,random,collision,51
198,random,collision,23
199,random,collision,33
200,parallel,collision,8
201,parallel,success,29
202,parallel,collision,6
203,parallel,collision,12
204,parallel,collision,29
205,parallel,success,54
206,parallel,collision,64
207,parallel,collision,7
208,parallel,collision,25
209,parallel,success,39
210,parallel,collision,20
211,parallel,collision,29
212,parallel,success,45
213,parallel,collision,50
214,parallel,collision,49
215,parallel,collision,27
216,parallel,collision,32
217,parallel,collision,8
218,parallel,collision,9
219,parallel,success,60
220,parallel,collision,26
221,parallel,success,36
222,parallel,collision,41
223,parallel,success,64
224,parallel,collision,20
225,parallel,collision,9
226,parallel,collision,7
227,parallel,success,91
228,parallel,collision,12
229,parallel,success,29
230,parallel,collision,8
231,parallel,collision,26
232,parallel,success,36
233,parallel,collision,6
234,parallel,collision,27
235,parallel,success,40
236,parallel,success,38
237,parallel,collision,26
238,parallel,success,47
239,parallel,success,43
240,parallel,collision,7
241,parallel,collision,61
242,parallel,collision,7
243,parallel,collision,42
244,parallel,collision,34
245,parallel,collision,5
246,parallel,collision,31
247,parallel,collision,24
248,parallel,collision,35
249,parallel,collision,28
250,parallel,collision,27
251,parallel,success,35
252,parallel,collision,25
253,parallel,collision,31
254,parallel,success,74
255,parallel,success,60
256,parallel,success,60
257,parallel,collision,27
258,parallel,collision,19
259,parallel,collision,26
260,parallel,success,56
261,parallel,success,126
262,parallel,collision,22
263,parallel,collision,6
264,parallel,success,52
265,parallel,collision,55
266,parallel,collision,77
267,parallel,collision,6
268,parallel,collision,7
269,parallel,collision,8
270,parallel,success,48
271,parallel,collision,9
272,parallel,collision,22
273,parallel,collision,28
274,parallel,collision,7
275,parallel,collision,8
276,parallel,success,62
277,parallel,collision,13
278,parallel,collision,23
279,parallel,collision,25
280,parallel,collision,20
281,parallel,collision,31
282,parallel,collision,25
283,parallel,collision,6
284,parallel,collision,14
285,parallel,collision,32
286,parallel,success,28
287,parallel,collision,35
288,parallel,collision,8
289,parallel,collision,6
290,parallel,collision,9
291,parallel,success,66
292,parallel,collision,11
293,parallel,collision,6
294,parallel,success,69
295,parallel,collision,13
296,parallel,collision,7
297,parallel,collision,21
298,parallel,collision,10
299,parallel,collision,7
