idx,scenario,outcome,num_steps
0,circular,collision,165
1,circular,collision,6
2,circular,collision,47
3,circular,collision,120
4,circular,collision,136
5,circular,timeout,250
6,circular,timeout,250
7,circular,collision,30
8,circular,collision,84
9,circular,collision,19
10,circular,collision,6
11,circular,collision,7
12,circular,collision,123
13,circular,collision,9
14,circular,collision,6
15,circular,collision,7
16,circular,collision,4
17,circular,collision,28
18,circular,collision,145
19,circular,collision,4
20,circular,collision,8
21,circular,collision,168
22,circular,collision,34
23,circular,collision,52
24,circular,collision,49
25,circular,collision,8
26,circular,collision,6
27,circular,success,33
28,circular,collision,51
29,circular,collision,5
30,circular,collision,142
31,circular,collision,3
32,circular,collision,35
33,circular,collision,55
34,circular,timeout,250
35,circular,collision,48
36,circular,collision,52
37,circular,collision,164
38,circular,collision,5
39,circular,collision,2
40,circular,collision,77
41,circular,collision,8
42,circular,collision,49
43,circular,collision,183
44,circular,collision,7
45,circular,timeout,250
46,circular,collision,104
47,circular,collision,8
48,circular,collision,29
49,circular,collision,5
50,circular,collision,6
51,circular,collision,100
52,circular,collision,69
53,circular,collision,10
54,circular,collision,197
55,circular,collision,60
56,circular,collision,13
57,circular,collision,165
58,circular,collision,4
59,circular,collision,161
60,circular,timeout,250
61,circular,timeout,250
62,circular,collision,102
63,circular,collision,46
64,circular,collision,6
65,circular,collision,9
66,circular,collision,78
67,circular,collision,9
68,circular,timeout,250
69,circular,collision,4
70,circular,success,66
71,circular,collision,78
72,circular,timeout,250
73,circular,collision,20
74,circular,collision,60
75,circular,collision,12
76,circular,collision,10
77,circular,collision,43
78,circular,collision,76
79,circular,collision,9
80,circular,collision,10
81,circular,timeout,250
82,circular,timeout,250
83,circular,collision,9
84,circular,collision,10
85,circular,collision,34
86,circular,timeout,250
87,circular,collision,9
88,circular,collision,72
89,circular,collision,10
90,circular,collision,6
91,circular,collision,7
92,circular,collision,7
93,circular,collision,11
94,circular,collision,4
95,circular,success,27
96,circular,collision,21
97,circular,success,55
98,circular,timeout,250
99,circular,timeout,250
100,random,timeout,250
101,random,collision,1
102,random,collision,63
103,random,collision,60
104,random,collision,28
105,random,collision,50
106,random,collision,21
107,random,collision,42
108,random,collision,15
109,random,collision,163
110,random,collision,7
111,random,collision,45
112,random,timeout,250
113,random,collision,46
114,random,collision,35
115,random,collision,4
116,random,collision,124
117,random,collision,7
118,random,timeout,250
119,random,collision,2
120,random,timeout,250
121,random,collision,116
122,random,collision,39
123,random,collision,17
124,random,collision,49
125,random,collision,6
126,random,collision,15
127,random,timeout,250
128,random,collision,2
129,random,collision,12
130,random,collision,34
131,random,collision,52
132,random,collision,30
133,random,timeout,250
134,random,collision,100
135,random,collision,11
136,random,collision,6
137,random,collision,22
138,random,collision,38
139,random,collision,96
140,random,collision,21
141,random,collision,28
142,random,collision,15
143,random,timeout,250
144,random,timeout,250
145,random,collision,28
146,random,collision,13
147,random,collision,26
148,random,collision,47
