idx,scenario,outcome,num_steps
0,circular,success,31
1,circular,success,23
2,circular,success,32
3,circular,collision,9
4,circular,collision,37
5,circular,success,63
6,circular,success,29
7,circular,collision,30
8,circular,success,38
9,circular,collision,33
10,circular,collision,7
11,circular,collision,6
12,circular,success,26
13,circular,collision,10
14,circular,collision,6
15,circular,success,36
16,circular,collision,5
17,circular,collision,20
18,circular,collision,10
19,circular,success,26
20,circular,collision,9
21,circular,success,23
22,circular,collision,28
23,circular,success,13
24,circular,collision,5
25,circular,success,44
26,circular,success,59
27,circular,success,17
28,circular,success,27
29,circular,collision,6
30,circular,success,22
31,circular,collision,30
32,circular,collision,8
33,circular,success,15
34,circular,success,32
35,circular,success,29
36,circular,success,27
37,circular,collision,32
38,circular,success,24
39,circular,collision,2
40,circular,success,19
41,circular,collision,32
42,circular,success,36
43,circular,collision,23
44,circular,success,51
45,circular,collision,7
46,circular,collision,11
47,circular,collision,43
48,circular,success,31
49,circular,collision,5
50,circular,success,20
51,circular,collision,7
52,circular,success,26
53,circular,collision,9
54,circular,success,28
55,circular,collision,26
56,circular,collision,10
57,circular,success,37
58,circular,success,43
59,circular,success,30
60,circular,success,21
61,circular,success,25
62,circular,success,24
63,circular,success,19
64,circular,success,19
65,circular,success,29
66,circular,success,24
67,circular,success,29
68,circular,success,18
69,circular,collision,4
70,circular,collision,11
71,circular,success,23
72,circular,collision,7
73,circular,collision,5
74,circular,collision,10
75,circular,collision,29
76,circular,success,26
77,circular,success,26
78,circular,success,34
79,circular,collision,11
80,circular,collision,13
81,circular,success,17
82,circular,collision,4
83,circular,collision,8
84,circular,collision,10
85,circular,collision,30
86,circular,success,7
87,circular,collision,9
88,circular,collision,7
89,circular,success,27
90,circular,collision,6
91,circular,collision,10
92,circular,collision,7
93,circular,collision,11
94,circular,collision,5
95,circular,success,27
96,circular,success,44
97,circular,success,36
98,circular,success,29
99,circular,success,24
100,random,success,31
101,random,collision,1
102,random,collision,14
103,random,collision,29
104,random,success,73
