idx,scenario,outcome,num_steps
0,circular,success,59
1,circular,collision,4
2,circular,collision,3
3,circular,collision,9
4,circular,collision,35
5,circular,collision,16
6,circular,success,41
7,circular,success,70
8,circular,success,61
9,circular,success,84
10,circular,collision,7
11,circular,collision,26
12,circular,collision,23
13,circular,collision,10
14,circular,success,150
15,circular,success,71
16,circular,collision,4
17,circular,collision,21
18,circular,collision,8
19,circular,collision,5
20,circular,collision,8
21,circular,collision,6
22,circular,collision,30
23,circular,success,49
24,circular,collision,4
25,circular,collision,9
26,circular,collision,33
27,circular,success,57
28,circular,success,72
29,circular,collision,6
30,circular,collision,8
31,circular,collision,4
32,circular,collision,7
33,circular,success,47
34,circular,collision,24
35,circular,success,30
36,circular,success,44
37,circular,collision,31
38,circular,collision,5
39,circular,collision,3
40,circular,success,56
41,circular,collision,5
42,circular,collision,8
43,circular,collision,26
44,circular,collision,23
45,circular,success,44
46,circular,success,40
47,circular,collision,6
48,circular,collision,25
49,circular,success,29
50,circular,success,56
51,circular,success,89
52,circular,success,60
53,circular,collision,8
54,circular,success,99
55,circular,collision,29
56,circular,collision,12
57,circular,success,64
58,circular,success,69
59,circular,success,75
60,circular,success,28
61,circular,collision,7
62,circular,success,51
63,circular,success,32
64,circular,success,52
65,circular,success,75
66,circular,success,57
67,circular,collision,8
68,circular,success,58
69,circular,success,34
70,circular,collision,9
71,circular,collision,10
72,circular,collision,29
73,circular,collision,4
74,circular,collision,19
75,circular,collision,13
76,circular,collision,11
77,circular,success,30
78,circular,collision,8
79,circular,collision,10
80,circular,collision,7
81,circular,success,48
82,circular,success,39
83,circular,collision,8
84,circular,collision,11
85,circular,collision,29
86,circular,success,51
87,circular,success,53
88,circular,collision,8
89,circular,collision,8
90,circular,collision,8
91,circular,success,56
92,circular,collision,7
93,circular,collision,20
94,circular,collision,6
95,circular,success,43
96,circular,collision,29
97,circular,collision,46
98,circular,success,78
99,circular,success,32
100,random,success,96
101,random,collision,1
102,random,collision,24
103,random,success,79
104,random,success,119
105,random,success,47
106,random,collision,21
107,random,collision,41
108,random,success,82
109,random,collision,23
110,random,collision,53
111,random,collision,50
112,random,collision,14
113,random,collision,17
114,random,success,42
115,random,collision,5
116,random,collision,29
117,random,collision,45
118,random,success,53
119,random,collision,3
120,random,success,54
121,random,collision,136
122,random,collision,19
123,random,collision,27
124,random,collision,51
125,random,collision,3
126,random,collision,26
127,random,success,71
128,random,collision,2
129,random,collision,12
130,random,collision,50
131,random,collision,31
132,random,collision,39
133,random,success,84
134,random,collision,39
135,random,collision,24
136,random,collision,18
137,random,success,91
138,random,collision,33
139,random,collision,40
140,random,collision,42
141,random,collision,21
142,random,collision,43
143,random,success,109
144,random,collision,17
145,random,collision,30
146,random,collision,18
147,random,collision,39
148,random,collision,44
149,random,success,42
150,random,success,37
151,random,collision,3
152,random,collision,23
153,random,collision,7
154,random,success,53
155,random,success,66
156,random,success,78
157,random,collision,79
158,random,collision,19
159,random,success,52
160,random,success,82
161,random,collision,43
162,random,collision,3
163,random,collision,38
164,random,collision,16
165,random,collision,16
166,random,collision,5
167,random,collision,30
168,random,collision,16
169,random,collision,19
170,random,collision,28
171,random,collision,44
172,random,success,40
173,random,success,87
174,random,collision,35
175,random,collision,2
176,random,collision,39
177,random,collision,1
178,random,success,65
179,random,collision,15
180,random,collision,16
181,random,collision,37
182,random,collision,4
183,random,success,83
184,random,collision,24
185,random,collision,29
186,random,collision,31
187,random,collision,33
188,random,collision,86
189,random,collision,3
190,random,success,46
191,random,success,124
192,random,collision,22
193,random,collision,19
194,random,collision,6
195,random,success,70
196,random,collision,11
197,random,success,77
198,random,collision,29
199,random,collision,28
200,parallel,collision,17
201,parallel,success,29
202,parallel,collision,5
203,parallel,collision,24
204,parallel,collision,27
205,parallel,collision,8
206,parallel,collision,25
207,parallel,collision,6
208,parallel,collision,26
209,parallel,collision,30
210,parallel,collision,76
211,parallel,collision,27
212,parallel,collision,10
213,parallel,success,47
214,parallel,collision,79
215,parallel,collision,24
216,parallel,success,78
217,parallel,success,146
218,parallel,collision,26
219,parallel,collision,27
220,parallel,collision,29
221,parallel,collision,42
222,parallel,collision,29
223,parallel,success,54
224,parallel,collision,32
225,parallel,collision,10
226,parallel,collision,6
227,parallel,collision,45
228,parallel,collision,75
229,parallel,collision,11
230,parallel,collision,6
231,parallel,collision,33
232,parallel,success,53
233,parallel,collision,7
234,parallel,success,37
235,parallel,collision,9
236,parallel,collision,28
237,parallel,collision,23
238,parallel,collision,54
239,parallel,success,65
240,parallel,collision,33
241,parallel,success,44
242,parallel,collision,8
243,parallel,success,73
244,parallel,collision,49
245,parallel,success,95
246,parallel,success,88
247,parallel,success,68
248,parallel,collision,9
249,parallel,success,51
250,parallel,success,53
251,parallel,success,87
252,parallel,collision,39
253,parallel,collision,18
254,parallel,success,56
255,parallel,collision,27
256,parallel,collision,40
257,parallel,collision,27
258,parallel,success,31
259,parallel,success,95
260,parallel,collision,43
261,parallel,collision,69
262,parallel,collision,9
263,parallel,collision,37
264,parallel,collision,6
265,parallel,collision,26
266,parallel,collision,20
267,parallel,collision,5
268,parallel,success,48
269,parallel,collision,10
270,parallel,collision,32
271,parallel,success,69
272,parallel,collision,28
273,parallel,success,48
274,parallel,collision,46
275,parallel,collision,8
276,parallel,collision,39
277,parallel,collision,23
278,parallel,success,71
279,parallel,success,53
280,parallel,collision,23
281,parallel,success,77
282,parallel,collision,31
283,parallel,collision,7
284,parallel,collision,79
285,parallel,collision,6
286,parallel,success,36
287,parallel,collision,49
288,parallel,collision,12
289,parallel,collision,54
290,parallel,collision,9
291,parallel,collision,44
292,parallel,success,65
293,parallel,collision,29
294,parallel,collision,25
295,parallel,collision,14
296,parallel,collision,27
297,parallel,collision,14
298,parallel,collision,12
299,parallel,success,77
