idx,scenario,outcome,num_steps
0,circular,collision,10
1,circular,collision,4
2,circular,collision,4
3,circular,collision,26
4,circular,collision,19
5,circular,collision,5
6,circular,success,63
7,circular,collision,37
8,circular,success,65
9,circular,collision,31
10,circular,collision,31
11,circular,success,64
12,circular,success,56
13,circular,collision,29
14,circular,collision,5
15,circular,collision,32
16,circular,success,69
17,circular,collision,9
18,circular,collision,9
19,circular,collision,6
20,circular,collision,10
21,circular,success,61
22,circular,collision,41
23,circular,collision,7
24,circular,collision,5
25,circular,collision,44
26,circular,success,67
27,circular,collision,8
28,circular,collision,7
29,circular,collision,7
30,circular,success,34
31,circular,collision,3
32,circular,collision,12
33,circular,success,60
34,circular,success,53
35,circular,success,66
36,circular,success,45
37,circular,collision,8
38,circular,collision,5
39,circular,collision,3
40,circular,success,51
41,circular,collision,20
42,circular,collision,8
43,circular,collision,5
44,circular,collision,28
45,circular,collision,25
46,circular,success,44
47,circular,collision,10
48,circular,collision,7
49,circular,collision,5
50,circular,collision,8
51,circular,success,54
52,circular,success,25
53,circular,success,46
54,circular,collision,29
55,circular,success,72
56,circular,collision,13
57,circular,collision,5
58,circular,collision,6
59,circular,collision,28
60,circular,success,42
61,circular,collision,8
62,circular,collision,8
63,circular,collision,7
64,circular,success,34
65,circular,success,91
66,circular,collision,26
67,circular,collision,12
68,circular,success,45
69,circular,collision,3
70,circular,collision,9
71,circular,collision,9
72,circular,collision,6
73,circular,collision,3
74,circular,collision,8
75,circular,collision,6
76,circular,collision,9
77,circular,success,58
78,circular,collision,22
79,circular,collision,8
80,circular,collision,18
81,circular,success,26
82,circular,collision,5
83,circular,collision,9
84,circular,collision,10
85,circular,collision,6
86,circular,success,32
87,circular,collision,10
88,circular,collision,7
89,circular,collision,11
90,circular,collision,7
91,circular,success,47
92,circular,collision,38
93,circular,collision,11
94,circular,collision,7
95,circular,success,52
96,circular,collision,27
97,circular,collision,4
98,circular,collision,8
99,circular,collision,20
100,random,success,58
101,random,collision,1
102,random,collision,15
103,random,collision,9
104,random,collision,69
105,random,success,81
106,random,collision,54
107,random,collision,11
108,random,collision,19
109,random,collision,27
110,random,collision,37
111,random,collision,49
112,random,collision,12
113,random,collision,21
114,random,success,68
115,random,collision,6
116,random,collision,29
117,random,collision,21
118,random,success,99
119,random,collision,3
120,random,collision,27
121,random,collision,50
122,random,collision,31
123,random,collision,28
124,random,collision,49
125,random,collision,4
126,random,collision,18
127,random,success,74
128,random,collision,2
129,random,collision,14
130,random,collision,49
131,random,collision,40
132,random,success,62
133,random,success,45
134,random,collision,34
135,random,collision,43
136,random,collision,18
137,random,success,93
138,random,collision,39
139,random,success,46
140,random,collision,34
141,random,collision,23
142,random,collision,12
143,random,success,82
144,random,success,64
145,random,collision,37
146,random,collision,41
147,random,collision,41
148,random,success,115
149,random,success,48
150,random,collision,35
151,random,collision,2
152,random,collision,21
153,random,collision,13
154,random,collision,19
155,random,success,39
156,random,collision,4
157,random,collision,54
158,random,collision,28
159,random,collision,64
160,random,success,91
161,random,collision,40
162,random,collision,3
163,random,collision,22
164,random,collision,19
165,random,collision,18
166,random,collision,6
167,random,collision,30
168,random,collision,15
169,random,collision,20
170,random,success,42
171,random,collision,32
172,random,collision,13
173,random,collision,25
174,random,collision,30
175,random,collision,2
176,random,success,54
177,random,collision,1
178,random,success,63
179,random,collision,16
180,random,collision,16
181,random,collision,4
182,random,success,65
183,random,collision,35
184,random,collision,5
185,random,collision,3
186,random,collision,46
187,random,collision,33
188,random,success,53
189,random,collision,2
190,random,success,53
191,random,success,68
192,random,collision,29
193,random,collision,9
194,random,collision,54
195,random,success,53
196,random,collision,10
197,random,collision,38
198,random,collision,30
199,random,collision,45
200,parallel,success,87
201,parallel,success,32
202,parallel,collision,5
203,parallel,collision,12
204,parallel,collision,26
205,parallel,success,73
206,parallel,collision,27
207,parallel,collision,6
208,parallel,collision,7
209,parallel,collision,40
210,parallel,collision,24
211,parallel,success,105
212,parallel,collision,13
213,parallel,collision,29
214,parallel,collision,20
215,parallel,success,64
216,parallel,collision,37
217,parallel,collision,9
218,parallel,collision,31
219,parallel,collision,30
220,parallel,success,37
221,parallel,success,48
222,parallel,success,49
223,parallel,collision,31
224,parallel,success,78
225,parallel,collision,10
226,parallel,collision,9
227,parallel,collision,28
228,parallel,success,50
229,parallel,collision,9
230,parallel,collision,56
231,parallel,collision,50
232,parallel,success,48
233,parallel,collision,38
234,parallel,success,39
235,parallel,success,45
236,parallel,collision,7
237,parallel,collision,48
238,parallel,success,47
239,parallel,collision,25
240,parallel,collision,6
241,parallel,collision,14
242,parallel,collision,7
243,parallel,collision,20
244,parallel,collision,11
245,parallel,collision,28
246,parallel,success,41
247,parallel,collision,45
248,parallel,collision,9
249,parallel,success,50
250,parallel,collision,15
251,parallel,success,73
252,parallel,collision,8
253,parallel,collision,9
254,parallel,collision,51
255,parallel,collision,46
256,parallel,collision,26
257,parallel,collision,26
258,parallel,collision,23
259,parallel,collision,34
260,parallel,success,43
261,parallel,collision,82
262,parallel,collision,25
263,parallel,collision,6
264,parallel,collision,50
265,parallel,collision,28
266,parallel,success,76
267,parallel,collision,6
268,parallel,collision,9
269,parallel,collision,10
270,parallel,collision,31
271,parallel,collision,13
272,parallel,success,87
273,parallel,success,52
274,parallel,collision,10
275,parallel,collision,9
276,parallel,success,61
277,parallel,success,45
278,parallel,success,67
279,parallel,collision,25
280,parallel,collision,20
281,parallel,success,35
282,parallel,collision,43
283,parallel,collision,6
284,parallel,collision,13
285,parallel,collision,53
286,parallel,success,32
287,parallel,collision,39
288,parallel,collision,8
289,parallel,collision,26
290,parallel,collision,7
291,parallel,collision,29
292,parallel,success,53
293,parallel,collision,6
294,parallel,collision,24
295,parallel,collision,10
296,parallel,collision,8
297,parallel,collision,63
298,parallel,collision,11
299,parallel,collision,9
