idx,scenario,outcome,num_steps
0,circular,collision,10
1,circular,collision,3
2,circular,collision,3
3,circular,collision,9
4,circular,collision,37
5,circular,collision,17
6,circular,success,40
7,circular,collision,24
8,circular,success,41
9,circular,collision,28
10,circular,collision,9
11,circular,collision,7
12,circular,success,31
13,circular,collision,11
14,circular,collision,6
15,circular,collision,9
16,circular,collision,5
17,circular,collision,6
18,circular,collision,23
19,circular,collision,6
20,circular,collision,7
21,circular,success,27
22,circular,collision,28
23,circular,success,16
24,circular,collision,7
25,circular,collision,36
26,circular,collision,6
27,circular,success,24
28,circular,collision,7
29,circular,collision,5
30,circular,success,42
31,circular,collision,3
32,circular,collision,10
33,circular,success,20
34,circular,success,60
35,circular,success,25
36,circular,success,33
37,circular,success,55
38,circular,success,27
39,circular,collision,3
40,circular,success,28
41,circular,collision,24
42,circular,success,37
43,circular,collision,6
44,circular,collision,8
45,circular,collision,30
46,circular,collision,69
47,circular,collision,9
48,circular,collision,6
49,circular,collision,28
50,circular,collision,35
51,circular,collision,4
52,circular,collision,5
53,circular,success,35
54,circular,collision,28
55,circular,success,33
56,circular,collision,13
57,circular,success,64
58,circular,collision,4
59,circular,success,43
60,circular,success,29
61,circular,collision,7
62,circular,success,30
63,circular,success,27
64,circular,collision,7
65,circular,success,55
66,circular,success,30
67,circular,collision,11
68,circular,success,27
69,circular,collision,4
70,circular,collision,8
71,circular,collision,10
72,circular,collision,7
73,circular,collision,5
74,circular,success,161
75,circular,collision,5
76,circular,collision,9
77,circular,success,20
78,circular,success,35
79,circular,collision,9
80,circular,collision,9
81,circular,success,27
82,circular,success,29
83,circular,collision,10
84,circular,collision,20
85,circular,collision,7
86,circular,success,16
87,circular,collision,10
88,circular,collision,8
89,circular,collision,8
90,circular,collision,12
91,circular,collision,21
92,circular,collision,31
93,circular,collision,10
94,circular,success,34
95,circular,success,27
96,circular,collision,29
97,circular,collision,3
98,circular,success,33
99,circular,collision,8
100,random,success,45
101,random,collision,1
102,random,collision,10
103,random,collision,12
104,random,collision,30
105,random,collision,27
106,random,collision,51
107,random,collision,43
108,random,collision,15
109,random,collision,18
110,random,collision,5
111,random,collision,14
112,random,collision,13
113,random,success,44
114,random,success,37
115,random,collision,4
116,random,success,57
117,random,collision,20
118,random,success,35
119,random,collision,2
120,random,success,68
121,random,collision,53
122,random,collision,16
123,random,collision,18
124,random,collision,25
125,random,collision,4
126,random,collision,15
127,random,success,30
128,random,collision,3
129,random,collision,29
130,random,collision,32
131,random,collision,20
132,random,success,41
133,random,success,28
134,random,collision,37
135,random,success,53
136,random,collision,18
137,random,success,60
138,random,collision,12
139,random,success,43
140,random,collision,30
141,random,collision,25
142,random,collision,15
143,random,collision,20
144,random,collision,25
145,random,collision,23
146,random,collision,18
147,random,success,59
148,random,collision,57
149,random,success,25
150,random,collision,20
151,random,collision,3
152,random,collision,22
153,random,collision,5
154,random,success,37
155,random,success,47
156,random,collision,6
157,random,collision,73
158,random,success,52
159,random,collision,64
160,random,success,82
161,random,collision,43
162,random,collision,4
163,random,collision,27
164,random,collision,17
165,random,collision,14
166,random,collision,6
167,random,collision,35
168,random,collision,15
169,random,collision,93
170,random,collision,28
171,random,collision,48
172,random,collision,12
173,random,collision,31
174,random,collision,23
175,random,collision,2
176,random,collision,38
177,random,collision,1
178,random,success,61
179,random,collision,17
180,random,collision,16
181,random,collision,4
182,random,success,24
183,random,collision,27
184,random,collision,5
185,random,collision,70
186,random,success,76
187,random,collision,41
188,random,success,31
189,random,collision,3
190,random,success,43
191,random,success,44
192,random,success,64
193,random,collision,16
194,random,success,73
195,random,success,42
196,random,collision,10
197,random,success,46
198,random,success,42
199,random,collision,26
200,parallel,collision,20
201,parallel,success,27
202,parallel,collision,7
203,parallel,collision,28
204,parallel,collision,31
205,parallel,success,39
206,parallel,collision,30
207,parallel,collision,50
208,parallel,success,29
209,parallel,success,96
210,parallel,collision,21
211,parallel,collision,17
212,parallel,collision,8
213,parallel,collision,7
214,parallel,collision,19
215,parallel,success,46
216,parallel,collision,46
217,parallel,collision,7
218,parallel,collision,48
219,parallel,collision,30
220,parallel,success,32
221,parallel,collision,13
222,parallel,collision,26
223,parallel,collision,22
224,parallel,collision,26
225,parallel,collision,9
226,parallel,collision,7
227,parallel,collision,27
228,parallel,collision,8
229,parallel,collision,9
230,parallel,success,26
231,parallel,collision,41
232,parallel,success,45
233,parallel,collision,13
234,parallel,success,29
235,parallel,collision,23
236,parallel,success,36
237,parallel,collision,41
238,parallel,success,29
239,parallel,success,38
240,parallel,collision,7
241,parallel,collision,13
242,parallel,collision,10
243,parallel,collision,28
244,parallel,collision,30
245,parallel,success,40
246,parallel,success,33
247,parallel,success,54
248,parallel,success,29
249,parallel,success,46
250,parallel,collision,31
251,parallel,success,38
252,parallel,success,26
253,parallel,collision,7
254,parallel,collision,17
255,parallel,collision,36
256,parallel,success,55
257,parallel,success,35
258,parallel,success,30
259,parallel,collision,10
260,parallel,success,41
261,parallel,collision,33
262,parallel,collision,30
263,parallel,success,55
264,parallel,success,39
265,parallel,success,61
266,parallel,collision,29
267,parallel,collision,6
268,parallel,collision,30
269,parallel,collision,8
270,parallel,collision,33
271,parallel,collision,8
272,parallel,collision,25
273,parallel,success,42
274,parallel,collision,8
275,parallel,success,33
276,parallel,collision,66
277,parallel,collision,42
278,parallel,collision,8
279,parallel,collision,48
280,parallel,success,48
281,parallel,collision,34
282,parallel,collision,30
283,parallel,success,39
284,parallel,collision,12
285,parallel,collision,8
286,parallel,success,30
287,parallel,collision,32
288,parallel,collision,9
289,parallel,collision,9
290,parallel,collision,9
291,parallel,collision,22
292,parallel,collision,32
293,parallel,collision,30
294,parallel,success,47
295,parallel,collision,11
296,parallel,collision,6
297,parallel,collision,35
298,parallel,collision,10
299,parallel,collision,8
