idx,scenario,outcome,num_steps
0,circular,collision,12
1,circular,collision,4
2,circular,collision,13
3,circular,collision,10
4,circular,collision,22
5,circular,collision,4
6,circular,collision,29
7,circular,collision,37
8,circular,collision,36
9,circular,collision,25
10,circular,collision,9
11,circular,collision,21
12,circular,collision,28
13,circular,collision,8
14,circular,collision,6
15,circular,success,71
16,circular,collision,45
17,circular,collision,6
18,circular,collision,11
19,circular,collision,7
20,circular,success,27
21,circular,collision,8
22,circular,collision,19
23,circular,success,18
24,circular,collision,6
25,circular,collision,43
26,circular,collision,6
27,circular,collision,7
28,circular,collision,9
29,circular,collision,5
30,circular,collision,10
31,circular,collision,3
32,circular,collision,14
33,circular,collision,6
34,circular,collision,20
35,circular,collision,9
36,circular,collision,5
37,circular,collision,8
38,circular,collision,5
39,circular,collision,3
40,circular,success,30
41,circular,collision,30
42,circular,collision,9
43,circular,collision,5
44,circular,collision,20
45,circular,collision,32
46,circular,success,39
47,circular,collision,7
48,circular,collision,7
49,circular,collision,6
50,circular,collision,8
51,circular,collision,5
52,circular,success,21
53,circular,collision,10
54,circular,collision,32
55,circular,collision,36
56,circular,collision,11
57,circular,collision,4
58,circular,collision,4
59,circular,collision,31
60,circular,success,28
61,circular,collision,9
62,circular,success,31
63,circular,collision,9
64,circular,collision,7
65,circular,collision,5
66,circular,collision,7
67,circular,collision,9
68,circular,success,19
69,circular,collision,3
70,circular,collision,8
71,circular,collision,10
72,circular,collision,7
73,circular,collision,3
74,circular,collision,8
75,circular,collision,7
76,circular,collision,9
77,circular,success,28
78,circular,collision,9
79,circular,collision,9
80,circular,collision,12
81,circular,success,19
82,circular,collision,6
83,circular,collision,10
84,circular,collision,9
85,circular,collision,5
86,circular,success,18
87,circular,collision,12
88,circular,collision,11
89,circular,collision,11
90,circular,collision,7
91,circular,collision,7
92,circular,collision,7
93,circular,collision,9
94,circular,collision,6
95,circular,success,31
96,circular,success,53
97,circular,collision,3
98,circular,collision,9
99,circular,collision,8
100,random,success,52
101,random,collision,1
102,random,collision,16
103,random,collision,10
104,random,collision,69
105,random,collision,28
106,random,collision,52
107,random,collision,15
108,random,success,52
109,random,collision,30
110,random,collision,30
111,random,collision,5
112,random,collision,12
113,random,success,50
114,random,success,39
115,random,collision,5
116,random,collision,27
117,random,collision,14
118,random,success,35
119,random,collision,3
120,random,collision,38
121,random,collision,22
122,random,collision,49
123,random,collision,29
124,random,collision,28
125,random,collision,5
126,random,collision,14
127,random,success,35
128,random,collision,2
129,random,collision,13
130,random,collision,35
131,random,collision,23
132,random,success,39
133,random,success,30
134,random,collision,18
135,random,collision,16
136,random,success,40
137,random,collision,115
138,random,timeout,250
139,random,collision,23
140,random,collision,24
141,random,collision,103
142,random,collision,37
143,random,collision,32
144,random,collision,40
145,random,collision,33
146,random,collision,23
147,random,success,74
148,random,collision,41
149,random,success,24
150,random,collision,23
151,random,collision,3
152,random,collision,18
153,random,collision,7
154,random,success,45
155,random,collision,16
156,random,collision,5
157,random,collision,45
158,random,collision,27
159,random,success,44
160,random,collision,40
161,random,collision,28
162,random,collision,3
163,random,collision,27
164,random,collision,15
165,random,collision,18
166,random,collision,6
167,random,collision,24
168,random,collision,13
169,random,collision,17
170,random,collision,33
171,random,collision,47
172,random,collision,50
173,random,collision,22
174,random,collision,28
175,random,collision,2
176,random,success,63
177,random,collision,1
178,random,success,62
179,random,collision,22
180,random,success,47
181,random,collision,6
182,random,collision,7
183,random,collision,112
184,random,collision,12
185,random,collision,40
186,random,collision,47
187,random,collision,23
188,random,success,44
189,random,collision,2
190,random,collision,15
191,random,success,47
192,random,collision,29
193,random,collision,8
194,random,collision,8
195,random,success,44
196,random,collision,18
197,random,success,50
198,random,collision,29
199,random,collision,21
200,parallel,collision,14
201,parallel,success,24
202,parallel,collision,10
203,parallel,collision,9
204,parallel,collision,34
205,parallel,success,41
206,parallel,success,51
207,parallel,collision,7
208,parallel,collision,6
209,parallel,collision,7
210,parallel,collision,45
211,parallel,collision,27
212,parallel,collision,7
213,parallel,collision,48
214,parallel,collision,31
215,parallel,collision,9
216,parallel,collision,42
217,parallel,collision,10
218,parallel,collision,27
219,parallel,success,50
220,parallel,collision,30
221,parallel,collision,31
222,parallel,collision,9
223,parallel,collision,26
224,parallel,collision,13
225,parallel,collision,10
226,parallel,collision,8
227,parallel,collision,8
228,parallel,collision,15
229,parallel,collision,8
230,parallel,collision,8
231,parallel,success,37
232,parallel,success,41
233,parallel,collision,7
234,parallel,collision,29
235,parallel,collision,11
236,parallel,collision,10
237,parallel,success,43
238,parallel,success,27
239,parallel,success,33
240,parallel,collision,7
241,parallel,collision,16
242,parallel,collision,7
243,parallel,collision,27
244,parallel,collision,13
245,parallel,collision,7
246,parallel,collision,28
247,parallel,collision,24
248,parallel,collision,10
249,parallel,success,45
250,parallel,collision,24
251,parallel,collision,13
252,parallel,collision,11
253,parallel,collision,11
254,parallel,collision,16
255,parallel,collision,95
256,parallel,collision,9
257,parallel,collision,7
258,parallel,collision,14
259,parallel,collision,8
260,parallel,success,42
261,parallel,collision,13
262,parallel,collision,9
263,parallel,collision,8
264,parallel,success,45
265,parallel,collision,26
266,parallel,collision,9
267,parallel,collision,6
268,parallel,collision,8
269,parallel,collision,8
270,parallel,success,45
271,parallel,collision,13
272,parallel,collision,42
273,parallel,collision,8
274,parallel,collision,7
275,parallel,collision,12
276,parallel,collision,34
277,parallel,collision,14
278,parallel,collision,25
279,parallel,collision,38
280,parallel,collision,25
281,parallel,collision,34
282,parallel,collision,32
283,parallel,collision,7
284,parallel,collision,14
285,parallel,success,51
286,parallel,success,26
287,parallel,collision,38
288,parallel,collision,8
289,parallel,collision,7
290,parallel,collision,9
291,parallel,collision,29
292,parallel,collision,9
293,parallel,collision,8
294,parallel,collision,26
295,parallel,collision,10
296,parallel,collision,5
297,parallel,collision,8
298,parallel,collision,10
299,parallel,collision,60
