idx,scenario,outcome,num_steps
0,circular,collision,32
1,circular,success,26
2,circular,success,42
3,circular,collision,27
4,circular,collision,17
5,circular,success,57
6,circular,success,45
7,circular,collision,18
8,circular,success,56
9,circular,collision,31
10,circular,collision,8
11,circular,collision,26
12,circular,success,36
13,circular,collision,11
14,circular,collision,26
15,circular,collision,6
16,circular,collision,39
17,circular,collision,6
18,circular,collision,8
19,circular,collision,6
20,circular,success,38
21,circular,collision,7
22,circular,collision,18
23,circular,success,32
24,circular,collision,5
25,circular,collision,8
26,circular,collision,52
27,circular,success,25
28,circular,success,30
29,circular,success,15
30,circular,success,34
31,circular,collision,3
32,circular,success,53
33,circular,success,27
34,circular,success,43
35,circular,collision,9
36,circular,success,41
37,circular,collision,9
38,circular,success,23
39,circular,collision,3
40,circular,success,20
41,circular,collision,8
42,circular,success,45
43,circular,collision,27
44,circular,collision,31
45,circular,success,53
46,circular,success,52
47,circular,collision,10
48,circular,collision,6
49,circular,success,36
50,circular,collision,7
51,circular,success,33
52,circular,success,38
53,circular,success,33
54,circular,collision,32
55,circular,success,90
56,circular,collision,10
57,circular,collision,5
58,circular,success,71
59,circular,success,42
60,circular,success,31
61,circular,collision,10
62,circular,collision,10
63,circular,success,30
64,circular,success,38
65,circular,success,47
66,circular,success,26
67,circular,collision,9
68,circular,success,24
69,circular,collision,4
70,circular,success,38
71,circular,success,31
72,circular,collision,7
73,circular,collision,4
74,circular,collision,27
75,circular,collision,9
76,circular,collision,11
77,circular,success,22
78,circular,success,42
79,circular,collision,27
80,circular,collision,12
81,circular,success,19
82,circular,success,38
83,circular,collision,10
84,circular,collision,17
85,circular,collision,27
86,circular,success,13
87,circular,collision,10
88,circular,success,38
89,circular,success,31
90,circular,collision,7
91,circular,collision,8
92,circular,collision,6
93,circular,collision,10
94,circular,collision,6
95,circular,success,33
96,circular,collision,30
97,circular,collision,27
98,circular,collision,9
99,circular,collision,9
100,random,success,37
101,random,collision,1
102,random,collision,14
103,random,success,42
104,random,collision,32
105,random,success,42
106,random,collision,17
107,random,collision,30
108,random,collision,15
109,random,success,78
110,random,collision,8
111,random,collision,14
112,random,collision,18
113,random,collision,32
114,random,success,35
115,random,success,34
116,random,collision,56
117,random,collision,15
118,random,success,29
119,random,collision,3
120,random,collision,29
121,random,collision,22
122,random,collision,52
123,random,collision,28
124,random,collision,25
125,random,collision,3
126,random,collision,25
127,random,success,36
128,random,collision,2
129,random,success,33
130,random,collision,35
131,random,collision,20
132,random,success,46
133,random,success,36
134,random,collision,36
135,random,collision,24
136,random,collision,54
137,random,collision,25
138,random,collision,28
139,random,success,31
140,random,success,26
141,random,collision,26
142,random,collision,19
143,random,success,42
144,random,collision,18
145,random,collision,32
146,random,collision,18
147,random,success,63
148,random,collision,34
149,random,success,27
150,random,collision,18
151,random,collision,3
152,random,collision,20
153,random,collision,6
154,random,success,37
155,random,collision,12
156,random,collision,29
157,random,collision,47
158,random,collision,22
159,random,collision,91
160,random,success,69
161,random,collision,21
162,random,collision,3
163,random,collision,25
164,random,collision,51
165,random,collision,46
166,random,collision,5
167,random,collision,45
168,random,collision,17
169,random,collision,32
170,random,collision,26
171,random,collision,37
172,random,success,38
173,random,collision,31
174,random,collision,15
175,random,collision,2
176,random,success,54
177,random,collision,1
178,random,success,49
179,random,collision,14
180,random,success,45
181,random,collision,4
182,random,success,24
183,random,success,55
184,random,collision,13
185,random,collision,38
186,random,collision,36
187,random,collision,21
188,random,success,44
189,random,collision,23
190,random,success,45
191,random,success,49
192,random,success,59
193,random,collision,6
194,random,success,50
195,random,success,53
196,random,collision,34
197,random,collision,24
198,random,collision,24
199,random,collision,29
200,parallel,collision,34
201,parallel,success,28
202,parallel,collision,5
203,parallel,collision,21
204,parallel,success,38
205,parallel,collision,11
206,parallel,collision,25
207,parallel,success,69
208,parallel,success,29
209,parallel,success,40
210,parallel,collision,30
211,parallel,collision,88
212,parallel,collision,11
213,parallel,collision,12
214,parallel,collision,20
215,parallel,collision,24
216,parallel,collision,45
217,parallel,collision,8
218,parallel,collision,26
219,parallel,collision,26
220,parallel,success,34
221,parallel,collision,15
222,parallel,collision,31
223,parallel,collision,34
224,parallel,collision,6
225,parallel,collision,103
226,parallel,collision,8
227,parallel,collision,10
228,parallel,success,37
229,parallel,success,34
230,parallel,collision,27
231,parallel,collision,28
232,parallel,success,45
233,parallel,collision,12
234,parallel,success,27
235,parallel,success,43
236,parallel,collision,14
237,parallel,collision,103
238,parallel,collision,114
239,parallel,success,46
240,parallel,success,54
241,parallel,collision,12
242,parallel,collision,6
243,parallel,collision,36
244,parallel,success,25
245,parallel,collision,28
246,parallel,success,37
247,parallel,collision,24
248,parallel,collision,8
249,parallel,success,48
250,parallel,success,37
251,parallel,success,38
252,parallel,success,36
253,parallel,collision,13
254,parallel,collision,26
255,parallel,collision,25
256,parallel,success,92
257,parallel,collision,29
258,parallel,success,28
259,parallel,success,66
260,parallel,collision,29
261,parallel,collision,24
262,parallel,collision,27
263,parallel,success,50
264,parallel,success,92
265,parallel,collision,6
266,parallel,collision,62
267,parallel,collision,5
268,parallel,collision,43
269,parallel,collision,7
270,parallel,success,43
271,parallel,collision,9
272,parallel,collision,22
273,parallel,success,50
274,parallel,success,49
275,parallel,success,51
276,parallel,collision,69
277,parallel,success,41
278,parallel,collision,6
279,parallel,collision,26
280,parallel,collision,39
281,parallel,collision,35
282,parallel,collision,69
283,parallel,collision,6
284,parallel,collision,12
285,parallel,collision,20
286,parallel,success,29
287,parallel,success,71
288,parallel,collision,10
289,parallel,success,41
290,parallel,collision,7
291,parallel,success,41
292,parallel,success,42
293,parallel,success,51
294,parallel,collision,50
295,parallel,collision,9
296,parallel,collision,32
297,parallel,collision,38
298,parallel,collision,8
299,parallel,collision,26
